Monica	 Oh, the way you crushed Mike at ping pong was such\n  a turn-on.You wanna...? (plays with her finger on Chandlers chest)'
Chandler	 You know, I'd love to, but I'm a little tired."
Monica	 I'll put a pillowcase over my head."
Chandler	 You're on!"
Phoebe	 Hey!'
Monica	 What's up?"
Phoebe	 Well, okay, Mike's taking a shower, which by the\n  way there's  no law against. And then we're gonna grab some food, so if you\n  want..."
Ross	 ... finally...'
Phoebe	 Is that Ross?'
Monica	 Yeah, you can hear everything through these stupid\n  walls.'
Phoebe	 Sounds like he's with someone."
Chandler	 He could be alone. This morning I heard him do\n  push-ups, and then talk to his triceps.'
Monica	 Wait a minute, I think Phoebe's right. You know I\n  hear someone else in there with him."
Charlie	 Ooh... Dr. Geller!'
Ross	 God, you're amazing... I didn't even have to ask you\n  to call me that."
Monica	 Oh my God, that's Charlie!"
Chandler	 She's cheating on Joey with Ross!"
Phoebe	 Oh that tart... floozy... giant...'
Monica	 I'm not sure about this."
Phoebe	 Yeah, you're right. This is none of our business."
Monica	 No I'm not sure that it's  the best way to hear\n  everything. Someone get me a glass!"
Phoebe	 Oh, I'm not gonna do this, okay? I'm not gonna eavesdrop\n  on my friend."
Rachel	 (through wall) Ooh... I love Barbados!  '
Joey	 Ooh... I can't believe I'm kissing you. I'm\n    kissing Rachel!"
Rachel	 I know, I'm her!"
Phoebe	 (whispering) Rachel and Joey! It's Rachel and Joey!!!"
Monica	 What?'
Phoebe	 Get over here!'
Rachel	 ooh...'
Chandler	 Wow!'
Monica	 (in her Monica-excited-way... TOO LOUD!) Oh my God,\n  I love how thin these walls are!'
Monica	 (muffled) Thank you.'

Rachel	 Hey, you know, before you said\n    that nothing could happen between us? What changed?'
Joey	 Well, I only said that because of Ross, you know. Then\n  I saw him kissing Charlie...'
Rachel	 What? Ross and Charlie? (Joey nods) Wow! She's really\n  making her way through the group, huh? Ah, who am I to talk?"
Monica	 I can't believe this. Rachel and Joey?"
Chandler	 How about the dinosaur twins in the other room?\n  No-one is manning that wall!'
Monica	 I'm on it!"
Chandler	 Anything?'
Monica	 I think I hear curtains closing... '
Phoebe	 We've got shoes being kicked off over here."
Monica	 Bedsprings, unmistakable!'
Chandler	 You do realise  that's your brother?"
Monica	 Not until you said it. Somebody switch! (Chandler\n  makes a clicking sound with his fingers and Phoebe runs to the other wall.\n  Monica returns to Chandlers wall.) Wait a minute... Ross and Charlie, Joey\n  and Rachel, Phoebe and Mike! We're the only people  leaving with the\n  same person we came with."
Chandler	 That's not true. I came with Monica and I'm leaving\n  with Weird Al."
Monica	 Okay, I've had it with the hair jokes. Tomorrow morning,\n  before we leave, I'm going to the salon."
Chandler	 Okay Buckwheat!'
Phoebe	 You gotta hear this, it's great... It's like free\n  porn! (Chandler eagerly rushes over)"
Ross	 Weh...*sigh*'
Charlie	 uhm... Is everything okay?'
Ross	 Yeah, It's just... I don't think I can do this..."
Charlie	 Ooh... Is it because of what might be on the bedspread,\n  because I saw that news report too, with the infra red and the ... I could\n  just...'
Ross	 No, NO! (they're moving to the side of the bed, where\n  they sit down) Look, I need to talk to Joey. I mean, you guys just broke up.\n  Before anything more happens between us, I need to know he's okay with it."
Charlie	 I uhm... I completely understand.'
Ross	 Alright, I'm gonna go find them... (twitches a bit,\n  looks down) I just need a... need a before I can... you know. (gestures standing\n  up... they sit and wait for a while) Grandma... grandma... grandma... (he tries\n  to concentrate...) Okay, I see you later."
Charlie	 Okay...'
Phoebe	 That's the door. He's gone..."
Chandler	 And she's... turning on the TV... and watching...\n  Miss Congeniality!"
Monica	 Honey, if you know it through a wall, you know it\n  too well!'
Ross	 Hey, what are you guys doing?'
Phoebe	 Oh, we're just... we're sad to go so we're just saying\n  goodbye to the hotel. (hugs the wall) I love you... Paradise Hotel, Golf resort\n  and Spa... (she walks away from the wall)"
Monica	 (also hugs the wall) Yeah, we had a great time, thank\n  you! (walks to Phoebe)'
Chandler	 (caresses the wall with his finger) Bye!'
Ross	 Okay, uhm... Hey, you guys seen Joey anywhere?'
Chandler	 He's probably in his room with his current girlfriend\n  Charlie. That's the situation as we know it... (walks to Phoebe and Monica)"
Ross	 Well, if you see him could you please tell\n  him I'm looking for him?"
Chandler	 You got it!'
Ross	 Thanks! (walks out of the room and starts hugging the\n  wall) Thank you! (closes the door)'
Monica	 Other wall, people! Other wall!'
Ross	 (knocks on door) Rach,  you there? (Joey and Rachel\n  both get up from the bed)'
Joey	 Oh my God, it's Ross. What are we gonna do?"
Rachel	 Oh, ju-ju-just stay calm. Just be calm. For all he\n  knows we're just hanging out together. Right? Just be nonchalant. (Joey like\n  stands at attention with his chest forward and his hands on his sides, looking\n  up at the ceiling with his lips pouted.) That's not nonchalant!"
