Chandler	 So, you and Rachel tonight, huh?'
Joey	 Yeah. It's actually our first official date "
Chandler	 Wow! So tonight may be the night! You're nervous?"
Joey	 Naa, no. This is the part I'm actually good at."
Chandler	 What must it be like not to be crippled by fear\n  and self-loathing.'
Joey	 (pause) It's OK!"
Chandler	 How can you be so confident?'
Joey	 Well, I... I know exactly what I'm gonna do!"
Chandler	 Really? Like you have a routine?'
Joey	 No, no no no no. See. Each woman is different.You have\n  to appreciate their uniqueness.'
Chandler	 Really?'
Joey	 No, I do six things! First, I look deep in her eyes.\n  Then, I kiss her. Next I take my hand and I softly graze her thigh.'
Chandler	 You mean like this? (he starts touching his thigh\n  in a funny and awkard way)'
Joey	 NO! Not like that, no no. No, like this. (He starts\n  lightly grazing Chandler's thigh)"
Chandler	 Oh, I see what you mean, that's quite nice. (They\n  look at each other, both embarassed)"
Joey	 More foosball?'
Chandler	 ...and beer!!'

Monica	 (entering) Hey!'
Ross and Chandler	 Hey!'
Monica	 (to Chandler) Hey sweetie! (they\n  kiss)'
Ross	 (looking at Monica's legs) WOW!"
Chandler	 Hey! Stop staring at my wife's legs! No no! Stop\n  staring at your sister's legs!"
Ross	 I'm sorry, it's just... how did you get so tan?"
Chandler	 She went on one of those spray-on tan places.'
Ross	 Eh, you got a spray-on tan?'
Monica	 Chandler gets pedicures!'
Ross	 (laughing) Why, why you do, like with the-the toe separators?'
Chandler	 (To Monica) Why...why?'
Ross	 Still, I can't believe that's sprayed on... I mean,\n  it looks really good. I wonder if I should get one!"
Chandler	 Sure, then you should get a mini skirt so you can\n  really show it off.'
Ross	 So, do you get colours or just French tips?'
Monica	 There. Here's their card."
Ross	 Thanks. (he takes the card) Hey, I know where this\n  place is! It used to be an X-rated video... (pauses when he realizes what he\n  is saying) florist. (he goes away)'
Phoebe	 Hey!'
Chandler	 Hey Pheebs!'
Monica	 Hey Phoebe!'
Phoebe	 Oh, you won't believe who moved back to town."
Monica	 I know, Amanda! Ah! She called me\n  too! She's the worst!"
Chandler	 Who's Amanda?"
Monica	 She\'s this girl who used to live\n  in the building before you did. Then she moved to England and she picked up\n  this fake British accent. On the machine this is her message. (she apes Amanda\n  using an awful British accent) "Monica, darling! It\'s Amanda calling!"'
Chandler	 Are you trying to do a British accent?'
Monica	 (pause) (to Phoebe) Chandler gets\n  pedicures!'
Chandler	 Just so I know, how many more of those can I expect?'
Phoebe	 You know what Amanda said to me when she got me on\n  the phone? (apes Amanda in a british accent) "Oh, so sorry to catch you\n  on your Mo-Bile!" If-if you don\'t wanna get me on my mo-Bile, don\'t call\n  me on my mo-Bile!"'
Monica	 I know, and she's always bragging\n  about all the famous people she's met."
Phoebe	 Oh, I know! "Oh...I slept with Billy Joel".\n  All right, who hasn\'t?'
Monica	 Oh, what are we gonna do! I don't\n  wanna see her!!"
Phoebe	 Ugh, Let's just cut her out!"
Monica	 What?'
Phoebe	 Cut her out of our lives! Just ignore her calls and\n  dodge her 'till she gets the point!"
Monica	 Oh, I guess we could try that, but...\n  it seems so harsh! (to Chandler) Have you ever done that?'
Chandler	 No, had it done to me though. Feels good !\n'
Ross	 Well... I like how you look, what are you?'
Assistant	 Puerto Rican.'
Ross	 Two, I think a two.'
Assistant	 You've got to face the red light.\n  When the red light goes on the spraying is about to start so close your eyes.\n  When the spraying stops, count to five. Pat yourself down to avoid drip marks\n  then turn around so we can get your back. Got it?"
Ross	 Spray, count, pat, then turn, spray, count and pat.'
Assistant	 Wow, you catch on quick.'
Ross	 Well, I have a PhD, so... (assistant walk out, not\n  impressed by this statement)\n  (Ross takes his bathrobe off and he enters the tanning booth. He stands up\n  in front of the red light and the sprayer starts and sprays his face and torso)'
