Written by	 Dana Klein\n  Produced by
Rachel	 You know, I'm thinking about letting Emma have her \n  first cookie."
Joey	 Her first cookie? She has cookies all the time!'
Rachel	 I've never given her a cookie. Have you?"
Joey	 No! No... and, for the record, I've also never given her a frosting from \n  a can!"
Monica	 Hey Rach, the adoption agency needs letters of recommendation and we \n  were wondering if you would write one for us.'
Rachel	 Of course, I'd be honored!"
Chandler	 Thanks!'
Monica	 Thank you!'
Joey	 U-U-Um, I think there's been an oversight."
Chandler	 Joey, we would've asked you, we just thought you wouldn't be interested."
Monica	 Yeah, it\'s just we don\'t think of you as really being so much "with \n  the words".'
Joey	 Whoo-weh hey weh-hey whoo hey!!'
Monica	 Clearly we were wrong.'
Joey	 I gotta a lot of nice stuff to say about you guys, ok? And I know how \n  much you wanna have a baby, you know, and I would love to help you get one.'
Monica	 You know what? Then, Joey, we want you to do it.'
Joey	 Thank you! Alright, let me see how I\'m gonna start... "Dear baby \n  adoption decider people..."'
Chandler	 So excited about your letter!'
Phoebe	 Hey!'
All	 Hey Phoebe!'
Joey	 Hey!'
Monica	 Wow! Don't you look nice?!"
Phoebe	 Yes, I do! Today is Mike and my one-year anniversary.'
Rachel	 OH! What's it the anniversary of? Your first date, your first kiss, \n  first time you had sex..."
Phoebe	 YEAH!'
Chandler	 So you must be going to somewhere fancy to celebrate?'
Phoebe	 Uh-uh. Ehm, a Knicks game.'
Joey	 Uhm... Aren't you a little overdressed?"
Phoebe	 Hey, you know what, I've never had a one-year anniversary before, so \n  no matter where we go, I'm wearing something fancy pants, and... I'm gonna put \n  on my finest jewelry and we're gonna have sex in a public rest room."
Monica	 You guys do that? Chandler won't even have sex in\nour bathroom!"
Chandler	 That's where people make number two!!"

Charlie	 Hey! (They kiss and cuddle a little)'
Ross	 Hey...'
Charlie	 So, you know... I have a little time. If you... if you want to...'
Ross	 (surprised) Oh... (he pauses) (sounds disappointed) Ohh... I'd love to \n  but I really have to grade these papers."
Charlie	 Fine, it's fine... (she whispers) I'll just shower by myself..."
Ross	 (Writing on the papers) B, B, B, B, B!'
Charlie	 Oh, Ross, you gave a B to a Pottery Barn catalogue.'
Ross	 Well, it had some good ideas, take off your shirt.'
Ross	 Damnit!'
Amy	 (yelling from outside) Rachel!! Open up!! It's your sister!! (she knocks \n  on the door again) I have to talk to you!!"
Ross	 (he opens the door) Hi Amy!'
Amy	 You're not Rachel."
Ross	 Still sharp as a tack!'
Amy	 Um... Charlie, this is Rachel's sister Amy. Amy, this is Charlie."
Charlie	 Hi!'
Amy	 Hi!'
Charlie	 Nice to meet you.'
Amy	 H-Hi!!(to Ross) And you are...?'
Ross	 (pause) Ross? I... I grew up on your block! We had Thanksgiving together \n  last year... I had a baby with your sister!'
Amy	 (looks confused) N-no... uhm... did I buy a falafel from you yesterday?'
Ross	 (gives up) Yes, yes, you did.'
Ross	 Hi Rachel! Here's your sister Amy! She thinks I need\n  pec implants! \n"
Rachel	 Amy! Hi! Oh-oh-hoh! (they hug) Wow! You remember Joey?'
Amy	 Yeah! Hey, sure! The "Days of Our Lives" guy!'
Joey	 That's right, yeah."
Amy	 You're not good!"
Joey	 Always nice to meet a fan!'
Rachel	 So now, what are you doing here?'
Amy	 Well, I have huge news.'
Rachel	 (Emma starts crying in the other room) Oh sorry, hold on. Let me just \n  check on the baby!'
Amy	 Wait, this is important! Can Ella wait? (Rachel goes to Emma)'
Ross	 Ehm... Her name is Emma.'
Amy	 Why did you change it, Ella was so much prettier!'
Ross	 What do I know? I just sell Middle Eastern food from a cart!'
Amy	 Hey, your English is getting better!!'
Ross	 (to Joey) Oh my God!'
Joey	 I know, she may be the hottest girl I've ever hated."
Ross	 What... what you working on?'
Joey	 (using a laptop) Oh, Monica and Chandler's recommendation. I want it \n  to sound smart but.. I don't know any big words or anything, so..."
Ross	 Why don't you use your Thesaurus?"
Joey	 What did I just say?'
Ross	 Watch. (he takes the laptop) Here, you ehm... You highlight the word \n  you want to change.\n  Go under Tools and the Thesaurus generates... 'gives'... 'gives' a whole list \n  of choices. You can pick the word that sounds smartest."
Joey	 Oh my God, that\'s great! I\'m smart!! No, no, I\'m... (he uses the Thesaurus) \n  "brainy, bright, clever", I love this thing! Look out ladies, Joey \n  Tribbiani\'s got the whole package!!'
 Rachel	 God!\n'
Amy	 So beautiful.'
Rachel	 Oh, I know, isn't she?"
Amy	 No, I was talking about your bedding.'
Rachel	 All right. What's your news, Amy?"
Amy	 Oh! Um... Well... I'm getting married."
Rachel	 What? Oh my God! To who?'
Amy	 This guy! He has a killer apartment.'
Rachel	 A-And??'
Amy	 A-And it's on Fifth. And the elevator opens up right into the living room."
Rachel	 No, what's he like?"
Amy	 Oh! He's ok. Do you remember my old boyfriend Mark?"
Rachel	 Yeah.'
Amy	 It's his dad."
Rachel	 Huh... wow, so he's gotta be..."
Amy	 Old? Yeah! But he travels a lot, so he's hardly ever there."
Rachel	 Sweety, I gotta tell ya... it sounds a little bit like you like the \n  apartment more than you like...'
Amy	 Myron. Hmm... I told you he was old!'
Rachel	 Oh... sit down, sit down. Oh, honey, you know, I once also almost married \n  somebody that I didn\xe2\x80\x99t love. Do you remember Barry?'
Amy	 Humpf, remember him? How we used to make out all the time after you went \n  to sleep.'
Rachel	 Sometimes just nodding is ok. (pause) Uhm, so but\n  anyway, listen, not marrying Barry was the best decision that I ever, ever\n  made. Honey, you deserve\n  true love. Your soulmate is out there, somewhere. Someone that is your age,\n  that is smart, that is fun and that you care about!'
Amy	 (thinks about it) You\xe2\x80\x99re right, you\xe2\x80\x99re right! I\xe2\x80\x99m gonna \n  do it!'
Rachel	 Ok.'
Amy	 I\xe2\x80\x99m gonna marry Myron and keep looking\n  for Mr\nRight.'
Rachel	 Ok, let\xe2\x80\x99s keep talking.'
Phoebe	 Excuse me, anniversary. Excuse me, anniversary. (looking \n  at her ticket). Uhm, sir, could you move your nachos... they\xe2\x80\x99re in my \n  seat. It's my anniversary. (to Mike) Here we are! (Mike nods). Can\xe2\x80\x99t believe \n  it's been a whole year! \n"
Mike	 I know. This has been the best year... (the crowd starts cheering so \n  he starts yelling) THIS HAS BEEN THE BEST YEAR OF MY LIFE!'
Phoebe	 ME TOO! I NEVER THOUGHT I COULD LOVE SOMEONE THIS MUCH!'
Mike	 I FEEL THE SAME WAY!'
Phoebe	 YOU\xe2\x80\x99RE SO GENEROUS AND KIND AND (crowd stops cheering) YOU'RE \n  AMAZING IN BED (everyone hears it and stare at them.) (to everybody) IT\xe2\x80\x99S \n  OUR ANNIVERSARY!"
Announcer	 Knicks fans, please turn your attention to the \n  big screen on the score board. Someone has a special question to ask. (on the \n  screen there\xe2\x80\x99s written \xe2\x80\x98Julie, will you marry me?\xe2\x80\x99 and goes \n  on to show a guy kneeling down in front of a girl holding out a ring to her)'
Phoebe	 Oh how lame... oh, it\xe2\x80\x99s so tacky, and impersonal.'
Mike	 Really?'
Phoebe	 Oh, it\xe2\x80\x99s the worst way to propose!'
Mike	 (looks strangely shocked) Excuse me... (he leaves, then Phoebe realizes \nwhat she did).'
Joey	 Hey, finished my recommendation. (he hands it over to \n  Chandler) Here. And I think you\xe2\x80\x99ll be very, very happy. It\xe2\x80\x99s the \n  longest I ever spent on a computer without looking at porn.'
Chandler	 (reading) I don\xe2\x80\x99t... uh... understand.'
Joey	 (sounding very proud of himself) Some of the words are a little too sophisticated \n  for ya?'
Monica	 (also reading it) It doesn\xe2\x80\x99t make any sense.'
Joey	 Of course it does! It\xe2\x80\x99s smart! I used the the-saurus!'
Chandler	 On every word?'
Joey	 Yep!'
Monica	 Alright, what was this sentence originally? (shows the sentence to \n  Joey)'
Joey	 Oh, \xe2\x80\x98They are warm, nice, people with big hearts\xe2\x80\x99.'
Chandler	 And that became \xe2\x80\x98they are humid prepossessing Homo Sapiens \n  with full sized aortic pumps...?'
Joey	 Yeah, yeah and hey, I really mean it, dude.'
Monica	 Hey Joey, I don\xe2\x80\x99t think we can use this.'
Joey	 Why not?'
Monica	 Well, because you signed it baby kangaroo Tribbiani (Joey makes a 'and-what\xe2\x80\x99s-wrong-with-that' \n  look). Hey, why don\xe2\x80\x99t you stop worrying about sounding smart and just \n  be yourself!"
Chandler	 You know what? You don\xe2\x80\x99t need a thesaurus, just write from \nhere, (points at his own heart) your full sized aortic pump.'
Rachel	 Amy, hi!'
Amy	 I took your advice, I left Myron.'
Rachel	 Oh, good for you! '
Amy	 I know! I'm Erin Brockovich!"
Rachel	 Yes you are! Oh, I am so proud of you!'
Amy	 Thank you! So, can I stay with you?'
Rachel	 But Erin Brockovich had her own house.'
Joey	 Ah, look who\xe2\x80\x99s back! (he sees the bags) Why do you have bags? RACH, \n  WHY DOES SHE HAVE BAGS?'
Amy	 Well, I\xe2\x80\x99m staying with you guys!'
Joey	 What?'
Amy	 We\xe2\x80\x99re gonna be roomies! (she snaps her finger and points at Joey, \nsnaps her fingers again and points to the bags) Come on!'
Joey	 You slept out here?'
Rachel	 Yeah... Amy kept kicking me in her sleep yelling \xe2\x80\x98Myron, get \n  off!\xe2\x80\x99'
Joey	 But uhm, we're getting rid of her, right? Rach, please tell me we\xe2\x80\x99re \n  getting rid of her."
Rachel	 Joey, I can\xe2\x80\x99t do that!'
Joey	 Oh, come on! Last night I was finishing off a pizza and she said (aping \n  Amy badly) "Uoh oh oh, a moment on the lips, forever on the hips!" \n  I don\xe2\x80\x99t need that kind of talk in my house!'
Rachel	 Well Joey, uhm look, I know that she\xe2\x80\x99s difficult, but I think \n  it\xe2\x80\x99s really good that she\xe2\x80\x99s here.'
Joey	 'Cause we will appreciate it more when she\xe2\x80\x99s gone?"
Rachel	 No, it's just... look, you know, when I first moved to the city I was \n  a lot like her! I was spoiled, self-centered and you guys really took care of \n  me."
Joey	 Yeah, Monica made us!'
Rachel	 Well, uhm... whatever, I have really appreciated it, 'cause I don\xe2\x80\x99t \n  think I would be the person that I am today if it wasn\xe2\x80\x99t for you guys. \n  See, I wanna help Amy the way you guys helped me. And I know it\xe2\x80\x99s gonna \n  take patience, but that\xe2\x80\x99s ok."
Amy	 Good morning.'
Joey	 Yeaah.'
Rachel	 Amy, that\xe2\x80\x99s what I was supposed to wear today, that\xe2\x80\x99s why \n  I hung it on the door.'
Amy	 Oh, sweety, you can\xe2\x80\x99t pull this off.'
Rachel	 Amy, you know what? I was thinking that maybe now it'd be a good time \n  for us to sit down and, you know, talk about your future."
Amy	 Oh, I can\xe2\x80\x99t, honey. I\xe2\x80\x99m gonna go get my eyebrows shaped. (points \n  at her eyebrows) I am not happy. (to Joey who has a pizza box in his hands) \n  Oh... sure you wanna eat that?'
Joey	 (yelling at her) I\xe2\x80\x99M CURVY, AND I LIKE IT!'
Phoebe	 Hi. I just had the worst anniversary ever.'
