Written by	 Sebastian Jones\n  Produced by
Phoebe	 (she enters) Hey...'
All	 Hey!'
Rachel	 Hi!'
Ross	 Pheebs, what's wrong?"
Phoebe	 Oh, I'm just so exhausted from dragging around this...\n   (she shows her ring) HUGE engagement ring!"
All	 OH!'
Rachel	 My God!'
Joey	 Hey!\n\nRachel
Ross	 So, did he get on one knee, did he have a speech prepared, \n  or (in a tender way) did he cry? (the guys look at him) Yeah, big surprise, \n  I like proposals!'
Phoebe	 Well, it was really sweet, and like the\n  most romantic thing ever.'
Joey	 Well, hey! Well... (he takes his mug to toast Phoebe) \n  Here's to Phoebe, who's found the greatest guy in the world! To Phoebe and... \n  (a bit uncertain) I wanna say Mike? (pause) To Phoebe and Mike!"
All	 Whoo!'
Phoebe	 Thank you! (to Rachel) Oh, and I have something for \n  you!'
Rachel	 Mmh-mmh!'
Phoebe	 It's, yes, my little black book. It's got the numbers \n  of all the guys I've dated."
Rachel	 Oh, Pheebs, baby, that's nice but, you know what, \n  I think I'm ok. Why don't you give it to one of your other single girlfriends? \n"
Phoebe	 I would, but you're the last one."
Rachel	 (angrily) GIVE ME THE BOOK! (she takes it and start \n  reading) Pablo Diaz, Brady Smith, huh, "Guy-in-van"?'
Phoebe	 Oh, my first love! '
Rachel	 Oh!'
Monica	 What does the red X next to Bob Greenmore's name mean?"
Phoebe	 Dead. (everyone is a bit upset) Oh, it's OK, no,\n  he  was old, yeah! And he lived a full life, he was in the first wave\n  at Omaha Beach."
Chandler	 Hey, I'm sorry, I should have given you guys my \n  black book when I got married! Although it wasn't so much a book as a... napkin. \n  With Janice's phone number on it."
Rachel	 Phoebe, isn't Jethro Tull a band?"
Phoebe	 (proud of herself) Oh yes, they are.'

Chandler	 (he enters) Hey honey!'
Joey	 (Looking inside the fridge, and we only see his back. \n  Then he closes the door, and we see it's Joey.) Hi sweetie!"
Chandler	 Is Monica not here?'
Joey	 No.'
Chandler	 Oh, then I'll tell you. My agency was bidding for\n  a big account and they got it! It's my first national commercial!"
Joey	 Cool!'
Chandler	 Yeah, and I don't wanna brag but a lot of the ideas\n   were mine! (silence) Hell, you weren't there? All the ideas were\n  mine!!!"
Joey	 That's great! Hey, can you cast me in it?"
Chandler	 Oh... I don't know, I really don't think you're \n  right for the part."
