Written by	 Mark Kunerth\n  Produced by
Ross	 Hey you guys!'
Phoebe	 Hey!'
Ross	 Hey, what are you doing?'
Mike	 Oh, figuring out our wedding plans.'
Chandler	 That's funny, we were doing the same thing!"
Ross	 Yeah!'
Phoebe	 It's really crazy! The hall, the dress, the food... I-I had no idea \n  how expensive this stuff was!"
Chandler	 Yeah it is really pricey. I mean, I freaked when I first heard the \n  numbers.'
Phoebe	 So what did you two do about it?'
Chandler	 It was pretty simple actually, I came up with a couple of cost-cutting \n  solutions, wrote out a list and Monica told me to go to hell.'
Ross	 There's no way around it Pheebs, you just gonna have to accept the fact \n  that this is gonna cost you a lot of money."
Mike	 I heard that weddings are like a 40 billion dollar a year industry.'
Ross	 Yeah, and I'm responsible for just like half of that."
Phoebe	 But really, it does seem like this money could be put to better use?'
Mike	 Are you serious?'
Phoebe	 Yeah! Now, how would you feel if we gave all the wedding money to charity \n  and we just got married at City Hall?'
Mike	 I think it would make me wanna marry you even more. (he kisses her)'
Ross	 I've got to say you guys, that's an incredible gesture!"
Chandler	 (to Ross) Maybe you do that next time you get married!'
Ross	 No, no, no. The next time it's gonna be a Hawaii at sunset. [pause] But \n  maybe the time after that!"

Joey	 Hey!'
Chandler	 Hey!'
Joey	 What's going on?"
Chandler	 Our adoption social worker is coming by today so we are cleaning \n  the apartment.'
Monica	 (sarcastically) We?'
Chandler	 You know you don't want me to help. You can't have it both ways!"
Joey	 Hey, is this person who decides whether or not you... get a baby?'
Chandler	 Kind of. She's coming by to interview us and see where we live."
Monica	 And it has to go perfectly, because if she doesn't like something about \n  us she can keep us off every adoption list in the state."
Joey	 Hey, maybe I should stop by! She could be a soap opera fan! It's very \n  impressive when the little people know a celebrity."
Chandler	 (pointing at himself) Little people?'
Joey	 (pointing at himself) Celebrity.'
Monica	 Ok, so I think I'm just about done here, unless you have any bad stuff \n  hidden somewhere, like... porn or cigarettes?"
Chandler	 What...? NO!'
Monica	 Chandler?'
Chandler	 (he stands up and he feels very offended) I don't, and I'm offended \n  by the insinuation!"
Monica	 Ok, so there's not a magazine under the couch, or a pack of cigarettes \n  taped to the back of the toilet tank, or a filthy video in the VCR?"
Chandler	 I'll admit to the cigarettes and the magazine, but that tape is not \n  mine."
Monica	 It isn't mine!"
Joey	 (going out with the VCR in his hand) Well, I guess we'll never know whose \n  it is!\n"
Charity guy	 May I help you? '
Phoebe	 Yes. We're here to make a rather sizeable donation to the children."
Charity guy	 Well, any contribution, large or small, is always appreciated.'
Phoebe	 Well, I think you're gonna appreciate it the crap out of this one (she \n  gives him a check)"
Charity guy	 Well, this is very generous!'
Phoebe	 And we don't want any recognition. This is completely anonymous."
Mike	 Completely anonymous. From two kind strangers.'
Phoebe	 Mr. X and Phoebe Buffay.'
Charity guy	 Well if you like, we can include your names in our newsletter.'
