Monica	 There's nothing to tell! He's just some guy\nI work with!"
Joey	 C'mon, you're going out with the guy! There's\ngotta be something wrong with him!"
Chandler	 All right Joey, be\nnice.\xc2\xa0 So does he have a hump? A hump and a hairpiece?'
Phoebe	 Wait, does he eat chalk?'
Phoebe	 Just, 'cause, I don't want her to go through\nwhat I went through with Carl- oh!"
Monica	 Okay, everybody relax. This is not even a\ndate. It's just two people going out to dinner and- not having sex."
Chandler	 Sounds like a date to me.'
Chandler	 Alright, so I'm back in high school, I'm\nstanding in the middle of the cafeteria, and I realize I am totally naked."
All	 Oh, yeah. Had that dream.'
Chandler	 Then I look down, and I realize there's a\nphone... there."
Joey	 Instead of...?'
Chandler	 That's right."
Joey	 Never had that dream.'
Phoebe	 No.'
Chandler	 All of a sudden, the phone starts to ring.\nNow I don't know what to do, everybody starts looking at me. "
Monica	 And they weren't looking at\nyou before?!"
Chandler	 Finally, I figure\nI'd better answer it, and it turns out it's my mother,\nwhich is very-very weird, because- she never calls me!"
Ross	 (mortified) Hi.'
Joey	 This guy says hello, I wanna kill myself.'
Monica	 Are you okay, sweetie?'
Ross	 I just feel like someone reached down my\nthroat, grabbed my small intestine, pulled it out of my mouth and tied it around my\nneck...'
Chandler	 Cookie?'
Monica	 (explaining to the others) Carol moved her\nstuff out today. '
Joey	 Ohh.'
Monica	 (to Ross) Let me get you some coffee.'
Ross	 Thanks.'
Phoebe	 Ooh! Oh! (She starts to pluck at the air\njust in front of Ross.)'
Ross	 No, no don't! Stop cleansing my aura! No, just\nleave my aura alone, okay?"
Phoebe	 Fine!\xc2\xa0 Be murky!'
Ross	 I'll be fine,\nalright? Really, everyone. I hope she'll be very happy."
Monica	 No you don't."
Ross	 No I don't, to hell with her, she left me!"
Joey	 And you never knew she was a lesbian...'
Ross	 No!! Okay?! Why does everyone keep fixating on\nthat? She didn't know, how should I know?"
Chandler	 Sometimes I wish I was a lesbian... (They\nall stare at him.) Did I say that out loud?'
Ross	 I told mom and dad last night,\nthey seemed to take it pretty well.'
Monica	 Oh really, so that\nhysterical phone call I got from a woman at sobbing 3
Ross	 Sorry.'
Joey	 Alright Ross, look. You're feeling a lot of\npain right now. You're angry. You're hurting. Can I tell you what the answer is?"
Joey	 Strip joint! C'mon, you're single! Have some\nhormones!"
Ross	 I don't want to be single, okay? I just... I\njust- I just wanna be married again!"
Chandler	 And I just want a million dollars! (He\nextends his hand hopefully.)'
Monica	 Rachel?!'
Rachel	 Oh God Monica hi! Thank God! I just went to\nyour building and you weren't there and then this guy with a big hammer said you might be\nhere and you are, you are!"
Waitress	 Can I get you some coffee?'
Monica	 (pointing at Rachel) De-caff. (to All) Okay,\neverybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody,\nthis is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? '
Rachel	 Hi, sure!'
Ross	 Hi. '
Monica	 So you wanna tell us now, or are we waiting\nfor four wet bridesmaids?'
