Jennifer	 Previously on Friends...'
Chandler	 How did the job stuff go?'
Rachel	 He offered me one.'
Ross	 (gasps) You know what? This calls for a bottle of Israels finest.'
Rachel	 The job is in Paris. (we see Ross stare in disbelief)'

Rachel	 Oh, God! Please, somebody  say something.'
Ross	 So if you take this job you'll be moving to Paris?"
Chandler	 Or facing a bitch of a commute.'
Rachel	 I know, it's huge, and it's scary, and it's... really far, far away \n  from you guys, but this is such an incredible opportunity for me. And I've already \n  talked to them about our situation with Emma, and they said they'll do whatever \n  we need to make us feel comfortable."
Ross	 Okay.'
Rachel	 I mean, I'll fly back and forth, they'll fly you out... \n  Anything we want."
Chandler	 My boss said I might be getting a new lamp in my cubicle. (Monica \n  looks at him and can't really place what he just said)"
Ross	 All right, we'll work it out."
Rachel	 Thank you! Thank you!'
Ross	 Yeah, yeah! (they hug) You sure this is what you want?'
Rachel	 I think it is. (Ross looks very sad. Phoebe \n  and Joey enter.)'
Phoebe	 Ooh, what's going on?"
Rachel	 I got a really incredible job offer.'
Joey	 Hey, great! All right!'
Phoebe	 Good for you!'
Rachel	 It's in Paris."
Joey	 What? No, no, no! No, no... no... no, no... No, too much is changing, \n  okay? First, Phoebe getting married (to Phoebe) Congratulations! (pointing to \n  Monica and Chandler)... and then these two move into a stupid house in the stupid \n  suburbs...'
Monica	 Hey, this afternoon you said you'd be supportive..."
Joey	 Well, it comes and goes. I wouldn't trust it."
Rachel	 Look, you guys... this is really, really important to me. And it means \n  a lot if you could try to get on board.'
Phoebe	 Of course we can. Congratulations. (they hug, but Joey shakes his head.) \n  Yay! (she gestures Joey to come and join in) Joey...'
Joey	 No, no, no. My hugs are reserved for people STAYING IN AMERICA.'
Rachel	 (walking towards Joey) Joey, it would mean so...'
Joey	 Hey! No! Get your France-going-arms away from me. (He walks out, and \n  Rachel follows him)'
Rachel	 Joey...'
Phoebe	 You okay with this?'
Chandler	 Well, it makes me feel sad, but...'
Phoebe	 Talking to Ross.'
Chandler	 I see.'
Ross	 Well, Rachel moving to another country? Not being able to see her every \n  day. How can I be okay with this?'
