Monica	 Would you let it go? It's not that big a deal."
Ross	 Not that big a deal? It's amazing. Ok, you just reach in there, there's\none little maneuver, and bam, a bra right out the sleeve. All right, as far as I'm\nconcerned, there is nothing a guy can do that even comes close. Am I right?"
Rachel	 Come on! You guys can pee standing up.'
Chandler	 We can? All right, I'm tryin' that."
Joey	 Ok, you know what blows my mind? Women can see breasts any time they want.\nYou just look down and there they are. How you get any work done is beyond me.'
Phoebe	 Oh, ok, you know what I don't get? The way guys can do so many mean\nthings, and then not even care."
Ross	 Multiple orgasms!'
Chandler	 So, Saturday night, the big night, date night, Saturday night,\nSat-ur-day night!'
Joey	 No plans, huh?'
Chandler	 Not a one.'
Ross	 Not even, say, breaking up with Janice?'
Chandler	 Oh, right, right, shut up.'
Monica	 Chandler, nobody likes breaking up with someone. You just gotta do it.'
Chandler	 No, I know, but it's just so hard, you know? I mean, you're sitting\nthere with her, she has no idea what's happening, and then you finally get up the courage\nto do it, and there's the horrible awkward moment when you've handed her the note."
Joey	 Why do you have to break up with her? Be a man, just stop calling. '
Phoebe	 You know, if you want, I'll do it with you."
Chandler	 Oh, thanks, but I think she'd feel like we're gangin' up on her. "
Phoebe	 No, I mean you break up with Janice and I'll break up with Tony. "
Ross	 Tony?'
Monica	 Oh, you're breaking up with Tony?"
Phoebe	 Yeah, I know, he's sweet, but it's just not fun anymore, you know? I\ndon't know if it's me, or his hunger strike, or, I don't know."
Rachel	 (waitressing) Does anybody want anything else?'
Ross	 Oh, yeah, last week you had a wonderful, nutty, chocolatey kind of a cakey\npie thing. (Rachel gives him a dirty look) Nothing, just, just, I'm fine."
Phoebe	 (to Rachel) What's the matter? Why so scrunchy?"
Rachel	 It's my father. He wants to give me a Mercedes convertible."
Ross	 That guy, he burns me up.'
Rachel	 Yeah, well, it's a Mercedes if I move back home. Oh, it was horrible. He\ncalled me young lady."
Chandler	 Ooh, I hate when my father calls me that.'
Monica	 Did he give you that whole "You\'re-not-up-to-this" thing\nagain?'
Rachel	 Oh, yeah, yeah. Actually, I got the extended disco version, with three\nchoruses of "You\'ll never make it on your own".'
Phoebe	 (rhythmically) Uh-huh, uh-huh.'
Angela	 Hi, Joey.'
Joey	 My god, Angela.'
Monica	 Wow, being dumped by you obviously agrees with her.'
Phoebe	 Are you gonna go over there?'
Joey	 No, yeah, no, ok, but not yet. I don't wanna seem too eager. One\nMississippi, two Mississippi, three Mississippi. That seems pretty cool. (he walks over to\nher) Hey, Angela. "
Angela	 (casually) Joey.'
Joey	 You look good.'
Angela	 That's because I'm wearing a dress that accents my boobs."
Joey	 You don't say."
Ross	 So, uh, Rachel, what are you, uh, what're you doing tonight?"
Rachel	 Oh, big glamour night. Me and Monica at Laundorama.'
Ross	 Oh, you uh, you wanna hear a freaky coincidence? Guess who's doing laundry\nthere too?"
Rachel	 Who?'
Ross	 Me. Was that not clear? Hey, why don't, um, why don't I just join you\nboth, here?"
Rachel	 Don't you have a laundry room in your building?"
Ross	 Yes, I do have a laundry room in my building, um, but there's a.... rat\nproblem. Apparently they're attracted to the dryer sheets, and they're goin' in fine, but\nthey're comin' out all.... fluffy. Anyway, say, sevenish?"
Rachel	 Sure.'
Angela	 Forget it Joey. I'm with Bob now."
Joey	 Bob? Who the hell's Bob?"
Angela	 Bob is great. He's smart, he's sophisticated, and he has a real job.\nYou, you go on three auditions a month and you call yourself an actor, but Bob..."
Joey	 Come on, we were great together. And not just at the fun stuff, but like,\ntalking too.'
Angela	 Yeah, well, sorry, Joe. You said let's just be friends, so guess what?"
Joey	 What?'
Angela	 We're just friends."
Joey	 Fine, fine, so, why don't the four of us go out and have dinner together\ntonight? You know, as friends?"
Angela	 What four of us?'
Joey	 You know, you and Bob, and me and my girlfriend, uh, uh, Monica.'
Joey	 Monica, I'm tellin' you, this guy is perfect for you."
Monica	 Forget it. Not after your cousin who could belch the alphabet.'
Joey	 Come on. This guy's great. His name's Bob. He's Angela's... brother. He's\nsmart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and\ncall myself an actor, but Bob is..."
