Rachel	 (reading the program) Ooh! Look! Look! Look! Look, there's Joey's\npicture! This is so exciting!"
Chandler	 You can always spot someone who's never seen one of his plays before.\nNotice, no fear, no sense of impending doom..."
Phoebe	 The exclamation point in the title scares me. (Gesturing) Y'know, it's\nnot just Freud, it's Freud!"
Ross	 Oh, shhh, shh. Magic is about to happen.'
Joey	 Vell, Eva, ve've done some excellent vork here, and I vould have to say,\nyour pwoblem is qviiite clear. (He goes into a song and dance number.) "
Rachel	 God. I feel violated.'
Monica	 Did anybody else feel they just wanted to peel the skin off their body,\nto have something else to do?'
Chandler	 (staring at a woman across the room) Ross, ten o'clock."
Ross	 Is it? Feels like two.'
Chandler	 No, ten o'clock."
Ross	 What?'
Chandler	 (sighs and gestures to explain) There's a beautiful woman at eight,\nnine, ten o'clock!"
Ross	 Oh. Hel-lo!'
Chandler	 She's amazing! She makes the women that I dream about look like short,\nfat, bald men!"
Monica	 Well, go over to her! She's not with anyone."
Chandler	 Oh yeah, and what would my opening line be? 'Excuse me.\nBlarrglarrghh.'"
Rachel	 Oh, c'mon. She's a person, you can do it!"
Chandler	 Oh please, could she be more out of my league? Ross,\nback me up here.'
Ross	 He could never get a woman like that in a million years.'
Chandler	 Thank you, buddy.'
Phoebe	 Oh, oh, but y'know, you always see these really beautiful women with\nthese really nothing guys, you could be one of those guys."
Monica	 You could do that!'
Chandler	 Y'think?"
All	 Yeah!'
Chandler	 Oh God, I can't believe I'm even considering this... I'm very very\naware of my tongue..."
Ross	 C'mon! C'mon!"
Chandler	 Here goes. (He walks over to her but just stands there.)'
Aurora	 ...Yes?'
Chandler	 Hi.... um... okay, next word... would be... Chandler! Chandler is my\nname, and, uh...(He clears his throat noisily)...hi.'
Aurora	 Yes, you said that.'
Chandler	 Yes, yes I did, but what I didn't say was what I was about to say,\nwhat I wanted to say was, uh... would you like to go out with me sometime, thankyou,\ngoodnight. (He walks back to the others but she calls him back.) "
Aurora	 Chandler?'
All	 Hey! You're in a play! I didn't know you could dance! You had a beard!"
Joey	 Whadja think?'
All	 ...Hey! You're in a play! I didn't know you could dance! You had a beard!"
Joey	 C'mon, you guys, it wasn't that bad. It was better than that thing I did\nwith the trolls, at least you got to see my head."
All	 (admitting) Saw your head. Saw your head.'
Chandler	 (running back) She said yes!! She said yes!! (To Joey) Awful play,\nman. Whoah. (To All) Her name's Aurora, and she's Italian, and she pronounces my name\n'Chand-lrr'. 'Chand-lrr'. I think I like it better that way. (To Joey) Oh, listen, the\nusher gave me this to give to you. (He fishes a card out of his pocket.)"
Rachel	 What is it?'
Joey	 The Estelle Leonard Talent Agency. Wow, an agency left me its card! Maybe\nthey wanna sign me!'
Phoebe	 Based on this play? ...Based on this play!'
Chandler	 Hey, kids. '
All	 Hey.'
Phoebe	 (reading Monica's palm) No, 'cause this line is passion, and this is...\njust a line."
Chandler	 Well, I can't believe I've been here almost seven seconds and you\nhaven't asked me how my date went."
Monica	 Oh, right, right. How was your date, 'Chand-lrr'?"
Chandler	 It was unbelievable. I-I've never met anyone like her. She's had the\nmost amazing life! She was in the Israeli army..."
Aurora	 ...Luckily none of the bullets hit the engine block. So, we made it\nto the border, but just barely, and I- ...I've been talking about myself all night long,\nI'm sorry. What about you? Tell me one of your stories."
Chandler	 Alright. Once I got on the subway, right, and it was at night, and I\nrode it all the way to Brooklyn... just for the hell of it.'
Chandler	 We talked 'til like two. It was this perfect evening... more or\nless."
Aurora	 ...All of a sudden we realised we were in Yammon. '
Chandler	 Oh, I'm sorry, so 'we' is?"
Aurora	 'We' would be me and Rick."
Joey	 Who's Rick?"
Chandler	 Who's Rick?"
Aurora	 My husband.'
All	 Ooooohhh.'
Chandler	 Oh, so you're divorced?"
Aurora	 No.'
Chandler	 Oh, I'm sorry, then you're widowed?...Hopefully?"
Aurora	 No, I'm still married."
Chandler	 So tell me, how do- how do you think your husband would feel about you\nsitting here with me?...Sliding your foot so far up my pant leg you can count the change\nin my pocket?'
Aurora	 Don't worry. I imagine he'd be okay with you because really, he's okay\nwith Ethan."
Chandler	 Ethan? There's, there's an Ethan?"
Aurora	 Mmmm... Ethan is my... boyfriend.'
All	 What?!'
Chandler	 So explain something to me here, uh, what kind of a relationship do\nyou imagine us having if you already have a husband and a boyfriend?'
Aurora	 I suppose mainly sexual.'
Chandler	 ...Hm.'
Monica	 Oh. I'm sorry it didn't work out."
Chandler	 What 'not work out'? I'm seeing her again on Thursday. Didn't you\nlisten to the story?"
Monica	 Didn't you listen to the story? I mean, this is twisted! How could you\nget involved with a woman like this?"
Chandler	 Well, y'know, I had some trouble with it at first too, but the way I\nlook at it is, I get all the good stuff
Phoebe	 Oh, yeah. That is not true. Ross, is this your fantasy?'
Ross	 No, of course not! (Thinks) ...Yeah, yeah, it is.'
Monica	 What? So you guys don't mind going out with someone else who's going out\nwith someone else?"
Joey	 I couldn't do it."
Monica	 Good for you, Joey.'
Joey	 When I'm with a woman, I need to know that I'm going out with\nmore people than she is."
Ross	 Well, y'know, monogamy can be a, uh, tricky concept. I mean,\nanthropologically speaking-"
Ross	 Fine. Fine, alright, now you'll never know."
Monica	 We're kidding. C'mon, tell us!"
All	 Yeah! C'mon!"
Ross	 Alright. There's a theory, put forth by Richard Leakey-"
Rachel	 Tah-daaah!'
Chandler	 Are we greeting each other this way now? 'Cause I like that."
Rachel	 Look! I cleaned! I did the windows, I did the floors... I even used all\nthe attachments on the vacuum, except that little round one with the bristles, I don't\nknow what that's for."
Ross	 Oh yeah, nobody knows. And we're not supposed to ask."
Rachel	 Well, whaddya think?'
All	 Very clean! It looks great! Terrific!'
Monica	 ...Oh! I-I see you moved the green ottoman.'
All	 Uh-oh...'
Monica	 How-how did that happen?'
Rachel	 I dunno.. I-I thought it looked better there. And I- and also, it's an\nextra seat around the coffee table."
Monica	 Yeah, yeah, it's interesting.. but y'know what? Just for fun, let's see\nwhat it looked like in the old spot. (She moves it.) Alright, just to compare. Let's see.\nWell, it looks good there too. Let's just leave it there for a while."
Phoebe	 (to Rachel) I can't believe you tried to move the green ottoman."
Chandler	 Thank God you didn't try to fan out the magazines. I mean, she'll\nscratch your eyes right out."
Monica	 You guys, I am not that bad!'
Phoebe	 Yeah, you are, Monica. Remember when I lived with you? You were like, a\nlittle, y'know, (psycho) Ree! Ree! Ree! Ree!"
Monica	 That is so unfair!'
Ross	 Oh c'mon! When we were kids, yours was the only Raggedy Ann doll that\nwasn't raggedy!"
Monica	 Okay, so I'm responsible, I'm organised. But hey, I can be a kook."
Ross	 Alright, you madcap gal. Try to imagine this. The phone bill arrives, but\nyou don't pay it right away."
Monica	 Why not?'
Ross	 Because you're a kook! Instead you wait until they send you a notice."
Monica	 I could do that.'
Rachel	 Okay, uh, you let me go grocery shopping, and I buy laundry detergent,\nbut it's not the one with the easy-pour spout."
Monica	 Why would someone do that?! ...One might wonder.'
Chandler	 Someone's left a glass on the coffee table. There's no coaster. It's a\ncold drink, it's a hot day. Little beads of condensation are inching their way closer and\ncloser to the surface of the wood..."
Monica	 STOP IT!! ...Oh my God. It's true! Who am I?"
Ross	 Monica? You're Mom."
Phoebe	 Ree! Ree! Ree! Ree! Ree!'
Joey	 (on phone) Uh huh.. uh huh... oh my God! Okay! Okay, I'll be there! (He\nhangs up and to all.) That was my agent. (He tosses and catches the phone.) My agent has\njust gotten me a job...in the new Al Pacino movie!"
All	 Oh my God! Whoah!'
Monica	 Well, what's the part?"
Joey	 Can you believe this? Al Pacino! This guy\'s the reason I became an actor!\n"I\'m out of order? Pfeeeh. You\'re out of order! This whole courtroom\'s out of\norder!"'
Phoebe	 Seriously, what-what's the part?"
Joey	 "Just when I thought I was out, they pull me back in!"'
Ross	 C'mon, seriously, Joey, what's the part?"
Joey	 ...I'm his (mumbles)"
Rachel	 ..You're, you're 'mah mah mah' what?"
Joey	 ...I'm his butt double. 'Kay? I play Al Pacino's butt. Alright? He goes\ninto the shower, and then- I'm his butt."
Monica	 (trying not to laugh) Oh my God.'
Joey	 C'mon, you guys. This is a real movie, and Al Pacino's in it, and that's\nbig!"
Chandler	 Oh no, it's terrific, it's... it's... y'know, you deserve this, after\nall your years of struggling, you've finally been able to crack your way into\nshowbusiness."
Joey	 Okay, okay, fine! Make jokes, I don't care! This is a big break for me!"
Ross	 You're right, you're right, it is...So you gonna invite us all to the big\nopening?"

Monica	 Alright, alright, alright... '
Joey	 Here. I need to borrow some moisturizer.'
Monica	 For what?'
Joey	 Whaddya think? Today's the big day!"
Monica	 Oh my God. Okay, go into the bathroom, use whatever you want, just don't\never tell me what you did in there."
Joey	 Thank you! (He goes into the bathroom.)'
Chandler	 Where's Joey? His mom's on the phone."
Monica	 He's in the bathroom. I don't think you wanna go in there!"
Chandler	 C'mon, we're roommates! (He goes into the bathroom, screams, and runs\nback out.) My eyes!! My eyes!!"
Monica	 I warned you...'
Rachel	 Who is being loud?'
Chandler	 Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things,\nAurora spent the night, I really wanna make her breakfast.'
Monica	 Oh, you got the whole night, huh?'
Chandler	 Yeah, well, I only have twenty minutes until Ethan, so, y'know.. (He\nstarts to raid the fridge.)"
Rachel	 Ooh, do I sense a little bit of resentment?'
Chandler	 No, no resentment, believe me, it's worth it. 'Kay? Y'know in a\nrelationship you have these key moments that you know you'll remember for the rest of your\nlife? Well, every- single- second is like that with Aurora.. and I've just wasted about\nthirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?\n(He has armloads of stuff.)"
Monica	 Sure. Oh, um, Chandler? Y'know, the-the old Monica would-would remind\nyou to scrub that Teflon pan with a plastic brush...But I'm not gonna do that. "
Director	 (on phone)...Dammit, hire the girl! (He hangs up the phone.)\nOkay, everybody ready?'
Joey	 Uh, listen, I just wanna thank you for this great opportunity.'
Director	 Lose the robe.'
Joey	 Me?'
Director	 That would work.'
Joey	 Right. Okay. Losing the robe. (He takes off the robe.) And the robe is\nlost.'
Director	 Okay, everybody, we'd like to get this in one take, please. Let's roll\nit.. water's working (The shower starts).. and... action."
Director	 And cut. Hey, Butt Guy, what the hell are you doing?'
Joey	 Well, I'm- I'm showering."
Director	 No, that was clenching.'
