Rachel	 That is it! You just barge in here, you don't knock"
Chandler	 I'm sorry!"
Rachel	 You have no respect for anybody's privacy!"
Chandler	 Rachel, wait, wait.'
Rachel	 No, you wait! This is ridiculous!'
Chandler	 Can I just say one thing?'
Rachel	 What? What?!'
Chandler	 That's a relatively open weave and I can still see your... nipular\nareas."
Rachel	 Oh!!'

Phoebe	 Oh, honey, honey, tell them the story about your patient who thinks\nthings are, like, other things. Y'know? Like, the phone rings and she takes a shower."
Roger	 That's pretty much it."
Phoebe	 Oops!'
Roger	 But you tell it really well, sweetie.'
Phoebe	 Thanks. Okay, now go away so we can talk about you.'
Roger	 Okay. I'll miss you."
Phoebe	 Isn't he great?"
Rachel	 He's so cute! And he seems to like you so much."
Phoebe	 I know, I know. So sweet... and so complicated. And for a shrink, he's\nnot too shrinky, y'know?"
Monica	 So, you think you'll do it on his couch?"
Phoebe	 Oh, I don't know, I don't know. I think that's a little weird, y'know?\nVinyl."
Rachel	 Okaaay. (To the guys, on the couch) Any of you guys want anything else?'
Chandler	 Oh, yes, could I have one of those. (Points)'
Rachel	 No, I'm sorry, we're all out of those. Anybody else?"
Chandler	 Okay.'
Roger	 Did I, uh, did I miss something?'
Chandler	 No, she's still upset because I saw her boobies."
Ross	 You what? Wh what were you doing seeing her boobies?'
Chandler	 It was an accident. Not like I was across the street with a telescope\nand a box of donuts.'
Rachel	 Okay, okay, could we change the subject, please?'
Phoebe	 Yeah, 'cause hello, these are not her boobies, these are her breasts."
Rachel	 Okay, Pheebs, I was hoping for more of a change.'
Chandler	 Y'know, I don't know why you're so embarrassed, they were very nice\nboobies."
Rachel	 Nice? They were nice. I mean, that's it? I mean, mittens are nice."
Chandler	 Okaaay, (Gestures) rock, hard place, me.'
Roger	 You're so funny! He's really funny! I wouldn't wanna be there when when\nthe laughter stops."
Chandler	 Whoah whoah, back up there, Sparky. What'd you mean by that?"
Roger	 Oh, just seems as though that maybe you have intimacy issues. Y'know,\nthat you use your humour as a way of keeping people at a distance."
Chandler	 Huh.'
Roger	 I mean hey! I just met you, I don't know you from Adam. ...Only child,\nright? Parents divorced before you hit puberty."
Chandler	 Uhhuh, how did you know that?'
Roger	 It's textbook."
Joey	 Hey you guys. Hey, you all know my dad, right?'
All	 Hey! Hey, Mr. Trib!'
Monica	 Hey, how long are you in the city?'
Mr. Tribbiani	 Just for a coupla days. I got a job midtown. I figure I'm better\noff staying with the kid than hauling my ass back and forth on the ferry. (Sees Roger) I\ndon't know this one."
Phoebe	 Oh, this is my friend Roger.'
Roger	 Hi. '
Mr. Tribbiani	 Hey, hey. Good to meet you, Roger.'
Roger	 You too, sir.'
Mr. Tribbiani	 (To Phoebe) What happened to the, uh, puppet guy?'
Joey	 Dad, dad. (Shakes his head)'
Mr. Tribbiani	 Oh, 'scuse me. So Ross, uh, how's the wife? (Ross whines and lays\nhis head on Chandler's shoulder) Off there too, uh? Uh, Chandler, quick, say something\nfunny!"
Mr. Tribbiani	 Gotta go. I miss you too, I love you, but it's getting real late\nnow"
Joey	 (Snatches the phone) Hey Ma. Listen, I made the appointment with Dr.\nBazida, and... Excuse me? (To his dad) Did you know this isn't Ma?"
Mr. Tribbiani	 Her name's Ronni. She's a pet mortician. "
Joey	 Sure. So how long you been... (Goes back to chopping)'
Mr. Tribbiani	 Remember when you were a little kid, I used to take you to the\nnavy yard and show you the big ships?'
Joey	 Since then?!'
Mr. Tribbiani	 No, it's only been six years. I just wanted to put a nice memory\nin your head so you'd know that I wasn't always such a terrible guy. ...Joe. Y'ever been\nin love?"
Joey	 ...I d'know."
Mr. Tribbiani	 Then y'haven't. You're burning your tomatoes."
Joey	 You're one to talk. (Puts the mushrooms in a saucepan)"
Mr. Tribbiani	 Joe, your dad's in love big time. And the worst part of it is,\nit's with two different women."
Joey	 Oh man. Please tell me one of 'em is Ma."
Mr. Tribbiani	 Of course, course one of 'em's Ma. What's the matter with you."
Joey	 It's like if you woke up one day and found out your dad was leading this\ndouble life. He's like actually some spy, working for the C.I.A. (Considers) That'd be\ncool.... This blows!"
Rachel	 I know, I mean, why can't parents just stay parents? (She walks over\nnear Chandler and his gaze stays very obviously on her chest) Why do they have to become\npeople? Why do they have... (Notices Chandler) Why can't you stop staring at my breasts?"
Chandler	 (Without looking up) What? (Looks up) What?'
Rachel	 Did you not get a good enough look the other day?'
Ross	 Alright, alright. We're all adults here, there's only one way to resolve\nthis. Since you saw her boobies, I think, uh, you're gonna have to show her your peepee."
Chandler	 Y'know, I don't see that happening?"
Rachel	 C'mon, he's right. Tit for tat."
Chandler	 Well I'm not showing you my 'tat.'"
Monica	 Hello?'
Phoebe	 (Intercom) It's Phoebe."
Roger	 (Intercom) And Rog.'
Monica	 C'mon up."
Chandler	 (Sarcastic) Oh, good. Rog is here.'
Joey	 What's the matter with Rog?"
Ross	 Yeah.'
Chandler	 Oh, it's nothing, it's a little thing... I hate that guy."
Ross	 What, so he was a little analytical. That's what he does, y'know? C'mon,\nhe's not that bad."
Ross	 Y'see, that's where you're wrong. Why would I marry her if I thought on\nany level thatthat she was a lesbian?"
Roger	 I dunno. Maybe you wanted your marriage to fail.'
Ross	 Why? Why would I why? Why? Why? Why?'
Roger	 I don't know. Maybe maybe low self-esteem, maybe maybe to compensate for\novershadowing a sibling, maybe you..."
Monica	 Wait-wait, go back to that sibling thing.'
Roger	 Well, I don't know. I mean, it's conceivable that you wanted to sabotage\nyour marriage so that the sibling would feel less of a failure in the eyes of the parents."
Ross	 That that's ridiculous! I don't feel guilty for her failures!"
Monica	 Oh! So you think I'm a failure!"
Phoebe	 Isn't he good?"
Ross	 Nonono, thatthat's not what I was saying..."
Monica	 Y'know, all these years, I thought you were on my side. But maybe what\nyou were doing was sucking up to Mom and Dad so they'd keep liking you better!"
Ross	 Hey, I married a lesbian to make you look good!'
Rachel	 You're right! I mean you're right! It wasn't just the Weebles, but it\nwas the Weeble Play Palace, and and the Weebles' Cruise Ship. Oh, which had this little\nlifeboat for the Weebles to wobble in. "
Roger	 That's tough. Tough stuff. C'mon, Pheebs, we're gonna catch that movie,\nwe gotta get going. "
Phoebe	 Oh, okay. Feel better, Rachel, 'kay?"
Roger	 Geez, we're gonna be late, sweetie..."
Phoebe	 Oh, okay. Listen, thanks for everything, Mon.'
Monica	 You're welcome."
Roger	 Listen guys, it was great seeing you again. Mon, um, easy on those\ncookies, okay? Remember, they're just food, they're not love."
Monica	 Hate that guy! (Throws another cookie)'
Joey	 Night, you guys.'
Chandler	 Oh look, it's the woman we ordered."
Joey	 Hey. Can, uh, can we help you?'
Ronni	 Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani."
Joey	 I'm Joey Tribbiani."
Ronni	 Oh no, not you, big Joey. Oh my God, you're so much cuter than your\npictures! (Joey stares at her) I-I'm, I'm Ronni....Cheese Nip?"
Chandler	 Uh, Joey's having an embolism, but I'd go for a Nip, y'know?"

Ronni	 Now, y'see, most people, when their pets pass on, they want 'em sorta\nlaid out like they're sleeping. But occasionally you get your person who wants them in a\npose. Like, chasing their tail, (Demonstrates) or, uh, jumping to catch a frisbee."
Chandler	 Joey, if I go first, I wanna be looking for my keys.'
Ronni	 That's a good one!"
Mr. Tribbiani	 Hey, Joe.'
Joey	 Dad, Ronni's here."
Mr. Tribbiani	 Huh?'
Ronni	 Hi.'
Mr. Tribbiani	 Hey! Hello, babe! Wh what're what're you doing here?"
Ronni	 Oh, uh, well, you left your good hair at my apartment, I figured you'd\nneed it tomorrow for your meeting. (Hands him the hair)"
Mr. Tribbiani	 Thank you. Uh...'
Chandler	 So, who's up for a big game of Kerplunk?"
Ronni	 Look, I uh, I shouldn'ta come. I-I'd better get going, I don't wanna miss\nthe last train."
Mr. Tribbiani	 I don't want you taking that thing."
Ronni	 Oh, where'm I gonna stay, here?"
Joey	 Who-ah-ho.'
Mr. Tribbiani	 We'll go to a hotel."
Ronni	 (Shrugs) We'll go to a hotel."
Joey	 No you won't."
Ronni	 No we won't."
Joey	 If you go to a hotel you'll be...doing stuff. I want you right here where\nI can keep an eye on you."
Mr. Tribbiani	 You're gonna keep an eye on us?"
Joey	 That's right, mister, and I don't care how old you are, as long as you're\nunder my roof you're gonna live by my rules. And that means no sleeping with your\ngirlfriend."
Ronni	 Wow. He's strict."
Joey	 Now dad, you'll be in my room, Ronni uh, you can stay in Chandler's room."
Ronni	 Thanks. You're, uh, you're a good kid."
Chandler	 C\'mon, I\'ll show you to my room. ...That sounds so weird when it\'s not\nfollowed by "No thanks, it\'s late." '
Joey	 Okay. Now this is just for tonight. Starting tomorrow, you gotta make a\nchange. This has gone on long enough.'
Mr. Tribbiani	 What kinda change?'
Joey	 Well, either you break it off with Ronni'
Mr. Tribbiani	 I can't do that!"
Joey	 Then you gotta come clean with Ma! This is not right!'
Mr. Tribbiani	 Yeah, but this is'
Joey	 I don't wanna hear it! Now go to my room!"
Chandler	 Hey, Kicky. What're you doing?"
Joey	 Just trying to get comfortable. I can't sleep in my underwear. "
