Joey	 I'm tellin' you Ross, she wants you."
Ross	 She barely knows me. We just live in the same building.'
Chandler	 Any contact?'
Ross	 She lent me an egg once.'
Joey	 You're in!"
Ross	 Aw, right.'
Woman	 Hi, Ross.'
Ross	 Hey. (stutters something incoherent)'
Chandler	 Come on, Ross, you gotta get back in the game here, ok? The Rachel\nthing's not happening, your ex-wife is a lesbian\xc2\x97I don't think we need a third... "
Joey	 Excuse me, could we get an egg over here, still in the shell? Thanks.'
Ross	 An egg?'
Joey	 Yeah, you\'re gonna go up to her and say, "Here\'s your egg back, I\'m\nreturning your egg."'
Chandler	 I think it's winning."
Ross	 I think it's insane."
Chandler	 She'll love it. Go with the egg, my friend."
Joey	 Think it'll work?"
Chandler	 No, it's suicide. The man's got an egg."
Monica	 You can not do this.'
Rachel	 Do what, do what?'
Monica	 Roger wants to take her out tomorrow night.'
Rachel	 No! Phoebes! Don't you remember why you dumped the guy?"
Phoebe	 'Cause he was creepy, and mean, and a little frightening... alright,\nstill, it's nice to have a date on Valentine's Day!"
Monica	 But Phoebe, you can go out with a creepy guy any night of the year. I\nknow I do. '
Rachel	 Well, what are you guys doing tomorrow night?'
Joey	 Actually, tomorrow night kinda depends on how tonight goes.'
Chandler	 Oh, uh, listen, about tonight...'
Joey	 No, no, no, don't you dare bail on me. The only reason she's goin' out\nwith me is because I said I could bring a friend for her friend."
Chandler	 Yes, I know, but her friend sounds like such a...'
Joey	 Pathetic mess? I know, but\xc2\x97come on, man, she's needy, she's\nvulnerable. I'm thinkin', cha-ching! (Rachel throws a roll at Joey. He picks it up and\neats it.) Thanks. Look, you have not been out with a woman since Janice. You're doin'\nthis."
Ross	 Hi. She said yes.'
Chandler	 Yes! Way to go, man! (Chandler and Ross hug. Something crunches in\nRoss' shirt pocket.) Still got the egg, huh?"
Joey	 (Looking at himself in the reflection on a knife) How do I look?'
Chandler	 Oh, uh, I... don't... care. (Joey's date shows up) Ok, now, remember,\nno trading. You get the pretty one, I get the mess."
Lorraine	 Hi, Joey. Well well, look what you brought. Very nice.'
Chandler	 ...And what did you bring?'
Lorraine	 She's checking the coats. Joey, I'm gonna go wash the cab smell off my\nhands. Will you get me a white Zinfandel, and a glass of red for Janice."
Chandler	 Janice?'
Janice	 Oh.... my.... God.'
Chandler	 (angrily) Hey, it's Janice."
Chandler	 Ok, I'm makin' a break for it, I'm goin' out the window. "
Joey	 No, no, no, don't! I've been waitin' for like, forever to go out with\nLorraine. Just calm down. "
Chandler	 Calm down? Calm down? You set me up with the woman that I've dumped\ntwice in the last five months!"
Joey	 (at the urinal) Can you stop yellin'? You're makin' me nervous, and I\ncan't go when I'm nervous."
Chandler	 I'm sorry, I'm sorry, you're right. (gets up right behind Joey and\nyells in his ear) Come on, do it, do it, go, come on!!!"
Rachel	 Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney.'
Monica	 Which one was Pete Carney?'
Rachel	 Pete the Weeper? Remember that guy who used to cry every time we had\nsex. (imitating) "Was it good for you?"'
Monica	 Yeah, well, I\'ll take a little crying any day over\nHoward-the-"I-win"-guy. (imitating) "I win! I win!" I went out with\nthe guy for two months\xc2\x97I didn\'t get to win once.'
Rachel	 How did we end up with these jerks? We're good people!"
Monica	 I don't know. Maybe we're some kinda magnets."
Phoebe	 I know I am. That's why I can't wear a digital watch."
Monica	 There's more beer, right?"
Phoebe	 Oh! You know my friend Abby who shaves her head? She said that if you\nwant to break the bad boyfriend cycle, you can do like a cleansing ritual.'
Rachel	 Pheebes, this woman is voluntarily bald.'
Phoebe	 Yeah. So, we can do it tomorrow night, you guys. It's Valentine's Day.\nIt's perfect."
Monica	 Ok, well, what kind of ritual?'
Phoebe	 Ok. We can, um, we can burn the stuff they gave us.'
Rachel	 Or?'
Phoebe	 Or...or we can chant and dance around naked, you know, with sticks.'
Monica	 Burning's good."
