Rachel	 (to Joey) Coffee. (Hands it to him.)'
Joey	 Thank you.'
Rachel	 (to Ross) Cappuccino. (Hands it to him.) '
Ross	 Grazie.'
Rachel	 And a nice hot cider for Monica. (Hands it to her.)'
Monica	 Aww, thank you. (Notices something.) Uh Rach?'
Rachel	 Yeah?'
Monica	 Why does my cinamon stick have an eraser?'
Rachel	 Oh! That's why. (Rachel checks behind her ear, and finds a cinamon\nstick.) I'm sorry!"
Woman	 Chandler.'
Chandler	 Mrs. Tedlock. You're looking lovely today. And may I say, that is a very\nflattering sleeve length on you."
Mrs. Tedlock	 Yes. Well, Mr. Kostelick wants you to stop by his office at the\nend of the day.'
Chandler	 Oh, listen. If this is about those prank memos, I had nothing to do\nwith them. Really. Nothing at all. Really. (Chandler tries to hide a rubber chicken from\nthe woman.) Nothing.'
Phoebe	 Hey you guys! Chandler's coming and he says he has, like, this\nincredible news, so when he gets here, we could all act like, you know..."
Chandler	 Hey!'
All	 Hey!'
Phoebe	 Never mind. But it was going to be really good.'
Ross	 What's going on?"
All	 What is it?'
Chandler	 So, it's a typical day at work. I'm inputting my numbers, and big Al\ncalls me into his office and tells me he wants to make me processing supervisor."
All	 That's great!"
Chandler	 So.... I quit.'
All	 Why?'
Chandler	 Why? This was supposed to be a temp job!'
Monica	 Yeah, Chandler... you've been there for five years."
Chandler	 If I took this promotion, it'd be like admitting that this is what I\nactually do."
Phoebe	 So was it a lot more money?'
Chandler	 It doesn't matter. I just don't want to be one of those guys that's in\nhis office until twelve o'clock at night worrying about the WENUS."
Rachel	 ... the WENUS?'
Chandler	 Weekly Estimated Net Usage Systems. A processing term.'
Rachel	 (sarcastic) Oh. That WENUS.'
Joey	 So what're you going to do?"
Chandler	 I don't know. That's the thing. I don't know what I want to do. I just\nknow I'm not going to figure it out working there."
Phoebe	 Oooh! I have something you can do! I have this new massage client...\nSteve? (pause) Anyway, he's opening up a restaurant and he's looking for a head chef."
Monica	 (taps Phoebe on her shoulder) Um... hi there.'
