Joey	 How could someone get a hold of your credit card number?'
Monica	 I have no idea. But look how much they spent!'
Rachel	 Monica, would you calm down? The credit card people said that you only\nhave to pay for the stuff that you bought.'
Monica	 I know. It's just such reckless spending."
Ross	 I think when someone steals your credit card, they've kind of already\nthrown caution to the wind."
Chandler	 Wow, what a geek. They spent $69.95 on a Wonder Mop.'
Monica	 That's me."
Phoebe	 Oh! The yuk! Ross, he's doing it again! (Points to a lamp which is\nshaking behind the sofa)"
Ross	 Marcel, stop humping the lamp! Stop humping! Now Marcel, come back-\n(Marcel runs toward Rachel's room) come here, Marcel-"
Rachel	 Oh no, not in my room! I'll get him."
Monica	 Ross, you've got to do something about the humping."
Ross	 What? It's, it's just a phase."
Chandler	 Well, that's what we said about Joey..."
Ross	 Would you all relax? It's not that big a deal."
Rachel	 (Out of shot) Stop it! Marcel! Bad monkey!'
Ross	 What?'
Rachel	 Let's just say my Curious George doll is no longer curious."

Rachel	 Oh, Monica. You are not still going over that thing.'
Monica	 This woman's living my life."
Rachel	 What?'
Monica	 She's living my life, and she's doing it better than me! Look at this,\nlook. She buys tickets for plays that I wanna see. She, she buys clothes from stores that\nI'm intimidated by the sales people. She spent three hundred dollars on art supplies."
Rachel	 You're not an artist."
Monica	 Yeah, well I might be if I had the supplies! I mean, I could do all this\nstuff. Only I don't."
Rachel	 Oh, Monica, c'mon, you do cool things."
Monica	 Oh really? Okay, let's compare, shall we."
Rachel	 (Yawning) Oh, it's so late for 'Shall we'..."
Monica	 Do I go horseback riding in the park? Do I take classes at the New\nSchool?'
Rachel	 (Yawning) Nooo...'
Monica	 This is so unfair! She's got everything I want, and she doesn't have my\nmother."
Chandler	 How about Joey... Pepponi?'
Joey	 No, still too ethnic. My agent thinks I should have a name that's more\nneutral."
Chandler	 Joey... Switzerland?'
Joey	 Plus, y'know, I think it should be Joe. Y'know, Joey makes me sound like\nI'm, I dunno, this big. (Waitress looks at him funny) Which I'm not."
Chandler	 Joe...Joe...Joe...Stalin?'
Joey	 Stalin...Stalin...do I know that name? It sounds familiar.'
Chandler	 Well, it does not ring a bell with me...'
Joey	 (Writes it down) Joe Stalin. Y'know, that's pretty good."
Chandler	 Might wanna try Joseph.'
Joey	 Joseph Stalin. I think you'd remember that!"
Chandler	 Oh yes! Bye Bye Birdie, starring Joseph Stalin. Joseph Stalin is the\nFiddler on the Roof.'
Rachel	 Hey.'
Phoebe	 Hey.'
Monica	 Hi. (On the phone) Hi, uh, yes, this is Monica Geller. Um, I believe I'm\ntaking some classes with you and I was wondering what they were."
Phoebe	 What are you doing?'
Monica	 (Hushes her) Alright, great. Thanks a lot. (Hangs up) I'm going to tap\nclass."
Rachel	 What, what, so that you can dance with the woman that stole your credit\ncard?'
Monica	 This woman's got my life, I should get to see who she is."
Rachel	 Go to the post office! I'm sure her picture's up! ...Okay, Monica,\ny'know what, honey, you're kinda losing it here! I mean, this is really becoming like a\nweird obsession thing."
Phoebe	 This is madness. It's madness, I tell you, for the love of God,\nMonica, don't do it!! ...Thank you."
Monica	 What d'you think?"
Phoebe	 Lotsa things.'
Rachel	 Which one do you think she is?'
Teacher	 May I help you?'
Monica	 Oh, no thanks, we're just here to observe."
Teacher	 You don't observe a dance class. You dance"
Rachel	 What does she mean?'
Phoebe	 I think she means (Imitates) 'You dance"
Monica	 Okay, d'y'see anybody you think could be me?"
Teacher	 (To the class) People! Last time there were some empty yoghurt\ncontainers lying around after class. Let's not have that happen again!"
Rachel	 She could be you.'
Teacher	 Let's get started. Five, six, a-five six seven eight..."
Monica	 Okay, I'm not getting this!"
Phoebe	 (Dancing in a swirly, Phoebe kind of way) I'm totally getting it!"
Monica	 Did you ever feel like sometimes you are just so unbelievably\nuncoordinated?'
Rachel	 What? You just click when they click.'
Teacher	 Alright people, now everyone grab a partner.'
Phoebe	 Okay. And, my, dead, mother, says, you, are, it. I'm with Rachel."
Monica	 Great. It's gym class all over again."
Phoebe and Rachel	 Aww.'
Teacher	 Well that's all right, you can come up to the front and dance with me."
Monica	 Why don't I just take off my clothes and have a nightmare."
Woman	 It's okay, it's okay, I'm here, I'm here. Sorry I'm late, okay, here I\nam. Who's the new tense girl?"
Teacher	 She's your partner."
Woman	 Hi. I'm Monica."
Monica	 Oh. Monica! ...Hi. I'm Mo- ...nana."
Woman	 (Fake Monica) Monana?'
Monica	 Yeah. It's Dutch."
Fake Monica	 You're kidding! I-I spent three years in Amsterdam. (Asks her\nsomething in Dutch)"
Monica	 Um, Pennsylvania Dutch.'
Teacher	 And we're dancing. A-five, six, seven, eight..."
Ross	 (Mortified) Hi.'
Chandler and Joey	 Hey.'
Joey	 Where've you been?"
Ross	 At the vet.'
Chandler	 She's not gonna make you wear one of those big plastic cones, is she?"
Ross	 She says Marcel's humping thing's not a phase. Apparently he's reached\nsexual maturity."
Joey	 (To Chandler) Hey! He beat ya.'
Ross	 She says as time goes on, he's gonna start getting agressive and violent."
Chandler	 So what does this mean?'
Ross	 I'm gonna have to give him up."

Joey	 I can't believe it, Ross. This sucks!"
Chandler	 I don't get it, I mean, you just got him. How can he be an adult\nalready?"
Ross	 I know. I know. I mean, one day, he's this little thing, and before you\nknow it, he's this little thing I can't get off my leg."
Joey	 Isn't there any way you can keep him?"
Ross	 No, no. The vet says unless he's in a place where he has regular access to\nsome... monkey lovin,' he's just gonna get vicious. I've just gotta get him into a zoo."
Joey	 How do you get a monkey into a zoo?'
Chandler	 I know that one! ...No, that's Popes into a Volkswagen."
Ross	 Well, we're applying to a lot of them. Naturally our first choice would be\none of the bigger state zoos, y'know, like, uh, San Diego... right? But that might just be\na pipe dream, because, y'know, he's out of state. Uh, my vet, uh, knows someone at Miami,\nso that's a possibility."
