Ross	 She's not here yet. She's not here. She's having my baby and she's not\nhere."
Monica	 I'm sure everything's fine. Has her water broke yet?"
Ross	 I don't know, but when I spoke to her, she said she had already passed the\nmucus plug."
Joey	 Do we have to know about that?'
Monica	 Joey, what are you gonna do when you have a baby?'
Joey	 I'm gonna be in the waitin' room, handing out cigars."
Chandler	 Yes, Joey's made arrangements to have his baby in a movie from the\n50's."
Ross	 God, I don't believe this. She could be giving birth in the cab."
Rachel	 Oh, Ross, relax. It's probably like two dollars for the first\ncontraction, and then fifty cents for each additional contraction."
Rachel	 What, it's ok when Chandler does it?"
Chandler	 You have to pick your moments.'
Phoebe	 Did I miss it, did I miss it?'
Ross	 She's not even here yet."
Monica	 What's with the guitar?"
Phoebe	 I just thought we might be here for awhile. You know, things might get\nmusical.'
Ross	 (to Carol) Where the hell have you been?'
Susan	 We stopped at the gift shop.'
Carol	 I was looking at stuffed animals, and Susan wanted a Chunky.'
Ross	 Susan wanted a Chunky. We're having a baby, ok, a baby, you don't\nstop for Chunkys."
Chandler	 I used to have that bumper sticker.'
Chandler	 (to Rachel) You see what I mean.'

Ross	 Stopped for a Chunky.'
Carol	 Let it go, Ross.'
Susan	 I got an extra one. You want this? (holds the candy in front of Ross'\nface)"
Ross	 (weakly) No.'
Dr. Franzblau	 Hey, how's my favorite parenting team doing?"
Ross	 Dr. Franzblau, hi.'
Dr. Franzblau	 So, I understand you're thinking of having a baby? Well, I see\nyou're nine months pregnant. That's a good start. How you doing with your contractions?"
Carol	 Oh, I love them. Each one's like a little party in my uterus."
Susan	 They're every four minutes and last 55 seconds."
Ross	 59 seconds. (holds up his watch) Quartz, ha.'
Susan	 Swiss quartz, ha, ha.'
Carol	 Am I allowed to drink anything?'
Dr. Franzblau	 Ice chips, just ice chips. They're at the nurses' station."
Ross	 I'll get it."
Susan	 No, I'm getting it. I'll be right back."
Ross	 I got it\xc2\x97I'm getting it!"
Rachel	 Hi, I thought you might like some ice chips.'
Carol	 Thanks.'
Rachel	 And if you need anything else, I\xc2\x97(notices the handsome Dr.\nFranzblau)\xc2\x97do not believe we've met. Hi. I'm, uh, Rachel Green. I'm Carol's...\nex-husband's... sister's roommate. "
Dr. Franzblau	 It is nice to meet you. I'm Dr. Franzblau. I'm your roommate's...\nbrother's... ex-wife's obstetrician."
Rachel	 Oh, that's funny!"
Monica	 I want a baby.'
Chandler	 Mmmm. Not tonight, honey. I got an early day tomorrow.'
Monica	 Get up. Come on. Let's get some coffee."
Chandler	 Oh, ok, 'cause we never do that."
Joey	 (to the screen) Shoot! Shoot! Shoot! Shoot, or just fall down. That's good\ntoo."
Lydia	 Knick fan?'
Joey	 Oh, yeah.'
Lydia	 Oh, boy, do they suck.'
Joey	 Hey, listen, lady....(sees that she's pregnant)...whoa."
Lydia	 Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit\nwater if he was standing on a boat."
Joey	 Oh yeah? And who do you like?'
Lydia	 The Celtics.'
