Ross	 And here's little Ben nodding off..."
Monica	 Awww, look at Aunt Monica's little boy!"
Phoebe	 Oh, look, he's got Ross's haircut!"
Rachel	 Oh, let me see! (grabs picture) Oh, God, is he just the sweetest thing?\nYou must just want to kiss him all over!'
Ross	 (quietly) That would be nice.'
Rachel	 Pardon?'
Chandler	 Nothing, just a little extra air in my mouth. Pffft. Pffffffft. (walks\nover to where Joey is seated)'
Joey	 Hey, Chan, can you help me out here? I promise I'll pay you back."
Chandler	 Oh, yeah, right, OK... inlcuding the waffles last week, you now owe\nme... 17 jillion dollars.'
Joey	 I will, really. I'll pay you back this time."
Chandler	 (sigh)... And where's this money coming from? (gives money to Joey)"
Joey	 Well... I'm helping out down at the N.Y.U. Med School with some...\nresearch."
Ross	 (overhearing) What kind of research?'
Joey	 Oh, just, y'know.... science."
Ross	 Science. Yeah, I think I've heard of that. (everyone's interest is piqued,\nthey all look over)"
Joey	 (sigh)... It's a fertility study."
Monica	 Oh, Joey, please tell me you're only donating your time."
Joey	 Alright, come on you guys, it's not that big a deal. Really... I mean, I\njust go down there every other day and... make my contribution to the project. Hey, hey,\nbut at the end of two weeks, I get seven hundred dollars."
Ross	 Hey.'
Phoebe	 Wow, ooh, you're gonna be making money hand over fist!"
Monica	 OK, we got the cole slaw, we got the buns...'
Phoebe	 We've got the ground-up flesh of formerly cute cows and turkeys, ew...\n(hands meat to Monica)"
Chandler	 (in a deep voice) Men are here.'
Joey	 We make fire. Cook meat.'
Chandler	 Then put out fire by peeing, no get invited back.'
Monica and Phoebe	 Ewww!'
Monica	 Oh Joey, Melanie called, said she's gonna be late."
Joey	 Oh, OK.'
Phoebe	 So how are things going with you two? Is she becoming your\n(provocatively) special someone?'
Joey	 I don't know, she's, uh.... she's pretty great."
Monica	 Yeah? What does she think of your little science project?'
Joey	 What, you think I'm gonna tell a girl I like that I'm also seeing a cup?"
Monica	 Man's got a point."
Joey	 Well, the tough thing is, she really wants to have sex with me.'
Chandler	 Crazy bitch.'
Joey	 Yeah, well, I still got a week left to go in the program, and according to\nthe rules, if I want to get the money I'm not allowed to conduct any... ersonal\nexperiments, if you know what I mean."
Monica	 Joey... we always know what you mean.'
Phoebe	 Hey.'
Monica	 Hey.'
Ross	 Hey. (Phoebe sees his bags)'
Phoebe	 How long did you think this barbecue was gonna last?'
Ross	 I'm going to China. "
Phoebe	 Jeez, you say one thing, and...'
Monica	 You're going to China?"
Ross	 Yeah, i-it's for the museum. Someone found a bone, we want the bone, but\nthey don't want us to have the bone, so I'm going over there to try to persuade them to\ngive us the bo\xc2\x97it's\xc2\x97it's a whole big bone thing. Anyway, I'm gonna be gone for\nlike, uh... like a week, so, uh, if you wanna reach me, y-you can't. So here's my\nitinerary (hands a sheet of paper to Monica). Um... here's a picture of me... (hands it to\nMonica)"
Phoebe	 Oh, let me see! (takes the picture)'
Ross	 (to Monica)
Monica	 Yeah.'
Phoebe	 Hi, Ben. I'm your father. I am... the head. Aaaaaahhhh.... (puts picture\ndown, sees Ross staring at her) Alright, this barbecue is gonna be very fun."
Ross	 Hey, is Rachel here? Um, I wanted to wish her a happy birthday before I\nleft.'
Monica	 Oh no, she's out having drinks with Carl."
Ross	 Oh. (pause) Hey, who's Carl?"
Monica	 You know, that guy she met at the coffeehouse.'
Ross	 No.'
Phoebe	 Oh, well, see, there's this guy she met at the..."
Ross	 At the coffeehouse, right.'
Phoebe	 So you do know who he is! (laughs, Ross stares at her) Sorry.'
Ross	 OK, I'm gonna go say goodbye to the guys."
Phoebe	 Oh, hey, y'know what? Tell them that bone story."
Ross	 Hi.'
Joey	 Hey!'
Chandler	 Hey!'
Ross	 (sigh)....I have to go to China.'
Joey	 The country?'
Ross	 No no, this big pile of dishes in my mom's breakfront. Do you guys know\nwho Carl is?"
Chandler	 Uh, let's see... Alvin... Simon... Theodore.... no."
Ross	 Well, Rachel's having drinks with him tonight."
Joey	 Oh no! How can she do that when she's never shown any interest in you?!?"
Chandler	 Forget about her.'
Joey	 He's right, man. Please. Move on. Go to China. Eat Chinese food."
Chandler	 Course there, they just call it food.'
Ross	 Yeah... I guess. I don't\xc2\x97I don't know. Alright, just... just give her\nthis for me, OK? (gives Chandler a gift for Rachel)"
Joey	 Listen, buddy, we're just looking out for you."
Ross	 I know.'
Joey	 We want you to be happy. And I may only have a couple beers in me, but...\nI love you, man. (Joey gives Ross a hug)'
Chandler	 I'm still on my first. I just think you're nice."
Melanie	 Anyway, that's when me and my friends started this whole fruit basket\nbusiness. We call ourselves 'The Three Basketeers.'"
Joey	 Like the three musketeers, only with fruit.'
Chandler	 (sarcastic) Ooooh. (looks dumbfounded at Joey's stupidity)"
Monica	 (gets up) OK, how does everybody like their burgers?'
Rachel	 Oh, no, no, no. Presents first. Food later. (walks into living room)'
Monica	 Hey, hold on there, tiger. How's it going? How you holding up?"
Joey	 Well, not so good. She definitely thinks tonight is the night we're\ngonna... complete the transaction, if you know what I..."
Joey	 Then you do. Heh, heh.'
Monica	 So, uh, have you ever thought about being there for her?'
Joey	 What do you mean?'
Monica	 Y'know, just be there for her."
Joey	 Not following you.'
Monica	 Think about it.'
Rachel	 OK, I'm guessing this is from..."
Rachel	 Well, thank you, Melanie.'
Chandler	 (pointing out a gift) OK, this one right here is from me.'
Rachel	 (picks it up) OK... ah, it's light... (shakes it)...it rattles...\nit's... (opens it) Travel Scrabble! Oooohhh, thank you! (she gives it back to him)"
Rachel	 This one's from Joey... feels like a book. Thinks it's a book... feels\nlike a book. And...(opens it)...it's a book!"
Phoebe	 Oh, it's Dr. Seuss!"
Joey	 (to Rachel)
Melanie	 There is a little child inside this man!'
Chandler	 Yes, the doctors say if they remove it, he'll die."
Rachel	 Who's this from?"
Chandler	 Oh, that's Ross's. "
Rachel	 Oh... (opens it)... (sees it is a pin) Oh my God. He remembered.'
Phoebe	 Remembered what?'
Rachel	 It was like months ago. We were walking by this antique store, and I saw\nthis pin in the window, and I told him it was just like one my grandmother had when I was\na little girl. Oh! I can't believe he remembered!"
Chandler	 Well, sure, but can you play it on a plane? (pats his Travel\nScrabble game)'
Phoebe	 Oh, it's so pretty. This must have cost him a fortune."
Monica	 I can't believe he did this."
Chandler	 Come on, Ross? Remember back in college, when he fell in love with\nCarol and bought her that ridiculously expensive crystal duck?'
Rachel	 What did you just say?'
Chandler	 (panicked) ahem... um... Crystal duck.'
Rachel	 No, no, no.... the, um, the... 'love' part?"
Chandler	 (stuttering incoherently) F-hah.... flennin....'
Rachel	 Oh.... my God.'
Chandler	 (rubbing his temples) Oh, no-no-no-no-no....'
Joey	 (pats Chandler on the leg) That's good, just keep rubbing your head.\nThat'll turn back time."

Rachel	 I mean, this is unbelievable.'
Phoebe	 I know. This is really, really huge.'
Chandler	 No it's not. It's small. It's tiny. It's petite. It's wee."
Phoebe	 Nuh-uh. I don't think any of our lives are ever gonna be the same ever\nagain."
Chandler	 OK, is there a mute button on this woman?'
Monica	 I think this is so great! I mean, you and Ross! D-did you have any idea?'
Rachel	 No! None! I mean, my first night in the city, he mentioned something\nabout asking me out, but nothing ever happened, so I just... (to Joey)
Joey	 Well, given that he's desperately in love with you, he probably wouldn't\nmind getting a cup of coffee or something."
