CHAN	 Does anyone have one from a different paper? Ross, read yours.'
MNCA	 Wait, wait, wait, wait, wait one minute. Wait a minute. I believe this\nwill change your mind. [Reads from paper] In a mediocre play, Joseph Tribbiana was able\nto achieve brilliant new levels of... continued on page 153...[turns it] sucking.'
PHOE	 Half full of looooovvvvve.'
PHOE	 Cabin of loooooovvvvve.'
RACH	 We went through a lot of wine tonight, you guys. [walks over to table,\nholding five empty wine bottles]'
JOEY	 Monica, have you ever been with him when he wasn't drinking?"
RACH	 Noooo, no, I'm not mad at him. I'm.. I'm not really anything at him\nanymore."
PHOE	 That is funny.'
MNCA	 Not that bad? Did you hear the hammer story?'
ROSS	 Oh, oh, you're... uh... you're, oh you're the date."
ROSS	 [upset] She's dating. She's dating."
CHAN	 Yes, yes, but did you see who she was dating?'
CHAN	 Y'know, maybe this isn't such a big deal. Y'know, I mean, the way that I see it\nis you get a great job and you get to have sex. Y'know, I mean, throw in a tree and\na fat guy and you've got Christmas."
RACH	 No, Phoebs. I'm dating Russ."
ROSS	 Hey, you're a doctor of gums. That's the smallest body part you can major\nin. It's like day one, floss. Day two, here's your diploma."
Credits [Scene	 Central Perk. Russ enters. Chandler and\nPhoebe are sitting on the couch.]'

