Joey	 I'm tellin' ya that girl totally winked at me."
All	 Did not, she did not wink at you...(sees that their sacred couch is\noccupied by strangers).'
Chandler	 Huh. (They all leave, dejected)'

Ross	 I have to say Tupolo Honey by Van Morrison.'
Rachel	 Nooo Way! The most romantic song ever is The Way We Were.'
Phoebe	 See, I-I think that one that Elton John wrote for, um, that guy on Who's\nThe Boss."
Rachel	 What song was that, Pheebs?'
Phoebe	 (singing) Hold me close, young Tony Dan-za.'
Phoebe	 Hi Monica!'
Ross	 Hey Mon!'
Rachel	 Hey Mon!'
Phoebe	 Oh my God, has she slept at all?'
Ross	 Nope.'
Rachel	 No, it's been three nights in a row."
Ross	 Yeah, she finally stopped crying yesterday, but then she found one of\nRichard's cigar butts out on the terrace, so."
Phoebe	 Oh, okay that explains it. I got a call at two in the morning, but all I\ncould hear was, like, this high squeaky sound, so I thought okay its like a mouse or a\nopossum. But then I realized where would a mouse or a opossum get the money to make the\nphone call.'
Chandler	 Morning.'
Joey	 Morning, hey, you made pancakes?'
Chandler	 Yeah, like there's any way I could ever do that."
Janice	 (entering and singing) Monica and Rachel had syrup, now I can get my man\nto cheer up. (laughs hysterically) Good morning Joey.'
Joey	 (sarcastically) Good morning.'
Chandler	 Hey, you know what, here's a thought. Why don't you stay home from\nwork today and just hang out with me."
Janice	 Oh, I wish. Look, honey, you have that report to finish, and I gotta go\nsee my lawyer. '
Chandler	 I can not believe that I am going out with someone that is getting\ndivorced. I'm such a grown up."
Janice	 (laughs) I-I-I gotta go, I gotta go. Okay, not without a kiss.'
Chandler	 Well, maybe I won't kiss you, and then you'll have to stay."
Joey	 (under his breath) Kiss her! Kiss her!'
Janice	 I'll see you later, sweetie. Bye Joey."
Joey	 B-bye Janice. So when ya' dumpin' her."
Chandler	 Nope, not this time.'
Joey	 Come on, quite yankin' me."
Chandler	 I'm not yanking you."
Joey	 This is Janice.'
Chandler	 Yeah, I know. She makes me happy.'
Joey	 Okay. All right. You look me in the eye and tell me, without blinking,\nthat you're not breaking up with her. No blinking."
Chandler	 (looks him in the eye) I'm not breaking up with her! (they stare at\neach other for a while, then Joey blows in his face)"
Monica	 God, look what I found in the drain.'
Rachel	 What?!'
Monica	 It's some of Richard's hair! (holds it close to Ross) What do I do with\nthis?"
Ross	 Getting it away from me would be job one.'
Monica	 It's weird, but you know what I don't wanna throw this away. I mean this\nis like all I have left of him, gross, drain hair. Ooh! (drops it in Ross's cereal)"
Phoebe	 Ooh. Oh. It looks like, like a tiny little person drowning in your\ncereal. (Ross gives her this look, like 'Yeah, doesn't it', and gets up to dump it down\nthe drain.)"
Monica	 God, what is wrong with me.'
Ross	 You need to get some sleep.'
Monica	 I need to get some Richard.'
Rachel	 Monica, you broke up with him for a reason.'
