Ross	 So I told Carl, \xc2\x91Nobody, no matter how famous their parents are,\nnobody is allowed to climb on the dinosaur.\xc2\x92 But of course this went in one ear and\nout.....'
Rachel	 I love how he cares so much about stuff. If I squint I can pretend\nhe\xc2\x92s Alan Alda.'
Monica	 Oh good, another dinosaur story. When are those gonna become extinct?'
Chandler	 If I was a superhero who could fly and be invisible, that\nwould be the best.'
Gunther	 What does Rachel see in this guy? I love Rachel. I wish she was my\nwife.'
Phoebe	 Who\xc2\x92s singing?'

Ross	 Hey. When you guys were kids and you played Happy Days, who were\nyou? I was always Richie.'
Monica	 I was always Joanne.'
Joey	 Question. Was ah, \xc2\x91Egg the Gellers!\xc2\x92 the war cry of your\nneighbourhood?'
Phoebe	 Ewww! Oh! It\xc2\x92s the Mattress King!'
Joey	 Booo!!'
Chandler	 (to Janice) Don\xc2\x92t look honey. Change the channel! Change the\nchannel!'
Janice	 Wait! Wait! I wanna see this. After I divorce him, half of that kingdom\nis gonna be mine.'
Matress King	 (on TV) \xc2\x91Despair fills the mattress showroom. My kingdom\nis suddenly without a queen. I\xc2\x92m so depressed I\xc2\x92m going to slash... my prices!!\nCheck it out! Four ninety-nine for a pillow top queen set! I\xc2\x92m going medieval on\nprices!'
Chandler	 What a wank!'
Janice	 Oh, I cannot believe he\xc2\x92s using our divorce to sell mattresses.'
Monica	 I know! And four ninety-nine for a pillow top queen set, who cares about\nthe divorce, those babies will sell themselves. (they all stare at her) And I\xc2\x92m\nappalled for you by the way.'
Matress King	 (on TV) I\xc2\x92m close. I\xc2\x92m cheap. I\xc2\x92m the king.'
Rachel	 \xc2\x91Okay. (listens) Okay, daddy we\xc2\x92ll see you tomorrow night.\n(listens) Okay bye-bye.\xc2\x92 (hangs up)'
Ross	 We?'
Rachel	 Are ah, having dinner with my Dad tomorrow night, I hope that\xc2\x92s\nokay.'
Ross	 Oh shoot, tomorrow\xc2\x92s not so good, I\xc2\x92m supposed to um, fall off\nthe Empire State building and land on a bicycle with no seat. Sorry.'
Rachel	 Ross, my father doesn\xc2\x92t hate you.'
Ross	 Please, he refers to me as \xc2\x91wethead\xc2\x92.'
Rachel	 But honey he calls everybody by a nickname! Okay, look, I know, all\nright, just one dinner, please, just one night for me, please. I just want him to love you\nlike I do. (Ross looks at her) All right, well not exactly like I do, but, but, if you do\ncome to dinner, I\xc2\x92ll love you like I do in that black thing that you like.'
Chandler	 (leaning in) I\xc2\x92ll go.'
Ross	 Fine.'
Rachel	 Thank you.'
Ross	 Hi Gunther.'
Gunther	 Yeah, we\xc2\x92ll see!'
Joey	 (entering) Hey, you guys!'
Phoebe	 Hey!'
Joey	 Guess what?'
Ross	 What?'
Joey	 I got a gig!'
All	 Yay!!'
Chandler	 See, that\xc2\x92s why I could never be an actor. Because I can\xc2\x92t\nsay gig.'
Phoebe	 Yeah, I can\xc2\x92t say croissant. (realises) Oh my God!'
Monica	 What\xc2\x92s the part?'
Joey	 Well, it\xc2\x92s not a part, no. I\xc2\x92m teaching acting for soap operas\ndown at the Learning Extension.'
Ross	 Come on! That\xc2\x92s great.'
All	 Wow!'
Joey	 Yeah, yeah. It\xc2\x92s like my chance to give something back to the acting\ncommunity.'
Ross	 Y\xc2\x92know your probably not allowed to sleep with any of your students.'
Joey	 (glares at him) I know!'
Phoebe	 Ugh! I don\xc2\x92t know Monica. It feels funny just being here. I mean if\nyou buy a bed from Janice\xc2\x92s ex-husband, that\xc2\x92s like betraying Chandler.'
Monica	 Not at these prices.'
Phoebe	 (sees a little kid playing with a race car bed) (to kid) Hi. Y'know in\nEngland this car would be on the other side of the store. (the kid just stares at her, and\nshe makes the \xc2\x91that went right over your head\xc2\x92 motion) Woo!"
Monica	 (lying down on a mattress) Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this\nis my new bed. You gotta feel this bad boy.'
Phoebe	 Eh, Monica it, it feels so weird, y'know, Chandler\xc2\x92s your friend...\n(hops onto the bed) Oh! Oh my God! Aw, all right take this bed, you can make other\nfriends."
Joey	 Good evening. I\xc2\x92m Mr. Tribbiani. And I will be teaching acting for\nsoap operas. Now um, on my first day as (proudly) Dr. Drake Remoray on Days of Our\nLives, (looks for a reaction from his students, and gets none.) I learned that one of\nthe most important things in soap opera acting is reacting, this does not mean acting\nagain, it means, you don\xc2\x92t have a line, but someone else just did. And it goes like\nthis. (looks all intense for a moment and then gasps, the students cheer him) Thanks,\nthanks, a lot. Oh, by the way, before I forget to work in soap operas some of you will\nhave to become much more attractive. All right, moving right along.'
Joey	 Hi!'
Phoebe	 Hey! Ooh! How was teaching last night?'
Joey	 Oh it was great. Yeah, you get to say stuff like, \xc2\x92Hey, the bell\ndoesn\xc2\x92t dismiss you, I dismiss you.\xc2\x92'
Phoebe	 Ooooh, nice.'
Joey	 Oh, and guess what, I got an audition for All My Children.'
Phoebe	 Oh, yay!'
Joey	 Yeah, it\xc2\x92s this great part, this boxer named Nick. And I\xc2\x92m so,\nso right for it, y'know, he\xc2\x92s just like me. Except he\xc2\x92s a boxer, and has an evil\ntwin."
Phoebe	 Oh. (goes and answers the door and there is this huge black\ndelievery guy.) '
Guy	 Dom da-da dom! Here ye! Here ye! Delivery from the Mattress King. (to\nPhoebe) You Miss Geller?'
Phoebe	 Okay.'
Guy	 Sign here. (hands her a clipboard)'
Phoebe	 Oh, do I have a middle name. All right Monica Velula Geller. It\xc2\x92s\nthat bedroom there. (points to Monica\xc2\x92s room)'
Joey	 Hey, Monica bought a bed from the Mattress King?'
Phoebe	 Yeah, so please, please, please, don\xc2\x92t say anything to Chandler.'
Joey	 You want me to lie to Chandler?'
Phoebe	 Is that a problem?'
Joey	 No.'
Phoebe	 Oh, hey, hey Nick the boxer let\xc2\x92s see what you got. All right ya,\nput \xc2\x91em up. Come on. (they start shadow boxing)'
Joey	 Hey, you\xc2\x92re ah, pretty good at this.'
Phoebe	 Yeah, well I had to learn, I was staying at the Y and some off the young\nmen weren\xc2\x92t acting Christian enough.'
Joey	 Ahh!'
Joey	 Hey now!'
Joey	 Hey!!! Oww!! And I\xc2\x92m bleeding.'
Phoebe	 Oh! Oh! Oh!'
Joey	 Okay, great.'
