Rachel	 Here you go Pheebs. Who else wants one of my special homemade brownies? '
Chandler	 I will have one. (Ross and him both take one.)'
Chandler	 Okay, I\xc2\x92m not gonna have one.'
Ross	 Neither will I. (they both put back the brownies.)'
Phoebe	 No, no, it\xc2\x92s just my tooth.'
Chandler	 All right I\xc2\x92ll have one. (he and Ross take another brownie,)'
Ross	 So what\xc2\x92s a matter, you need a dentist? I\xc2\x92ve got a good one.'
Phoebe	 No thanks, I have a good one too. I just, I, I can\xc2\x92t see him.'
Chandler	 See that is the problem with invisible dentists.'
Ross	 Why? Why can\xc2\x92t you go to him?'
Phoebe	 Because, every time I go to the dentist, somebody dies.'
Chandler	 That is so weird, because every time I go to the dentist, I look down\nthe hygienist\xc2\x92s blouse.'
Rachel	 Phoebe, what? Umm...what?!'
Phoebe	 Yeah, yeah, first there was my aunt Mary, and then there was umm, John,\nmy mailman, and then my, my cowboy friend \xc2\x91Albino Bob\xc2\x92.'
Rachel	 And all these people actually died?'
Phoebe	 Yes, while I was in the chair! That\xc2\x92s why I take such good care of\nmy teeth now, y'know, it\xc2\x92s not about oral hygiene, I floss to save lives!"
Ross	 Pheebs, come on, you didn\xc2\x92t kill anybody, these people just happened\nto die when you went to the dentist. It\xc2\x92s, it\xc2\x92s, it\xc2\x92s just ah, a\ncoincidence.'
Phoebe	 Well tell that to them. Oh! You can\xc2\x92t, their dead.'

Ross	 Thanks, Gunther. (takes the plate Gunther serves him and Rachel comes up\nand kisses him) (to Rachel) Hey! (to Gunther) Umm, can I get a napkin too?'
Gunther	 Oh, like you don\xc2\x92t already have everything.'
Phoebe	 (trying to bite into an apple) Ow! Ow! (drops the apple in disgust.)'
Rachel	 Phoebe, your in pain, would you just go to the dentist, just go.'
Phoebe	 All right, fine, fine, but if you\xc2\x92re my next victim, don\xc2\x92t\ncome back as a poltergeist and like suck me into the TV set.'
Rachel	 I promise.'
Phoebe	 Although, don\xc2\x92t feel like you can\xc2\x92t visit.'
Joey	 (entering with Monica) Hey, is, is, is Chandler here?'
Ross	 (patting his clothes like he is looking for his wallet) No, no he\xc2\x92s\nnot.'
Monica	 You guys, Joey just saw Janice kissing her ex-husband.'
Ross	 What? (to Joey) So what are you going to do? I mean how, how are you going\nto tell Chandler?'
Joey	 Well, I was thinking about that and I, I think the best way would be, to\nnot.'
Rachel	 Joey, you can\xc2\x92t keep this to yourself, if you know about this, you\nhave to tell him.'
Joey	 It\xc2\x92ll kill him. I mean it\xc2\x92ll, it\xc2\x92ll just kill him.'
Phoebe	 Well, you could wait \xc2\x91til I go to the dentist, maybe I\xc2\x92ll\nkill him.'
Joey	 (looking out the window) Ewww! Ugly Naked Guy is using his new hammock.\nIt\xc2\x92s like a Play-Doo Fat Factory. '
Phoebe	 Well, I\xc2\x92m going to the dentist, so listen, okay, just be on the\nlook out for anything that, that, that you can fall into, or, or that can fall on you,\nor... All right, just look out! Okay, And um, I also just wanna, I just wanna tell you all\nthat um...... (starts to cry and runs out)'
Ross	 Okay, I have a problem I have to go into work for a few hours, some kids\nmessed up the Homo Sapien display.'
Joey	 What did they do?'
Ross	 Well, they painted over the word \xc2\x91Sapien\xc2\x92 for one thing, then\nthey rearranged the figures, let\xc2\x92s just leave it at that.'
Monica	 So, do you want me to watch Ben for you?'
Ross	 Yes, that\xc2\x92s what I was going to ask, thank you.'
Rachel	 Whoa! Wait! Hello! What about me?'
