The Guys	 (reacting to a play) Yes! Yes! Yes! Yes! Awww!'
Phoebe	 Hey, it\xc2\x92s your Thanksgiving too, y'know, instead of watching\nfootball, you could help."
The Guys	 We will. (they don\xc2\x92t move)'
Monica	 Okay, Rachel, you wanna put the marshmellows in concentric circles.'
Rachel	 No Mon, you want to put them in concentric circles. I want\nto do this. '
Monica	 Every year.'

Phoebe	 Y'know, for once, I am going to sit down and try to watch one of these\nthings. (just as she sits down)."
Ross	 Halftime.'
Joey	 Hey, who wants to ah, throw the ball around a little, maybe get a little\nthree on three going?'
Rachel	 Oh! That would be sooo much fun!'
Phoebe	 Oh, can I play too? I\xc2\x92ve never played football, like ever. '
Joey	 Great, you can cover Chandler.'
Chandler	 No, no, no, I don\xc2\x92t, I don\xc2\x92t really wanna play.'
Joey	 Come on man! You never want to do anything since you and Janice broke up.'
Chandler	 That\xc2\x92s not true! I wanted to wear my bathrobe and eat peanut\nclusters all day. I wanted to start drinking in the morning. Don\xc2\x92t say that I\ndon\xc2\x92t have goals!'
Joey	 Chandler, you have to start getting over her. All right, if you play, you\nget some fresh air, maybe it\xc2\x92ll take your mind off Janice, and if you don\xc2\x92t\nplay, everyone will be mad at you \xc2\x91cause the teams won\xc2\x92t be even. Come on.'
Chandler	 Yeah, all right, I\xc2\x92ll play.'
Phoebe	 Yay!!'
Rachel	 Let\xc2\x92s do it! Ross?'
Ross	 What?'
Rachel	 Do you wanna play football?'
Ross	 Um, Monica and I aren\xc2\x92t supposed to play football.'
Joey	 Says who? Your mom?'
Monica and Ross	 Yeah.'
Monica	 Well, every, every Thanksgiving um, we used to have a touch football\ngame called the \xc2\x91Geller Bowl.\xc2\x92'
Chandler	 No, no, no, you say that proudly.'
Monica	 Anyway, Ross and I were always captains, and um, it got kind\xc2\x92ve\ncompetitive and one year, Geller Bowl VI, I accidentally broke Ross\xc2\x92s nose.'
Ross	 It was soo not an accident. She saw I was about to tag her, so she\nthrew her big fat grandma arm elbow right into my face. And just keep running.'
Monica	 To score the winning touchdown, by the way.'
Ross	 Whoa, whoa, whoa, ho, ho, ho, you did not win the game, the touchdown\ndidn\xc2\x92t count, because of the spectacularly illegal, oh and by the way savage nose\nbreaking.'
Monica	 (to Chandler and Joey) I won the game.'
Ross	 Oh yeah! Then how come you didn\xc2\x92t get the Geller Cup?'
