Chandler	 (reading the comics) Eh..., I don\xc2\x92t, I don\xc2\x92t know.'
Rachel	 What?'
Chandler	 Well, as old as he is in dog years, do you think Snoopy should still\nbe allowed to fly this thing?'
Gunther	 Rachel?'
Rachel	 Yeah.'
Gunther	 Do you remember when you first came here, how you spent two weeks\ngetting trained by another waitress?'
Rachel	 Oh, sure! Do you need me to train somebody new?'
Gunther	 (laughs) Good one. Actually, ah, Terry wants you to take the training\nagain, whenever.'
Rachel	 (to Chandler) Eh, do you believe that?'
Chandler	 (thinks about it) Yeah?'

Sarah	 So that\xc2\x92s two boxes of the Holiday Macaroons. On behalf of the Brown\nBirds of America, I salute you. (Does the Brown Bird salute, she blows on a bird call,\nthen holds her hand, palm facing out, next to her face, and then waves it like a bird\nflapping it\xc2\x92s wings.)'
Ross	 Just admit it Chandler, you have no backhand.'
Chandler	 Excuse me little one, I have a very solid backhand.'
Ross	 Shielding your face and shrieking like a girl... is not a backhand.'
Chandler	 I was shrieking... like a Marine.'
Ross	 All right here. Watch me execute the three \xc2\x91P\xc2\x92s of championship\nplay. Power. (swings the racquet) Precision. (swings the racquet.) and penache. (does a\nbackswing and hits Sarah who\xc2\x92s started up the stairs, knocking her down, they both\nwatch in horror.)'
Monica	 You broke a little girl\xc2\x92s leg?!!'
Ross	 I know. I feel horrible. Okay.'
Chandler	 (reading the paper) Says here that a muppet got whacked on Seasame\nStreet last night. (to Ross) Where exactly were around ten-ish?'
Ross	 Well, I\xc2\x92m gonna go see her. I want to bring her something, what do\nyou think she\xc2\x92ll like?'
Monica	 Maybe a Hello Kitty doll, the ability to walk...'
Rachel	 I\xc2\x92m gonna get back to retraining. (gets up)'
Ross	 All right, see you guys. (starts to leave)'
Chandler	 Look out kids, he\xc2\x92s coming! (Ross continues to leave with his\nhead down in shame.)'
Joey	 And I gotta go sell some Christmas trees.'
Phoebe	 Have fun. Oh wait, no, don\xc2\x92t! I forgot I am totally against that\nnow.'
Joey	 What? Me having a job?'
Phoebe	 No, no, I am against innocent trees being cut down in their prime, and\ntheir, their corpses grotesquely dressed in like tinsel and twinkly lights. (to Joey) Hey,\nhow do you sleep at night?'
Joey	 Well, I\xc2\x92m pretty tired from lugging the trees around all day. Hey,\nPhoebe listen, you got this all wrong. Those trees were born to be Christmas trees, their\nfulfilling their life purpose, by, by making people happy.'
Phoebe	 Really?'
Chandler	 Yes. Yes, and ah, ah, the trees are happy too, because for most of\nthem, it\xc2\x92s the only chance to see New York.'
Gunther	 ...and after you\xc2\x92ve delivered the drinks, you take the empty\ntray....'
Rachel	 Gunther, Gunther, please, I\xc2\x92ve worked here for two and a half\nyears, I know the empty trays go over there. (points to the counter.)'
Gunther	 What if you put them here. (sets the empty tray on another stack of\nempty trays on the back counter.)'
