Joey	 Okay, pick a card, any card. (Monica picks one) All right, now memorize\nit. Show to everybody. Got it?'
Monica	 Um-mm.'
Joey	 All right, give it back to me. (takes the card back, but he looks at the\ncard before he puts it back in the deck, he holds the deck to his forehead, and thinks a\nlittle while) 5 of hearts.'
Ross	 Real magic does exist.'
Rachel	 Wow.'
Monica	 Wow. Joey, (sarcastically) how do you do it?'
Joey	 I can\xc2\x92t tell you that, no.'
Ross	 Ah, somebody\xc2\x92s at the door on the ceiling.'
Rachel	 Noo, that\xc2\x92s our unbelievably loud upstairs neighbor.'
Monica	 He took up the carpet, and now you can hear everything.'
Phoebe	 Why don\xc2\x92t you go up there and ask him to \xc2\x91step lightly,\nplease?\xc2\x92'
Monica	 I have like five times, but the guy is so charming, that I go up there\nto yell and then I end up apologizing to him.'
Phoebe	 Ooh, that is silly. (gets up) I\xc2\x92ll go up there, I\xc2\x92ll tell him\nto keep it down.'
Monica	 All right, be my guest.'
Rachel	 Good luck.'
Joey	 All right, all right, all right, all right, all right, you really wanna\nknow how I did it, I\xc2\x92ll show ya. When you handed me back the card, what you\ndidn\xc2\x92t see was, I looked at it so fast that it was invisible to the naked eye. (picks\nup a card and quickly looks at it) I just did it. (does it again) I just did it, again.\nHere, I\xc2\x92ll slow it down so that you guys can see it. (looks and the card in slow\nmotion)'
All	 Oh, I got it.'
Phoebe	 (muffled through the floor) Yeah, look I was with my friend downstairs\nand we hear everything up here that you do, and I am sick and tired... (I tired but the\nrest is unintelligible).'
Guy	 (muffled) Whoa, you are very beautiful.'
Phoebe	 (muffled) Oh, thank you.'

Chandler	 (entering) Hey, anybody got a length of rope about six feet long with\na little nouse at the end?'
Monica	 Honey, what\xc2\x92s the matter?'
Chandler	 I just saw Janice. '
All	 Oh.'
Chandler	 Yeah, she was at Rockefeller Center skating with her husband, she\nlooked so happy. I almost feel bad for whipping that kid\xc2\x92s pretzel at them.'
Joey	 Man, I remember the first time I saw that girl Katherine, after we broke\nup. She was just walking with her friend Donna, just laughing and talking. God, it killed\nme.'
Chandler	 Yes, but you ended up having sex with both of them that afternoon.'
Joey	 Sorry, I just, any excuse to tell that story y'know...."
Ross	 Hey Chandler, there\xc2\x92s a party tomorrow, you\xc2\x92ll feel better then.'
Chandler	 Oh, y'know what, I\xc2\x92m gonna be okay, you don\xc2\x92t have to throw\na party for me."
Monica	 It\xc2\x92s Joey\xc2\x92s birthday.'
Chandler	 Oh, well then, if anybody should have a party it should be him.'
Monica	 Sush!! I cannot believe she is still up there.'
Chandler	 Okay, well he totally screwed up the punch line. Y'know, it\xc2\x92s\nsupposed to be arrghh-eh og-errigh."
Mr. Kaplan	 (entering) How\xc2\x92s that coffee comin,\xc2\x92 dear?'
Rachel	 (jumping up from reading her magazine) Yeah, right away Mr. Kaplan.'
Mr. Kaplan	 I\xc2\x92m not supposed to drink coffee, it makes me gassy.'
Rachel	 I know!'
Mr. Kaplan	 I\xc2\x92ll bet your thinking, \xc2\x91What\xc2\x92s an intelligent girl\nwho wants to be in fashion, doing making coffee?\xc2\x92 Eh?'
Rachel	 Op.'
Mr. Kaplan	 Eh.'
Rachel	 Oh, you got me.'
Mr. Kaplan	 Well, don\xc2\x92t think I haven\xc2\x92t noticed your potential. Well,\nI\xc2\x92ve got a project for you that\xc2\x92s a lot more related to fashion. How does that\nsound?'
Rachel	 Oh, that sounds great.'
Mr. Kaplan	 Come on over here, sweetheart. (they walk over to a storage closet)'
Rachel	 Oh thank you so much Mr. Kaplan, thank you so much.'
Mr. Kaplan	 (opening the closet door revealing that it\xc2\x92s full of tangled up\nhangers.) I need these hangers separated ASAP. (she is stunned) You\xc2\x92re welcome.'
Rachel	 Oh God, I hate my job, I hate it, I hate my job, I hate it.'
Monica	 I know honey, I\xc2\x92m sorry.'
Rachel	 Oh, I wanna quit, but then I think I should stick it out, then I think\nwhy would such a person stay in such a demeaning job, just because it\xc2\x92s remotely\nrelated to the field they\xc2\x92re interested in.'
Monica	 (gives her a look) Gee, I don\xc2\x92t know Rach. Order up!! I got a\nYentel soup, a James Beans, and a Howdy hold the Dowdy!'
Rachel	 Oh honey, come on, I\xc2\x92m sorry, I didn\xc2\x92t.... I don\xc2\x92t mind\npaying my dues, y'know, its just how much am I gonna learn about fashion by walking Mira,\nthe arthritic seamstress, to the bathroom."
Rachel	 (to him) Hi! Is my misery amusing to you?'
Guy	 I\xc2\x92m sorry, I wa, I wa, I was just ah.... (starts to laugh again)'
Rachel	 It\xc2\x92s not funny, this is actually my job.'
Guy	 Oh believe me, I-I-I\xc2\x92ve been there. I had to sort mannequin heads at\nthat Mannequins Plus.'
Rachel	 Oh well then, so I\xc2\x92m just going to go back to talking to my friend\nhere. And you can go back to enjoying your little hamburger.'
Guy	 Ah, just one other thing.'
Rachel	 Yes?!'
Guy	 I ah, I work at Bloomingdale\xc2\x92s and I might know of a job\npossibility if your, if your interested?'
Rachel	 (looks at Monica) (to him) Do you want my pickle?'
Gunther	 (to Monica and Phoebe) Hey guys.'
Monica	 Hey Gunther. Hi. (to Phoebe) I mean you\xc2\x92re going out on a date with\nthe noisy guy upstairs?'
