Rachel	 (running in from her bedroom, wearing only a towel) Okay. Hey. Umm. Does\neverybody hate these shoes? '
Chandler	 Oh yeah, but don't worry. I don't think anybody's gonna focus on that\nas long as your wearing that towel dress. "
Rachel	 (to Ross) Tell him. '
Ross	 (to Chandler) It's her first day at this new job. Your not supposed to\nstart with her! "
Chandler	 All right, I suppose I can wait a day. Hey, what are you doing Friday?\n'
Ross	 Why? '
Chandler	 I need you to come to this bachelor party for my weird cousin Albert,\ny'know he's the botanist. "
Ross	 Oh God. Y'know, botanists are such geeks. "
Chandler	 Yeah. Is that a dinosaur tie? '
Ross	 Hmm? Oh, yeah. (he makes a growling sound) '
Phoebe	 (entering, with about 20 purses hanging around her neck) Morning. Rach,\nI'm here with the purses! "
Chandler	 (to Phoebe) It must take you forever to find your keys. '
Rachel	 (running into the living room) Thank you, thank you, thank you, Pheebs. '
Phoebe	 Your welcome, oh please not the one with the turtles. '
Rachel	 No, no, no, no turtles scare me. I don't need that today. "
Ross	 Honey, just relax, it's gonna be fine. Hey, umm,. why don't I come down\nthere and I'll take you out to lunch? "
Rachel	 Oh honey, thank you, but Mark's taking me out. "
Ross	 Mark is that ah, the same Mark that helped you get the job? '
Rachel	 Yeah, it's kinda like a 'good luck on your first day' sort of thing. (to\nPhoebe) Is this actually a lunchbox? "
Phoebe	 Umm, no, it's a purse. And there's a thermos in it. "
Rachel	 Oh. '
Chandler	 (to Ross) Hey, so can you make it on Friday? '
Ross	 What? Oh yeah, yeah I think so. Why am I invited to this again? '
Chandler	 Well apparently Albert has no friends. He's very excited about the\nbachelor party though. I think actually the only reason he's getting married is so he can\nsee a stripper. "
Phoebe	 A stripper at a bachelor party, that is so clich\xc3\xa9. Why don't you get a\nmagician?! "
Chandler	 Well, if the magician can open my beer with his but cheeks, then all\nright. '

Ross	 She's having lunch with him. She's having lunch with him. And you should\nof seen the hug she gave him when she got the job. And, and, and, (to Joey) he's really\ngood looking. (Joey gives an enthusiastic thumbs up) What am I gonna do? "
