Monica	 (to clerk) Hi.'
Clerk	 Six dollars, please.'
Monica	 Six? I just had it for one night. It\xc2\x92s three.'
Clerk	 Eight o\xc2\x92clock is the cut-off and, (looks at his watch) aww,\nit\xc2\x92s 8
Monica	 Y'know in a weird way, you have too much power. Look, you\xc2\x92re gonna\nhave to help me out here, \xc2\x91cause I only have three."
Richard	 (standing behind her, without his moustache) I can help with that.'
Monica	 Oh my God. Richard? (turns around) Hi!'
Richard	 Hi!'
Monica	 Wow! Your lip went bald. (Richard pays the clerk) Hey, thanks.'
Richard	 So, you look great.'
Monica	 Right.'
Richard	 No you do. You... just...'
Monica	 What?'
Richard	 You\xc2\x92ve got panties stuck to your leg.'
Monica	 (removes them) That\xc2\x92s because I-I was just grabbing some things out\nof the dryer, and it\xc2\x92s static cling. Or maybe it\xc2\x92s just that God knew I\xc2\x92d\nbe running into you and saw an opportunity.'
Richard	 It\xc2\x92s good to see you.'
Monica	 It\xc2\x92s good to see you too.'

Monica	 You see that guy? He\xc2\x92s in classics now, but y'know as soon as we\nleave he\xc2\x92s going straight to the porn."
Richard	 He\xc2\x92s gonna go up to the counter with Citizen Kane, Vertigo,\nand Clockwork Orgy. (they both laugh) This is nice.'
Monica	 Yeah.'
Richard	 I missed this.'
Monica	 Me too.'
Richard	 So, you wanna get a hamburger or something?'
Monica	 Oh, um, I don\xc2\x92t know if that\xc2\x92s a good idea.'
Richard	 Oh. Look, just friends, I won\xc2\x92t grope you. I promise.'
Monica	 No, I just I think that it\xc2\x92s too soon.'
Richard	 No it\xc2\x92s not too soon, I had lunch at a eleven.'
Chandler	 Yeah, baby!'
Ross	 What are you doing?'
Chandler	 Making chocolate milk. Do you want some?'
Ross	 No thanks. I\xc2\x92m 29.'
Rachel	 (looking at her watch) Oh my God, I gotta go to work!'
Ross	 Oh sweetie, when do you think you\xc2\x92re going to get off tonight?'
Rachel	 Oh I don\xc2\x92t know honey. It\xc2\x92s gonna be really late.'
Ross	 Oh come on, not again.'
Rachel	 I know. I\xc2\x92m sorry. Look, I\xc2\x92ll make a deal with you all right?\nOkay?'
Ross	 Hmm.'
Rachel	 For every night that you\xc2\x92re asleep before I get home from work...'
Ross	 Yeah.'
Rachel	 I will wake you up in a way that\xc2\x92s proved very popular in the past.'
Ross	 Now, if you need to stay late, I want to be supportive of that.'
Rachel	 Right.'
Phoebe	 (entering, holding a pair of Roller Blades) Hi.'
All	 Hey.'
Joey	 (to Phoebe) Look at you. Since when do you roller blade?'
