Singer	 (singing) \xc2\x91Cause every time I see your face, I can\xc2\x92t help but\nfall from grace. I know.....'
Joey	 Wow! This girl is good.'
Phoebe	 Oh-ho yeah! A song with rhyming words. Oo, I never thought of that\nbefore.'
Chandler	 I like her.'
Phoebe	 (to Chandler) Why? Because she can sing and play guitar and do both at\nthe same time?'
Chandler	 Well, that\xc2\x92s pretty much all I\xc2\x92m looking for from these\npeople.'
Monica	 (to Phoebe) Look at you. All jealous.'
Ross	 Yeah Pheebs, come on, you two have completely different styles. Y'know,\nshe\xc2\x92s more..(shakes his shoulders, like he\xc2\x92s dancing) y'know, and you\xc2\x92re\nmore (sees the look from Phoebe and stops)"
Singer	 (singing) beside meeeee-eeee-ee. (everyone applauds her).'
Phoebe	 Okay, see, see, everyone else is happy she\xc2\x92s done.'
Singer	 Okay, my next song\xc2\x92s called
Phoebe	 Oh no, one of those \xc2\x91look for the hidden meaning\xc2\x92 songs.'

Singer	 Hey Phoebe.'
Phoebe	 Hey Leslie, how\xc2\x92d you know I\xc2\x92d be here?'
Leslie	 I ran into Vlad at the place where they sell the big fish, and he said\nyou played here a lot, so umm....'
Chandler	 (to Ross) All right listen, I have to go to the bathroom, but if the\nplace with the big fish comes up again. I\xc2\x92d like know whether that\xc2\x92s several big\nfish or just one big fish.'
Joey	 (to Leslie) So ah, Phoebe tells us you write jingles.'
Phoebe	 Actually I said she abandoned me to write jingles.'
Joey	 (to Leslie) Ah, anything we might of heard of?'
Leslie	 Ah, yeah, umm. (singing) Home is never far away..'
Monica, Ross, and Joey	 (joining in) Home is Home Star stew.'
Leslie	 Yeah, but, I don\xc2\x92t do that anymore. I got kinda sick of it, and\nthen I couldn\xc2\x92t come up with anything good, so they fired me.'
Phoebe	 Hmm, bummer.'
Leslie	 Well, I y'know, I was just, umm, I was just thinking and hoping, that\numm, maybe you\xc2\x92d want to get back together?"
Phoebe	 No. But thanks.'
Leslie	 Aw come on Phoebe would you just think about it?'
Phoebe	 Okay. No. But thanks.'
Leslie	 Okay, ah, see ya Pheebs. (leaves)'
Joey	 (to Phoebe) Wow, that was kinda brutal.'
Phoebe	 Well okay, let this be a lesson to all of you, all right. Once you, once\nyou betray me, I become like the ice woman, y\xc2\x92know. Very cold, hard, unyielding,\ny'know nothing, nothing can penetrate this icy exterior. (to Monica) Can I have a\ntissue, please?"
Monica	 Yeah, sure.'
Gunther	 (to Chandler) Someone in there?'
Chandler	 No. This is just part of a dare devil game that I play called\n\xc2\x91wait until the last moment before I burst and die.\xc2\x92'
Chandler	 Jeez, man did you fall..(sees it\xc2\x92s a beautiful woman coming out\nof the men\xc2\x92s room) Hi! So ah, did ya, did-did-did ya fall high?'
Woman	 Someone was in the lady's room, I couldn\xc2\x92t wait. I left the lid up\nfor ya though."
Chandler	 (to Gunther) Y'know what Gunther, go ah, go ahead, I\xc2\x92m-I\xc2\x92m\ntalking to ah, (tries to get her to say her name). (to her) This is the part where you say\nyour name."
Woman	 Ginger.'
Chandler	 Ginger. I\xc2\x92m talking to Ginger, so.... '
Ginger	 Don\xc2\x92t you have to use the bathroom?'
Chandler	 Nope, nope, I\xc2\x92d just ah, I\xc2\x92d rather talk to you. (pause)\nYes, I do. Yes, I do have to go to the bathroom. (knocks on the door)'
Gunther	 Someone in here.'
Phoebe	 Where\xc2\x92s Chandler?'
Joey	 Ah, he can\xc2\x92t make it, he said he had to his... (sees Ginger) Whoa-oh!\n(hides behind the coat rack.)'
Ginger	 Joey? Joey Tribbiani? '
Ginger	 Joey I can see you okay? You\xc2\x92re hiding behind the coats.'
Joey	 Phew, close one.'
Ross	 Hi.'
Rachel	 Hi, sweetie!'
Ross	 Hello. '
Mark	 Hi, Ross.'
Ross	 Yeah, huh. '
Rachel	 I\xc2\x92ve got some bad news.'
Ross	 What?'
Rachel	 I can get a quick bite to eat, but then I have to come back up here.'
Ross	 Come on sweetie! You\xc2\x92ve had to work late every night for the past two\nweeks, what is it this time?'
Mark	 Actually, it\xc2\x92s kinda my fault. I-I quit today.'
Ross	 (to Rachel) But work comes first! (to Mark) Oh hey, but that\xc2\x92s sad\nabout you though, what happened? Burn out? Burn all out, did ya?'
Rachel	 Nooo, he\xc2\x92s leaving for a better job.'
Ross	 Oh well that\xc2\x92s great, so I guess this is ah, this is good bye then.\nHuh? (picks a pad up off Rachel\xc2\x92s desk and tosses it into his box) Good bye.'
Mark	 Okay, then.'
Ross	 Okay.'
Rachel	 Well we\xc2\x92re gonna miss you around here.'
Mark	 Yeah, me too.'
Mark	 So, see ya on Saturday.'
Rachel	 Yeah, you bet.'
Phoebe	 Oh. (takes her beeper puts in a pot, covers it, and puts the pot in the\noven)'
Monica	 Y'know those are a delicacy in India."
Phoebe	 Yeah, that was Leslie calling again to see if we can get back together.\nThat\xc2\x92s the twentieth time today! And good luck Leslie!'
Monica	 Wow, she must have hurt you pretty bad, huh?'
Phoebe	 Well, yeah. Y'know, we were best friends, ever since we were little, our\nMoms worked on the barge together."
Monica	 Oh, you two must have been so cute running around on a barge.'
Phoebe	 You never run on a barge!'
Joey	 (entering) Hey.'
Phoebe and Monica	 Hey.'
Joey	 Is ah, is Chandler around?'
Monica	 No, umm, he met some girl at the coffee house.'
Joey	 Oooh.'
Monica	 Yeah, Ginger something.'
Joey	 Nooo. No, no, ah, are you sure it wasn\xc2\x92t something that sounded like\nGinger, like ah, Gingeer?'
Monica	 No, it was Ginger. I remember, because when he told me, I said,\n(singing) \xc2\x91the movie star.\xc2\x92'
Joey	 Aww, man. That\xc2\x92s the girl I was hiding from. When she finds out\nhe\xc2\x92s my roommate, she\xc2\x92s gonna tell him what I did.'
Monica	 Well, what did you do?'
Joey	 What, oh, oh, oh, no, no, I can\xc2\x92t, I can\xc2\x92t tell you that,\nit\xc2\x92s like the most awful, horrible thing I\xc2\x92ve ever done my whole life.'
Monica	 Y'know what, don\xc2\x92t tell us. We\xc2\x92ll just wait until Chandler\ngets home, (to Phoebe) because it\xc2\x92ll be more fun that way."
Joey	 All right!! Okay, it was like four years ago. Okay, Ginger and I had gone\nout a few times, and then this one weekend, we went up to her Dad\xc2\x92s cabin. Just me,\nher, and her annoying little dog Pepper. Well that night, I cooked this really romantic\ndinner....'
Monica	 You gave her food poisoning!?'
Joey	 I wish. No. After dinner, me, her, and Pepper all fell asleep in front of\nthe fire. Well I woke up in the middle of the night and I saw that the fire was dying out.\nSo, I picked up a log and threw it on. Or, at least what I thought was a log.'
Phoebe	 Oh my God!! You threw Pepper on the fire!'
Joey	 I wish. See, I guess another thing I probably should\xc2\x92ve told you\nabout Ginger is that she kinda has a ah, artificial leg.'
Monica	 Oh my God! Joey, what did you do after you threw her leg on the fire?'
Joey	 I ran!!'
Chandler	 Well, that\xc2\x92s the best kiss I\xc2\x92ve had with anyone I\xc2\x92ve\never met in a men\xc2\x92s room.'
Ginger	 Actually, me too.'
Chandler	 (sees her foot is in a slush puddle) Op, foot in a puddle, foot all in\na puddle.'
Ginger	 Oh damn, I hate that.'
Chandler	 Yeah, we\xc2\x92re gonna have to get you out of those shoes.'
Ginger	 Oh, don\xc2\x92t worry about it.'
Chandler	 No, really you\xc2\x92re gonna freeze.'
Ginger	 No, I\xc2\x92m not.'
Chandler	 You\xc2\x92re not, what do you, what do you got a bionic foot?'
Ginger	 Some day, maybe.'
Rachel	 Funny book?'
Ross	 Hmmm. Oh, no, no, I just thinking about something funny I heard today.\nUmm, Mark, Mark saying \xc2\x91I\xc2\x92ll see you Saturday.\xc2\x92'
Rachel	 Yeah, at the lecture, I told you that last week, you said you\ndidn\xc2\x92t mind.'
Ross	 Oh, no, no, no, it\xc2\x92s-it\xc2\x92s not the lecture ah, I mind, umm....'
Rachel	 Oh, please tell me it\xc2\x92s not because I\xc2\x92m going with Mark.'
Ross	 Oh, well...'
Rachel	 Oh my God!!! Ross!!'
Ross	 Well, I\xc2\x92m sorry, but ah, look if you\xc2\x92re not working with him\nanymore, why do you have to still do stuff with him?'
Rachel	 Because, he\xc2\x92s my friend.'
Ross	 Okay, but do you really need another friend? I mean...'
Rachel	 Okay, well if I stop playing with Joey and Chandler, can I play with\nMark?'
Ross	 Is that funny? Am I supposed to be laughing?'
Rachel	 I don\xc2\x92t know, you thought \xc2\x91See you Saturday\xc2\x92 was funny.\nLook honey, Mark is in fashion okay, I like having a friend that I can share this stuff\nwith. You guys would never want to go to a lecture with me.'
Ross	 Pa-haa!! I would love to go with you.'
Rachel	 Really!?'
Ross	 Yeah, hey I-I have clothes, I even pick them out. I mean for, for all you\nknow I could be a fashion..... monger.'
Rachel	 Okay. Honey, I would love for you to go with me. (Ross has a worried\nlook on his face) What?'
Ross	 What should I wear, now I\xc2\x92m all nervous.'
Monica	 Y'know they say a watched pot never beeps."
Phoebe	 It\xc2\x92s just y'know, been a couple of hours, and she hasn\xc2\x92t\ncalled. Not that I even care, y'know."
Monica	 Phoebe why don\xc2\x92t you just call her? You obviously want to.'
Phoebe	 You think you know me so well.'
Monica	 Well, don\xc2\x92t \xc2\x91cha wanna?'
Phoebe	 Yeah.'
Monica	 Okay, well I do know you.'
Phoebe	 That\xc2\x92s what I said.'
Monica	 Well so?'
Phoebe	 I can\xc2\x92t. I can\xc2\x92t. She dumped me, I mean I totally trusted her\nand then one day it was \xc2\x91Okay, bye Pheebs\xc2\x92 gone. Y'know what the saddest part\nis, when we were playing together, that was like the most fun I\xc2\x92ve ever had in like\nall my lives."
Leslie	 (singing) My best shoes, so good to me. I wear them everyday. Down at\nthe heel, holes in the toes. Don\xc2\x92t care what people say. My feet\xc2\x92s best friends,\npals to the end. With them I\xc2\x92m one hot chicky. Though late one night, not much light,\nI....'
Phoebe	 (singing) I stepped in something icky.'
Phoebe and Leslie	 (singing) Sticky shoes, sticky shoes, always make me smile.\nSticky shoes, sticky shoes, next time I\xc2\x92ll.... avoid the..... pillleeeee.'

Lecturer	 We\xc2\x92re beginning to see a lot of layering of sheer fabrics and\ncolours. For instance a sheer navy blouse over a pink....'
Ross	 (to Rachel) I\xc2\x92m really glad we came. (Rachel smiles and rubs his arm)\nYou\xc2\x92re so pretty. I love you.'
Rachel	 Oh. (puts her hand over his mouth)'
Phoebe	 (singing) Smelly cat, smelly cat, what are they feeding you? Smelly cat,\nsmelly cat, it\xc2\x92s not your fault.'
Leslie	 Wow, that\xc2\x92s great.'
Phoebe	 Oh, yeah!'
Leslie	 Y'know you could totally sell this. It\xc2\x92d be perfect for like umm, a\nkitty litter campaign."
Phoebe	 I..., a jingle? No, no-no-no, no.'
Leslie	 What? Why not? You could make a ton of money.'
Phoebe	 Okay, well if I was in this for the money, I\xc2\x92d be a millionaire by\nnow, y'know. You just got to get out of that jingle head sweetie."
Leslie	 Aw, you\xc2\x92re right, you\xc2\x92re right. I\xc2\x92m sorry.'
Phoebe	 That\xc2\x92s okay. All right, I\xc2\x92m gonna play song that\xc2\x92s\nreally, really sad. It\xc2\x92s called Magician Box Mix Up. (she turns her guitar upside\ndown to play it.)'
Lecturer	 ....oversized bracelets, oversized earrings, oversizing of accessories\nin general are very popular now.'
Monica	 (entering) Hi!'
Chandler	 Hey.'
Monica	 Oh, can I borrow this? (points to his milk) My milk\xc2\x92s gone bad.'
Chandler	 Oh, I hate that. I once had a thing of half and half, stole my car.'
Monica	 So umm, how was your date with Ginger?'
Chandler	 Great. It was great. She\xc2\x92s ah, she\xc2\x92s great, great looking,\ngreat personality, she\xc2\x92s greatness.'
Monica	 Sounds like she\xc2\x92s got the ah, whole package.'
Chandler	 Joey told you about the leg, huh?'
Monica	 Uh-huh.'
Chandler	 Oh God, it freaked me out. Okay, I know it shouldn\xc2\x92t have, but it\ndid. I mean I like her, I don\xc2\x92t want to stop seeing her, but every so often it\xc2\x92s\nlike \xc2\x91Hey, y'know what, where\xc2\x92s your leg?\xc2\x92 I mean I\xc2\x92m the smallest\nperson in the world aren\xc2\x92t I? I\xc2\x92m the smallest person in the world."
Joey	 (entering from his bedroom) Morning.'
Chandler	 (to Monica) Actually he\xc2\x92s the smallest person in the world.'
Joey	 (to Chandler) Heard about the leg burnin\xc2\x92 huh?'
Chandler	 It came up.'
Joey	 Listen, I ah, I know it\xc2\x92s a longshot. But, by any chance did she find\nthat funny?'
Ross	 (entering) So I nodded off a little.'
Rachel	 Nodded off!! Ross you were snoring. My father\xc2\x92s boat didn\xc2\x92t\nmake that much noise when it hit rocks!'
Ross	 Come on! Forty-five minutes! Forty-five minutes the man talked about\nstrappy backed dresses.'
Rachel	 Well okay, how about four hours in a freezing museum auditorium\nlistening to Professor Pitstains and he\xc2\x92s \xc2\x91Hey everybody! Remember that thing\nthat\xc2\x92s been dead for a gazillion years. Well there\xc2\x92s this little bone we\ndidn\xc2\x92t know it had!\xc2\x92'
Ross	 First of all it\xc2\x92s Professor Pittain! And second of all, that little\nbone, proved that, that particular dinosaur had wings, but didn\xc2\x92t fly.'
Rachel	 Okay, see now, what I just heard
Ross	 Y'know what, 100 million people went to see a movie about what I do, I\nwonder how many people would go see a movie called, Jurassic Parka."
Rachel	 Oh, that is so...'
Ross	 No-no-no, a bunch of out of control jackets take over an island. (Makes an\nunusual sound, then he realises that he still has his jacket on and quickly tries to shake\nit off, thinking it\xc2\x92s alive and attacking him.)'
Rachel	 Y'know if what I do is so lame, then why did you insist on coming with\nme this morning? Huh? Was it so I just wouldn\xc2\x92t go with Mark?"
Ross	 No. I... I wanted to be with you. I don\xc2\x92t know, I feel like lately, I\nfeel like you\xc2\x92re slipping away from me, y'know. With this new job, and all these new\npeople, and you\xc2\x92ve got this whole other life going on. I-I-I know it\xc2\x92s dumb, but\nI hate that I\xc2\x92m not a part of it."
