Joey	 (to Monica) Hey, how much will you give me to eat this whole jar of\nolives?'
Monica	 I won\xc2\x92t give you anything, but you\xc2\x92ll owe me 2.95.'
Joey	 Done.'
Phoebe	 (entering) Hey. I need an atlas! I need an atlas!'
Monica	 Why? (in a motherlike tone) Do you have a report due?'
Phoebe	 I have a date with this diplomat I met while I was giving free massages\noutside the UN and, I don\xc2\x92t know where his country is.'
Monica	 Okay, let\xc2\x92s start with the free messages outside the UN.'
Phoebe	 Oh!! That\xc2\x92s my new thing. I figure bodies at peace, make peace.'
Monica	 Wow! You might just get the first Nobel prize in rubbing. So what\ncountry is this guy from?'
Phoebe	 Ick-neck-tree-anis..... There\xc2\x92s a \xc2\x91g\xc2\x92 in there.'
Monica	 Where\xc2\x92s that?'
Phoebe	 In your atlas!'
Monica	 I don\xc2\x92t have an atlas.'
Phoebe	 Oh.'
Monica	 Oh, but wait I do have a globe.'
Phoebe	 Oh.'
Monica	 Hold on.'
Joey	 So Pheebs what\xc2\x92s this guy like?'
Phoebe	 Umm, well he\xc2\x92s very dashing, y'know, and umm, very, very\nsophisticated, and he doesn\xc2\x92t speak any English, but according to his translator, he\ntotally gets me."
Monica	 \xc2\x91Kay, here you go. (Hands her this tiny little globe.)'
Phoebe	 What is this?'
Monica	 It\xc2\x92s a globe and, a pencil sharpener.'
Chandler	 (entering) Hey, does anybody need anything copied? I\xc2\x92m going down\nto the Xerox place.'
Monica	 Oh, no thanks.'
Chandler	 Okay listen, just give me anything I can make two of.'
Monica	 Well, if you don\xc2\x92t have anything to copy, why are you going down\nthere?'
Joey	 Yeah, are you just going down there to gawk at that hot girl with the\nbelly button ring again?'
Chandler	 Yeah! You wanna come?'
Joey	 Yeah!'

Chandler	 Come on Chloe! Finish up with your customer first. Come on Chloe! Come\non Chloe!!'
Issac	 (to Chandler and Joey) Can I help you?'
Chandler	 Uh-oh.'
Joey	 Uh, y'know what, we\xc2\x92re having second thoughts about our copying\nneeds. And we\xc2\x92ll need a little more time to think about it."
Issac	 Chloe, switch with me, there\xc2\x92s some guys here that got a crush on\nyou.'
Chandler	 (to Joey) Okay, that hurt us.'
Chloe	 Hi guys. I haven\xc2\x92t seen you since this morning.'
Chandler	 Well ah, ........y'know."
Chloe	 Hey, what are you guys doing tomorrow night?'
Joey	 Both of us? (points to Chandler and himself)'
Chloe	 Maybe. Does that scare ya?'
Chloe	 Relax. It\xc2\x92s just Issac\xc2\x92s D.J.-ing at the Philly. You should\ncome.'
Joey	 We\xc2\x92ll be there.'
Chloe	 Great. I\xc2\x92ll ah, see ya then.'
Chandler	 All right, rock on. (Does the \xc2\x91Hang 10\xc2\x92 sign, then hides his\nface in shame.)'
Sergei	 (something in Russian or Polish)'
Mischa	 He\xc2\x92s says, \xc2\x91Walking with you makes this strange city, feel\nlike home.\xc2\x92'
Phoebe	 Me too. Although this city is my home, so. So that\xc2\x92s dumb what I\nsaid, don\xc2\x92t tell him I said that. Umm, you make something up. (Mischa does so and\nSergei kisses her hand.) Nice, (to Mischa) thank you. This is me. Here.'
Mischa	 (leaning in) Your eyes are very pretty.'
Phoebe	 (to Mischa) Thank you, very much! Oh! (to Sergei) Thank you!'
Mischa	 (leaning in) He would like to kiss you.'
Phoebe	 (to Mischa) Okay, y'know what, you don\xc2\x92t have to do that now.\n(Mischa translates that to Sergei) No-no-no-no!! Not him, you don\xc2\x92t! (Mischa tells\nSergei he can proceed and steps away) Well the moment\xc2\x92s over."
Phoebe	 Oh.'
Mischa	 Oy!'
Phoebe	 (pointing to the globe) See there it is right there.'
Monica	 Wow! It\xc2\x92s small.'
Phoebe	 Yeah. But Sergei said it took the Germans six weeks to get all the way\nacross it.'
Monica	 So you had fun, huh?'
Phoebe	 Yeah. Except for, y'know when you\xc2\x92re on a date and you\xc2\x92re\ngetting along really great but the guy\xc2\x92s translator keeps getting in the way."
Monica	 No.'
Ross	 (entering) Hey.'
Phoebe and Monica	 Hey.'
Ross	 What is ah, Rach in her room?'
Monica	 Oh no, she\xc2\x92s still at work, but she told me to tell you to call\nher.'
Ross	 Oh what?! Is she gonna cancel on me again?! How can she do this?\nDoesn\xc2\x92t she know it\xc2\x92s our anniversary?'
Monica	 All right ah, Ross, this is the extent of my knowledge on the subject.\n(holds up a notepad) Call Rachel.'
Ross	 What\xc2\x92s that on the bottom?'
Monica	 Oh that\xc2\x92s my doodle of a ladybug, with a top hat. (to Phoebe)\nShe\xc2\x92s fancy.'
Rachel	 (answering her phone at work) Hello.'
Ross	 Hey, honey.'
Rachel	 Oh, hi.'
Ross	 Hey, what\xc2\x92s going on?'
Rachel	 Well, there was a disaster in shipping and I\xc2\x92ve got to get this\norder in. Honey, I\xc2\x92m so sorry, but it looks like I\xc2\x92m gonna be here all night.'
Ross	 What, do you, well umm, oh how about I come up there?'
Rachel	 No-no-no, no, honey please, I\xc2\x92ve got, I\xc2\x92ve just have so much\nto deal with.'
Phoebe	 (to Monica) Anyway, I\xc2\x92m going out with Sergei again tonight, and\num, could you come and be the translator\xc2\x92s date? So that when we, it\xc2\x92s time for\nour alone time, you two could split off. Y'know, he\xc2\x92s really, he\xc2\x92s kinda cute."
Monica	 Yeah, well kinda cute, like really kinda cute, or kinda cute like your\nfriend Spackel Back Larry?'
Phoebe	 Hey, don\xc2\x92t call him that! His name is Spackel Back Harry!'
Chandler	 Hey, y'know what, maybe we should get going. I mean what time did\nChloe say we should be there?"
Joey	 Uh, 10
Chandler	 What time is it now?'
Joey	 4
Chandler	 Yeah all right, so we\xc2\x92ll hang out.'
Joey	 Yeah. Hey, remember when she brought up that thing about the three of us?'
Chandler	 Yes. Vividly.'
Joey	 She was kidding about that right?'
Chandler	 Yeah, I-I-I think so. (Pauses and thinks about it for a second) Yeah,\nI-I think so...'
Joey	 God, that would be weird it that situation presented itself tonight, huh?'
Chandler	 Yeah. Yeah, I mean what, what would we do?'
Joey	 Dude, I don\xc2\x92t know.'
Chandler	 She was kidding.'
Joey	 Yeah.'
Chandler	 She was.... But y'know what, just in case, maybe we should come up\nwith a set of ground rules."
Joey	 Yeah, for sure. Okay. Probably want the first thing to be, never open your\neyes. Y'know, because you don\xc2\x92t want to be doing something and then look up and see\nsomething you don\xc2\x92t want to be seeing."
Chandler	 Yeah. Good call, nice one. Hold it!! Hold it! What if me eyes are\nclosed, and, and my hand is out there.... (holds his arm out and pretends to grab\nsomething with his hand.)'
Joey	 Ah!! Okay! Eyes open at all times! Oh, hey, how do we decide where we...\n(clears throat) y'know each would, (clears throat again) y'know (pause) be?"
Chandler	 Right. Right. Well ah, y'know we could flip for it."
Joey	 Yeah, I guess, but what\xc2\x92s like heads and what\xc2\x92s tails?'
Chandler	 Well it you don\xc2\x92t know that, then I don\xc2\x92t want to do this\nwith you.'
Rachel	 (on the phone) No, no, no, I\xc2\x92m looking at a purchase order right\nhere and it clearly states that we ordered the Rivera bikini in a variety of sizes and\ncolours. And.... (listens) What does it matter, what I\xc2\x92m wearing?! Can I please speak\nto your supervisor? (listens) Thank you. (to Sophie) We\xc2\x92re holding.'
Ross	 (entering, carrying a basket) Hi!'
Rachel	 (startled) Oh!! My God, what are you doing here?'
Ross	 Well you said you couldn\xc2\x92t go out so.... (pulls the cover off of the\nbasket)'
Sophie	 You brought a picnic, oh, what a boyfriend. That\xc2\x92s it, on Monday I\nstart wearing make-up.'
Rachel	 Ross honey, this is very nice, but, but I-I got a crisis.'
Ross	 Yeah, but I got cous-cous!'
Rachel	 Honey, honey, I\xc2\x92m sorry, I know it\xc2\x92s our anniversary but I\ntold you on the phone I don\xc2\x92t have time to stop.'
Ross	 Okay, you don\xc2\x92t have to stop, I\xc2\x92m invisible, I\xc2\x92m not here.\n(lights a candle)'
Rachel	 But I don\xc2\x92t, hmm... (on phone) Oh, who approved that order?!\n(listens) Well there is no Mark Robbinson in this office. (to Sophie) Get me Mark on the\nphone!'
Sophie	 I love Mark. (to Ross) Do you know Mark?'
Ross	 Yeah!!'
Rachel	 Well, let me just check that with what I got here, all right see 038 is\nnot the number for (Ross starts making a lot of noise with a handheld pepper grinder) this\nstore, 038 is Atlanta. And I...(stops and looks at Ross)'
Ross	 (stopping grinding) Pepper?'
Rachel	 (angrily) None for me.'
Ross	 Okay sorry, whew.'
Rachel	 I\xc2\x92m sorry, as I was saying the store number is wrong, and I\xc2\x92m\nsorry but that\xc2\x92s... (notices a fire that Ross\xc2\x92s candle has started) Oh my God!! '
Ross	 (putting out the fire with a squeeze bottle of water) Okay, that\xc2\x92s a\nfire. Oh yeah. Oh yeah.'
