Joey	 (Voice Over) Previously on Friends.'
Ross	 I mean, I don\xc2\x92t feel like I even have a girlfriend anymore.'
Rachel	 You want me to just quit my job so that you can feel like you\xc2\x92ve\ngot a girlfriend?'
Ross	 Is this about Mark?'
Rachel	 (shocked) Oh my God.'
Ross	 Okay, it\xc2\x92s not, it\xc2\x92s not.'
Rachel	 Oh my God. I cannot keep having this same fight with you Ross! Look,\nurrgh, maybe we should take a break.'
Ross	 Fine, you\xc2\x92re right. Let\xc2\x92s ah, let\xc2\x92s take a break, (goes to\nthe door) let\xc2\x92s cool off, okay, let\xc2\x92s get some frozen yoghurt, or something..\n(opens the door)'
Rachel	 No. A break from us.'
Rachel	 Then, we had this big, stupid fight, and I said I wanted to take a\nbreak, I don\xc2\x92t want to take a break.'
Ross	 (on the phone) I\xc2\x92ve been thinking, this is crazy, I mean don\xc2\x92t,\ndon\xc2\x92t you think we can work on this? '
Mark	 Hey, what do you want to drink?'
Ross	 Who\xc2\x92s that?'
Rachel	 Nobody.'
Ross	 Is that Mark?'
Rachel	 Umm, honey, look he just came over to....'
Ross	 Yeah! Got it! (slams down the phone)'
Chloe	 Hey, come dance. What? Are you married? \xc2\x91Cause that\xc2\x92s okay.'

Monica	 Hey.'
Rachel	 Hey.'
Monica	 How\xc2\x92s the big anniversary dinner?'
Rachel	 Well, we never actually got to dinner.'
Monica	 Ohhh, nice.'
Rachel	 No, we kinda broke up instead.'
Monica	 What?! (She accidentally starts the blender without the lid on it and\nfruit flies everywhere.)'
Rachel	 (looking up at the ceiling) God, Monica it\xc2\x92s on the ceiling.'
Monica	 That\xc2\x92s okay, this is more important than fruit (pause) (angrily) on\nmy ceiling! You broke up?!'
Rachel	 Yeah, but it\xc2\x92s okay, because when Ross left Mark came over.'
Monica	 Oh no!! '
Rachel	 No.'
Monica	 Rachel, you and Mark?!'
Rachel	 No, no-no, it\xc2\x92s okay, calm down. Mark and I talked, and I realised\nhow much I love your stupid brother, and, yeah, we got our problems, but I really want to\nmake it work.'
Chloe	 (entering from bathroom) Morning!'

Rachel	 (on answering machine) Hi, it\xc2\x92s me. I\xc2\x92ve been trying to reach\nyou all night. I feel awful. Please, Ross, you gotta know there is nothing between me and\nMark. This whole break-up thing is just stupid. '
Ross	 Yeah!!'
Rachel	 Eh, I\xc2\x92m just so sorry I put you through it. And, I y'know, I\ndon\xc2\x92t want to get back together over a machine."
Ross	 Na-huh.'
Rachel	 So, I love you.'
Ross	 I love you.'
Rachel	 And y'know what, I\xc2\x92m gonna, I\xc2\x92m gonna go to bed now, but ah,\non my way to work tomorrow morning, I\xc2\x92m gonna stop by around 8
Ross	 Okay. (Ross starts frantically looking for a clock.)'
Rachel	 Bye.'
Ross	 Chloe, Chloe how\xc2\x92s it coming?!!'
Chloe	 (entering from bedroom) Hey, what kind of puppy do you think I should\nget?'
Ross	 Umm, oh, hey, I don\xc2\x92t know. How about a big one?'
Chloe	 But my apartment is so...'
Ross	 Well then a small one!! Listen, let\xc2\x92s, we kinda have to get going!'
Chloe	 Wait! Where\xc2\x92s my shoes?'
Ross	 You, you sure you need shoes? (Chloe nods her head) Okay. (reaches down\nand picks up a shoe)'
Chloe	 Do I know why we\xc2\x92re rushing?'
Ross	 Yeah, y'know the ah, the girlfriend I told you about last night?\n(He\xc2\x92s frantically throwing the cushions off of the couch looking for her other shoe)\nWell it turns out she ah, she wants to get back together with me. Oh, I found it!! "
Chloe	 That\xc2\x92s so great for you guys!'
Ross	 Yeah! '
Chloe	 You must be so happy!'
Ross	 Yes, yes I am, one of the many things I\xc2\x92m feeling. Well.... (picks up\nher coat)'
Chloe	 Good luck, with your girlfriend. '
Ross	 Oh, thank you. (She goes to kiss him, but he holds her coat up between\ntheir faces to stop her.) Hey, hey. (opens the door, sees Rachel, and hides Chloe behind\nthe door) Rachel!!!!'
Rachel	 Hi. Ohhh, you got my message.'
Ross	 Yeah, oh hey, you are right on time.'
Rachel	 So what do you say? Can I be your girlfriend again?'
Ross	 Yes, you can, very much.'
Ross	 (seeing the thumbs up) Ahhhh!! (Hugs Rachel tighter.)'
Phoebe	 Hey!'
Monica	 Hey.'
Phoebe	 Hey, why are you mopping your ceiling?'
Monica	 Oh, there\xc2\x92s banana on it.'
Phoebe	 Wow, I have the spirit of an old Indian women living in mine.'
Monica	 So then you know? (Phoebe nods her head)'
Phoebe	 The mailman was downstairs, so I brought up your mail.'
Monica	 Oh, good. Thanks.'
Phoebe	 Now what is Fabutec?'
Monica	 Okay, all right don\xc2\x92t judge me to much. Okay? Um, but I saw this\ninfo-mercial, and um, I swear to you I have never-ever bought anything on TV before,\nexcept for this mop. But there was this stuff on leg waxing, it just, it looked so\namazing....'
Phoebe	 Waxine!!'
Monica	 Yes! Have you seen it?'
Phoebe	 Oh, it\xc2\x92s incredible! I so want to be a Waxine girl.'
Monica	 I know!!'
Phoebe	 God. Do think it really doesn\xc2\x92t hurt? \xc2\x91Cause how can they do\nthat?'
Monica	 Hello! Organic substances recently discovered in the depths of the rain\nforest!'
Phoebe	 They have the best stuff in there.'
Chandler	 Oh my God! Oh my God!'
Joey	 Yeah. We figured when we couldn\xc2\x92t find you, you\xc2\x92d gone home to\nmake up with Rachel. Which is probably what you shoulda done. Huh?'
Ross	 You think?! God, I, ah, I\xc2\x92m in hell. I mean what, what am I gonna do?\nRachel\xc2\x92s all like, \xc2\x91I love you and, and let\xc2\x92s work on this.\xc2\x92 And all I\ncan think about is, \xc2\x91What is she gonna do? What is she gonna say?\xc2\x92 when I tell\nher what I did.'
Chandler	 Well, before we answer that, I think we should address the more\nimportant question. How dumb are you?'
Ross	 What?! Look, we\xc2\x92re trying to rebuild a relationship here, right. How\nam I supposed to do that here, without being totally honest with each other?'
Joey	 Look, Ross look, I\xc2\x92m on board about this totally honesty thing, I am,\njust not about stuff that\xc2\x92s gonna get you in trouble.'
Chandler	 He\xc2\x92s right. Nobody\xc2\x92s gonna benefit, and you\xc2\x92re just\ngonna hurt her.'
Joey	 Yeah, and there won\xc2\x92t be a relationship left to rebuild.'
Ross	 Yeah, but don\xc2\x92t you think....'
Chandler	 All right look, if you absolutely have to tell her, at least wait\nuntil the timing\xc2\x92s right. And that\xc2\x92s what deathbeds are for.'
Ross	 Yeah, okay. (he plops down into one of the leather chairs, with the\nfootrest extended.)'
Joey	 All right, okay, now, we just have to make sure she doesn\xc2\x92t find out\nsome other way. (spins the chair around so that Ross is facing him) Did you think about\nthe trail?'
Ross	 What trail?'
Joey	 (stomps on the footrest which pops Ross up into a sitting position) The\ntrail from the woman you did it with to the woman you hope never finds out who did it!\n(slapping his hands with each word) You always have to think about the trail!'
Ross	 Oh, I-I don\xc2\x92t think there\xc2\x92s any trail.'
