Joey	 Can I see the comics?'
Chandler	 This is the New York Times.'
Joey	 Okay, may I see the comics?'
Monica	 Guys. I thought you were taking Ross to the game?'
Chandler	 We are. He\xc2\x92s meeting us here.'
Monica	 No! Rachel is meeting us here.'
Phoebe	 Oh come on, they can be in the same room.'
Joey	 Yeah, you shoulda been there last night.'
Phoebe	 Why? What happened now?'
Joey	 Well Ross was hangin\xc2\x92 out over at our place, Rachel comes over to\nborrow some moisturiser from Chandler....'
Chandler	 Yeah y-you, how hard is it to say something? Rachel came over to\nborrow something.'
Joey	 Anyway! Her and Ross just started yelling at each other.'
Phoebe	 Wait. Why was he yelling at her? He\xc2\x92s the one who slept with\nsomeone else. '
Joey	 Well, I guess he says that because they were on a break when it happened,\nthat she should of forgiven him by now.'
Phoebe	 Whoa!! He is soo unreasonable! God, although I think I understand what\nhe means. Oh my God, this is like 60 Minutes, okay, when, when, at first\nyou\xc2\x92re really mad at that pharmaceutical company for making the drug and then y'know\nyou just feel bad for the people because they needed to make their hair grow."
Chandler	 Y'know what this is like? This is like when my parents got divorced.\nMan, I hope Ross doesn\xc2\x92t try to kidnap me after Cub Scouts."
Phoebe	 Y'know I had a dream where Ross and Rachel were still together, they\nnever broke up. And we were all just like hanging out, and everyone was happy...."
Joey	 I had the same dream!'
Phoebe	 Yeah, and nobody slept with that Xerox girl. '
Joey	 Oh, I had the opposite dream.'
Chandler	 Y'know what maybe it\xc2\x92s gonna be okay, I mean it\xc2\x92s been a\nweek."
Joey	 Yeah, I mean it\xc2\x92s never taken me a week to get over a relationship.'
Monica	 It\xc2\x92s never taken you more than a shower to get over a\nrelationship.'
Monica	 (seeing her) Okay, let\xc2\x92s go!! Let\xc2\x92s hit the road!!'
Rachel	 Hey!'
Monica	 Let\xc2\x92s get the show on it! '
Rachel	 Okay, let me just get a cup of coffee.'
Monica	 Oh Rachel, I know the best coffee house and it\xc2\x92s sooo close.'
Rachel	 Closer than here?'
Phoebe	 (turning around and picking a cup off of a table) Oh, hey, look, I found\ncoffee! (handing her the cup) Okay, let\xc2\x92s skedaddle.'
Rachel	 Wait, I\xc2\x92m not just gonna drink somebody\xc2\x92s old coffee.'
Phoebe	 Okay, your highness.'
Phoebe	 (in a deep voice, imitating Ross) Um, Rachel I\xc2\x92m really sorry.\n(imitating Rachel) That\xc2\x92s okay, do you wanna get back together? (imitating Ross)\nYeah, okay. (in her normal voice) Did anyone else hear that?!'

Rachel	 (softly) Is he here?'
Chandler	 No.'
Rachel	 Oh. (smiles) Here\xc2\x92s your moisturiser. Hi! '
Monica and Phoebe	 Hey!'
Rachel	 You guys are gonna love meee! Okay, check it out, Thursday night, five\ntickets, Calvin Klein lingerie show, and you guys are coming with me. (they\xc2\x92re\nall silent and look away) Okay, I said that out loud right?'
Chandler	 Yes, yes, it\xc2\x92s just that we ah, we kinda all ready, made plans\nwith Ross.'
Rachel	 Oh, well okay. Well, there you go.'
Phoebe	 No, it\xc2\x92s just that he got this new like home theater dealie, and he\nwants y'know, us to check it out."
Rachel	 Hm-mm.'
Chandler	 Yeah, he\xc2\x92s really excited about it too, he even recorded show\ntimes on his answering machine.'
Rachel	 Ohh!'
Monica	 We\xc2\x92re sorry honey.'
Rachel	 Oh, it\xc2\x92s okay. (starts to leave)'
Joey	 Rach, it\xc2\x92s, it\xc2\x92s ah, it\xc2\x92s not that we don\xc2\x92t want to,\nreally. (quietly) Are we talking models in their underwear?'
Rachel	 And heels.'
Joey	 (He turns around to Chandler looking for approval to go with Rachel,\nChandler mouths \xc2\x91Come on!\xc2\x92) (turning back to Rachel) Ross, did ask us first, and\nwe set that night aside.'
Rachel	 No, hey, come on, if he asked you first, that\xc2\x92s only fair. (leaves)'
Phoebe	 Ohhh boy, do I feel bad.'
Joey	 Oh yeah.'
Monica	 Very bad.'
Phoebe	 Chandler what are you doing?!'
Monica	 Chandler!!'
Chandler	 (jumps back and points at the cigarette) Oh my God!'
Joey	 You\xc2\x92re smoking again?!'
Chandler	 Well, actually, yesterday I was smoking again. Today, I\xc2\x92m,\nI\xc2\x92m smoking still.'
Phoebe	 Why would you start again after chewing all that quitting gum?'
Chandler	 Look, I\xc2\x92m telling you this is just like my parents divorce, which\nis when I started smoking in the first place.'
Monica	 Weren\xc2\x92t you nine?!'
Chandler	 Yeahhh. I\xc2\x92m tellin\xc2\x92 ya something, that ah, first smoke after\nnap time....'
Chandler	 Oh that\xc2\x92s great, with my luck, that\xc2\x92s gonna be him.'
Phoebe	 Him? Him, Ross?'
Chandler	 Nope, hymn 253, His Eyes Are On The Sparrow! When my parents got\ndivorced is when I started using humour as a defence mechanism. (answers the door and\nit\xc2\x92s Rachel again.)'
Rachel	 Hi! Uhh, do you guys have plans for the weekend? Because I have my\nsister on hold, and she said that we could use her cabin for the weekend and go skiing.\nHuh? I\xc2\x92m asking you first, right?!. I mean I\xc2\x92m playing by the rules.'
All	 Absolutely, yeah!'
Rachel	 Chandler! You\xc2\x92re smoking? What are you doing?!'
Chandler	 Hey, shut up!! You\xc2\x92re not my real Mom!!'
Joey	 (obviously cold) Hey, can you close that window Chandler? My nipples can\ncut glass over here!'
Phoebe	 Wait. Really?! \xc2\x91Cause mine get me out of tickets.'
Ross	 Look, you guys I just wanna say, I really, really appreciate you spending\nthis time with me. It\xc2\x92s been a pretty hard time right now, so I just wanna say\nthanks.'
Chandler	 Can somebody else hug him? I have to stay by the window.'
Ross	 Oh hey, hey, huh, how about this weekend we have a laser disc marathon\nokay, and maybe a tournament on my new dart board? Huh, huh, what do you think? (in an\nIrish accent) Two days of darts, it\xc2\x92ll be great!'
Joey	 It\xc2\x92ll be great for next weekend.'
Ross	 No, no, no, this weekend guys!'
Joey	 It\xc2\x92ll be great for next weekend. I mean, (in an Irish accent)\nit\xc2\x92ll be grrreat.'
Ross	 What\xc2\x92s going on?'
Phoebe	 Well, we were um, sorta invited to go skiing, y'know Rachel\xc2\x92s\nsister\xc2\x92s cabin. (Chandler goes back to the window to smoke again.)"
Ross	 So, for the whole weekend?'
Monica	 We\xc2\x92re really sorry, but um, she did ask us first.'
Ross	 Yeah, that\xc2\x92s okay, I mean if you guys all have to go away for\nthe first weekend I\xc2\x92m alone by myself, y'know then I totally, totally understand."
Phoebe	 Y'know what, I can stay, I\xc2\x92m gonna stay. \xc2\x91Cause the last time\nI went skiing I was to afraid to jump off the chair lift, I just went around and around."
Joey	 Uh, Pheebs we kinda need you to drive us all up there in your\ngrandmother\xc2\x92s cab, but y'know what, I\xc2\x92ll stay."
Monica	 Noo! I\xc2\x92ll stay. He\xc2\x92s my brother.'
Ross	 What a pity stay?'
Monica	 No! We\xc2\x92re gonna have fun. We can make fudge!'
Ross	 Pity food? Y'know what that\xc2\x92s okay, all right, I don\xc2\x92t need any\nof you to stay, okay nobody stays."
Chandler	 Well, then, I might as well offer to stay.'
Joey	 (to Chandler and Monica) Hey, does anybody else feel bad about Ross?'
Monica	 Why? Do you think he\xc2\x92s still mad at us?'
Chandler	 (to Joey) Well he\xc2\x92s probably mad after you called him this\nmorning to borrow his goggles.'
Joey	 What? Mine aren\xc2\x92t tinted.'
Phoebe	 Chandler!!'
Chandler	 What?'
Phoebe	 What does the sign say?'
Chandler	 Beam me up Jesus.'
Phoebe	 No, the \xc2\x91No Smoking\xc2\x92 sign. There\xc2\x92s no smoking in my\nGrandmother\xc2\x92s cab.'
Chandler	 Okay, well, then, I-I have to go to the bathroom.'
All	 Oh!'
Phoebe	 Please!'
Monica	 No Chandler no! No unscheduled stops. You can go when we stop for gas.'
Chandler	 Oh, come on, there\xc2\x92s a rest stop right up there! Come on, I\nreally have to goooooooooo.'
Joey	 Oh, now I have to go!!'
Chandler	 Here we go. Okay, brace yourselves.'
Monica	 What?'
Rachel	 Okay.'
Monica	 Ow!'
Phoebe	 (to Rachel, who\xc2\x92s staying in the cab.) Aren\xc2\x92t you gonna go?'
Rachel	 No. Thank you.'
Monica	 (getting out) No, Rachel never pees in public restrooms.'
