Monica	 (to Joey) What\xc2\x92s so funny?'
Joey	 Oh, nothing, no. It\xc2\x92s an acting exercise, I\xc2\x92m practising my fake\nlaugh.'
Monica	 Oh. (she laughs)'
Joey	 What-what\xc2\x92s so funny?'
Gunther	 (to Chandler) Oh, no-no, no-no-no, there\xc2\x92s none of that in here.'
Chandler	 Oh come on man! At least let me finish this last one.'
Gunther	 Okay, but only if you give me a drag.'
Chandler	 Okay.'
Gunther	 Oh dark mother, once again I suckle at your smokey tit. (hands Chandler\nback the cigarette.)'
Chandler	 No-no, why don\xc2\x92t you hang on to that one.'
Chandler	 Okay, that\xc2\x92s like the least fun game ever.'
Rachel	 Well, I\xc2\x92m really sick of your smoking, so I brought something that\nis going to help you quit. (hands him an audio cassette)'
Chandler	 Oh. (takes the cassette and puts it on his arm like the stop smoking\npatch, and it falls off.) Nope, that patch is no good. (Joey and Monica both do their fake\nlaughs.)'
Rachel	 Come on, it\xc2\x92s a hypnosis tape. This woman at work used it for two\nweeks straight and she hasn\xc2\x92t smoked since.'
Ross	 Pffhah.'
Rachel	 (to Ross) What\xc2\x92s your problem?'
Ross	 Nothing, it\xc2\x92s just that hypnosis is beyond crap.'
Rachel	 Ross, I watched you get hypnotised in Atlantic City.'
Ross	 Hey, that guy did not hypnotise me! Okay.'
Rachel	 Oh right, \xc2\x91cause you always pull your pants down at the count of\nthree and play Wipe-out on your butt cheeks.'
Phoebe	 All right, y'know forget hypnosis. The way to quit smoking is you have\nto dance naked in a field of heather, and then bath in the sweat of six healthy young men."
Chandler	 Or what my Father called Thursday night.'

Ross	 Here you go.'
Rachel	 Oh, y'know what, I didn\xc2\x92t want cinnamon on this."
Ross	 Sorry. (To remedy that, Ross scoops the cinnamon off of the top with his\nhand.)'
Frank	 (entering) Hi!'
Phoebe	 Oh my God!! '
Frank	 Hi!'
Phoebe	 Frank! Hi!'
Frank	 How are you?'
Phoebe	 What are you doing here?'
Frank	 Oh, well y'know, I would\xc2\x92ve called but I lost your phone number and\nthen ah, my Mom locked me out of the house so I couldn\xc2\x92t find it. And then, I tried\nto find a pay phone, and ah, the receiver was cut off. So..."
Phoebe	 What happened?'
Frank	 Ah, oh, the ah, vandalism.'
Phoebe	 But, also, what happened between you and your Mom?'
Frank	 Well, we got into a fight \xc2\x91cause ah, she said I was to immature to\nget married.'
Phoebe	 Your getting married?!'
Frank	 Oh, yeah!'
All	 Wow!'
Phoebe	 My little brother\xc2\x92s getting married!!'
Frank	 Oh, I knew you\xc2\x92d be so cool about this. All right, ah, hey, do you\nwant to meet her?'
Phoebe	 Do I?'
Frank	 Do you?'
Phoebe	 Yeah, I do, yeah.'
Frank	 Okay, cool, all right, she just ah, parking the truck. (to Joey) I\xc2\x92m\ngonna, I\xc2\x92m gonna get my ah, my fianc\xc3\xa9e man!'
Chandler	 Y'know, I would\xc2\x92ve bet good money that he\xc2\x92d be the first one\nof us to get married."
Phoebe	 Yeah, isn\xc2\x92t it fantastic?'
Monica	 Yeah, ah, but Pheebs don\xc2\x92t you think he\xc2\x92s a little young to\nget married?'
Phoebe	 What, he\xc2\x92s 18.'
Ross	 Exactly, it\xc2\x92ll be illegal for him to drink at his own bachelor party.'
Joey	 Yeah, or-or to get a hooker.'
Chandler	 Always illegal Joe.'
