Gunther	 Here you go.'
Rachel	 Thank you.'
Gunther	 (In his head) Say Rachel, I was wondering if you\xc2\x92d like to go\nto a movie with me sometime. As my lover! Nnnsch, to out there. Maybe you\xc2\x92d just like\nto ah, get something to eat with me sometime? As my lover.'
Mark	 (entering) Hi!'
Rachel	 Hi! All right, let\xc2\x92s go shoppin\xc2\x92!!'
Mark	 Um, y'know, before we go ah, there\xc2\x92s something I need to say."
Rachel	 Oh, okay.'
Mark	 I\xc2\x92ve kinda of had this ah, this crush on you. (Rachel is shocked) But\nsince you were with Ross, I-I didn\xc2\x92t do anything about it. But, now that you\xc2\x92re\nnot, I\xc2\x92d really like to ask you out sometime. So-so that\xc2\x92s-that\xc2\x92s what\nI\xc2\x92m doing, now.'
Rachel	 Wow! Umm....'
Gunther	 I dropped a cup.'

Pete	 ...so y'know, that\xc2\x92s why, within a few years, that voice recognition\nis gonna be pretty much standard on any computer you buy. Y'know, so you could be\nlike-like, \xc2\x91Wash my car.\xc2\x92 \xc2\x91Clean my room.\xc2\x92 It\xc2\x92s not gonna be able\nto do any of those things, but it\xc2\x92ll understand what you\xc2\x92re saying."
Monica	 Oh, this is so great.'
Pete	 Yeah, it was.'
Monica	 All right then. (He leans in to kiss her goodnight, but she quickly\nkisses him on the cheek and pats his shoulder.) Bye.'
Monica	 Hello, people who do not live here.'
All	 Hi! Hello!'
Monica	 I gave you a key for emergencies!'
Phoebe	 We were out of Doritos.'
Ross	 Hey, how\xc2\x92d the date go with Mr. Millionaire?'
Chandler	 Mr. Millionaire, new from Snooty Playthings! Third wife sold\nseparately.'
Monica	 He\xc2\x92s great! I mean we have such a good time together! He\xc2\x92s so\nfunny, and sooo sweet, and I\xc2\x92m not attracted to him at all!!'
Ross	 Still?!'
Monica	 Noo!! It\xc2\x92s driving me crazy. I mean every other way he\xc2\x92s like\nthe perfect guy, he has everything. Plus! He actually has everything.'
Chandler	 Life-sized Imperial Storm Troopers from Sharper Image?'
Monica	 Two.'
Chandler	 Wow!! Can Joey and I put them on and fight?'
Joey	 (entering, dancing and singing) Oh mommie, oh daddie, I am a big old\nbaddie! Oh mommie, oh daddie, I am a big old baddie! (He dances around the dinner table\nand exits)'
Ross	 I guess he musta gotten the part in that play.'
Monica and Phoebe	 Oh.'
Chandler	 Yeah, either that, or Gloria Estefan was right, eventually, the rhythm\nis going to get you.'
The Director	 Joe. How\xc2\x92s it going?'
Joey	 Good. (He sets his stuff down and starts talking to Kate, another cast\nmember.) Hey.'
Kate	 Hi.'
Joey	 Oh, so you\xc2\x92re playing Adrienne, huh?'
Kate	 Yes. Are you one of the retarded cousins?'
Joey	 Oh, no. Ah, I playing your husband, Victor. I\xc2\x92m Joey Tribianni.'
Kate	 Hi, nice to meet you. Kate Miller. '
Joey	 So the ah, play\xc2\x92s pretty great, huh?'
Kate	 Oh, yeah. I love Jennifer Van Murray\xc2\x92s work. She\xc2\x92s so\nbrilliantly incisive when it comes to deconstructing the psyche of the American middle\nclass.'
Joey	 Oh, forget about it. She rocks!'
Kate	 Where do I know you from?'
Joey	 Dr. Drake Remoray. Days of Our Lives. Voted most datable\nneurosurgeon by Teen Beat.'
Kate	 No, that\xc2\x92s not it. So, you\xc2\x92re a soap actor? Well this must be\npretty exciting for you to be in a real play, hmm?'
Joey	 Hey, I\xc2\x92ve done plays before. I\xc2\x92m a serious actor.'
Kate	 That info-mercial! For the milk carton spout thing!\nYou\xc2\x92re-you\xc2\x92re-you\xc2\x92re the guy that doesn\xc2\x92t know how to pour milk!!'
Joey	 See, I actually can pour milk, but I got you believing that I\ncouldn\xc2\x92t. Now, see, that\xc2\x92s acting.'
Kate	 Right, at the end, you choked on a cookie.'
Joey	 Yeah, that was real.'
Phoebe	 Wow! I cannot believe Mark asked you out.'
Rachel	 I know.'
Phoebe	 What, so what are you gonna tell him?'
Rachel	 Well, I told him I would think about it, but I\xc2\x92m gonna tell him no.'
Phoebe	 Huh.'
Rachel	 I mean I think I\xc2\x92d say no to anybody right now. (Hearing this\nGunther swoops back to cleaning tables.) Oh, but it was so strange. I mean I\xc2\x92m\nstanding there with this charming, cute guy, who\xc2\x92s asking me to go out with him,\nwhich I\xc2\x92m allowed to do, and I felt guilty. Y'know, like I\xc2\x92d be cheating on Ross\nor something."
Phoebe	 Wow. So, okay, maybe that means that, you\xc2\x92re not over Ross yet and\nyou have issues with your father.'
Rachel	 I don\xc2\x92t have any issues with my Father.'
Phoebe	 Okay, so it\xc2\x92s probably just the Ross thing then.'
Joey	 I hate this woman!! I hate her! She told everyone in the company about\nthat info-mercial, and now they all keep asking me to open their drinks. Okay, and\nwhenever I can\xc2\x92t do it, they\xc2\x92re all like-like laughing at me.'
Ross	 (entering) Hello.'
Chandler and Joey	 Hey!'
Ross	 So Rachel called. Wants to see me. Going over in a minute.'
