Chandler	 Wait a minute, wait. You\xc2\x92re telling me this actress person is the\nonly woman you ever wanted who didn\xc2\x92t want you back?!'
Joey	 Yeah! Oh my God! (to Chandler) Is this what it\xc2\x92s like to be you?'
Monica	 Wow, you\xc2\x92re really crazy about her, huh?'
Joey	 Oh, you have no idea. And-and when we\xc2\x92re on stage I get to-to kiss\nher and-and touch her, but then she goes home with the director, and it\xc2\x92s like\nsomebody\xc2\x92s ripping out my heart!'
Phoebe	 Oh, it\xc2\x92s so great to see you feeling like this!'
Ross	 (entering) Hey!'
All	 Hey!'
Ross	 Monica, uh Dad called this morning and ah, Aunt Silvia passed away.'
Monica	 Yes!! Yes! Yeah, yeah, yeah!'
Ross	 We were all pretty shaken up about it.'
Phoebe	 Wait, am I missing something though? \xc2\x91Cause I thought death was\nsomething that\xc2\x92s supposed to be sad, in a way.'
Ross	 Well ah, Aunt Silvia was, well not a nice person.'
Monica	 Oh, she was a cruel, cranky, old bitch! (Ross gives her a look) (to\nRoss) And I\xc2\x92m sorry she died. Did Dad say I get the dollhouse?'
Ross	 You get the dollhouse.'
Monica	 I get the dollhouse!'
Phoebe	 Wow, a house for dolls, that is so cool! When I was kid, I had a barrel.'
Joey	 Uh, Pheebs, you had a barrel for a dollhouse?'
Phoebe	 No, just a barrel.'
Monica	 Y'know what, you can play with my dollhouse."
Phoebe	 Really?! Really?!'
Monica	 Any time you want. Y'know, when I was younger, all I wanted to do was to\nplay with this dollhouse, but no!! It was to be looked at, but never played with."
Chandler	 My Grandmother used to say that exact same thing to me.'

Rachel	 Hey, Sophie!'
Sophie	 Hey, Rach!'
Chandler	 Hey.'
Sophie	 Hey.'
Rachel	 Thanks for lunch, Chandler. Y'know, you didn\xc2\x92t have to walk me all\nthe way back up here."
Chandler	 Oh, that\xc2\x92s-that\xc2\x92s okay, no problem. (He starts to look\naround her office.)'
Rachel	 Honey um, honey, you do realise that we don\xc2\x92t keep the women\xc2\x92s\nlingerie here in the office?'
Chandler	 Yes, I realise that.'
Rachel	 Summer catalogue! (hands him the catalogue)'
Chandler	 That\xc2\x92s the stuff! (quickly grabs it)'
Joanna	 Rachel, I need the Versachi invoice. (to Chandler) Hello! You\ndon\xc2\x92t work for me.'
Rachel	 (introduces them) Joanna, this is my friend Chandler Bing (to Chandler)\nJoanna.'
Joanna	 Bing! That\xc2\x92s a great name.'
Chandler	 Thanks, it\xc2\x92s ah, Gaelic, for \xc2\x91Thy turkey\xc2\x92s done.\xc2\x92\nSo ah, I\xc2\x92m gonna go, nice, nice meeting you.'
Joanna	 Me too.'
Rachel	 Bye, Chandler.'
Joanna	 (to Rachel) So ah, what\xc2\x92s wrong with him?'
Rachel	 Oh, nothing, he\xc2\x92s just goofy like that, I actually, hardly notice\nit anymore.'
Joanna	 Oh no, no-no-no, is he ah, married, or involved with anyone?'
Rachel	 No!! No! He\xc2\x92s not married, or involved, with anyone!'
Joanna	 Oh, Rachel, (pause) actually, y'know what, forget it."
Rachel	 Well, I\xc2\x92ll ask him for you, if you want me too?'
Joanna	 Would you? Or, is it just to sad and desperate, and y'know something\nthat Sophie would do?"
Sophie	 Uh, uh, uh, I am here.'
Joanna	 I know that.'
Monica	 Look at it! Ohhh! Wallpaper\xc2\x92s a little faded, that\xc2\x92s okay.\nCarpet\xc2\x92s a little loose. Hardwood floors!!'
Phoebe	 (entering) Hey!'
Chandler	 Hello.'
Phoebe	 Oh! Ooh! Oh Monica! It\xc2\x92s so beautiful.'
Monica	 I know!!!'
Phoebe	 So, I\xc2\x92m here, ready to play.'
Monica	 Okay.'
Phoebe	 I brought a bunch of stuff for the house, so check it out. Ha-ha. (She\nremoves this large ceramic dog that comes up to the second floor and places it next to the\nhouse.)'
Monica	 What\xc2\x92s this?'
Phoebe	 That\xc2\x92s a dog, every house should have a dog.'
Monica	 Not one that can pee on the roof.'
Phoebe	 Well, maybe it\xc2\x92s so big because the house was built on radioactive\nwaste.'
Chandler	 (holding a tissue) And is this in case the house sneezes?'
Phoebe	 No, no, that\xc2\x92s the ghost for the attic.'
Monica	 I don\xc2\x92t want a ghost.'
Phoebe	 Well, nobody wants a ghost. But you\xc2\x92ve got one, because the house\nis sitting on an ancient Indian burial ground.'
Ross	 Wait a minute, the house was built on radioactive waste, and an ancient\nIndian burial ground? That would never happen.'
Phoebe	 Okay, obviously you don\xc2\x92t know much about the U.S. government.'
Rachel	 (entering) Hey!'
All	 Hello.'
Rachel	 I need to talk to you!'
Ross	 Sure, what\xc2\x92s up?'
Rachel	 Oh, sorry. I meant Chandler.'
Ross	 I-I know. Well if something comes up... (walks away)'
Chandler	 Oh, I'm glad you guys are past that little awkward phase."
