Rachel	 So who\xc2\x92s idea was it to put everybody in the diner on skates?'
Monica	 Oh, some idiot customer put a suggestion in the suggestion box.'
Phoebe	 Oh my God, they took my idea!'
Monica	 That was you?!'
Phoebe	 Yeah! Okay, here you go. (rolls her back to Rachel)'
Gunther	 (bringing Rachel a mug) Rachel, I made you a cocoa. '
Phoebe	 Oh my God, are you guys okay?'
Gunther	 Are you all right?'
Joey	 (leaving Central Perk and seeing Monica laying on top of Rachel who is\nmoaning in pain.) Oh my.'

Chandler	 (sporting a goatee) Hey.'
Joey	 Hey. Y'know with that goatee you kinda look like Satan."
Chandler	 Oh, so that\xc2\x92s why the priest threw holy water on me.\n(there\xc2\x92s no reaction from Joey) Okay, listen, you have to cheer up! Okay? You\nshould come out with Ross and me, I mean anything is better than sitting around here\ncrying all day about Kate.'
Joey	 Hey I was crying because, because nobody believed Quincy\xc2\x92s theory.\nOkay?'
Ross	 (entering) Hey!'
Chandler	 Hey.'
Ross	 (triumphantly) I\xc2\x92m gonna be on TV!!'
Chandler	 No way!'
Ross	 Yeah! They\xc2\x92re putting together this panel to talk about these fossils\nthey just found in Peru and The Discovery Channel\xc2\x92s gonna film it!'
Chandler	 Oh my God! Who\xc2\x92s gonna watch that?!'
Ross	 Thanks. You ready to go?'
Chandler	 Yeah. (they start to leave)'
Joey	 Saw a girl with that vest.'
Chandler	 Thanks. (He takes off the vest and throws it on the floor.)'
Anchorwoman	 (on TV) While most of us think of chocolate bunnies and baskets as\ntraditional Easter gifts. Some people insist on giving live chicks as presents. (Joey is\nintrigued by the idea) Unfortunately, the sad fact remains that most of these little guys\nwon\xc2\x92t live to see the fourth of July. (Joey starts to call a place to buy a little\nbaby chick) Because of as a result of improper care, they will be dead.'
Joey	 (on phone) Yeah, hi. You guys got any of those baby chicks? \xc2\x91Cause I\nwas watching this ah, commercial on TV and man, those guys are cute!'
Pete	 Hi!'
Monica	 Hi! Hey, Pete you\xc2\x92re back! Hey, check this out. (She starts to\nskate over to him)'
Pete	 Wow! Skates! '
Monica	 Wow! You\xc2\x92re a lot sturdier that Chandler. He crumpled like a piece\nof paper. So how was you\xc2\x92re trip?'
Pete	 Well... (he holds up a gift he brought her)'
Monica	 Oh, what\xc2\x92d ya bring me?! (She opens the gift) Awww, hotel\ntoiletries from Japan. Oh, these are gonna go in my permanent collection. You want some\ncoffee?'
Pete	 Yeah, sure, that\xc2\x92d be great.'
Monica	 (popping back up) Regular or decaf?'
Pete	 Ah, which ever is closest. '
Monica	 Okay. (hands him a cup)'
Pete	 So ask me what I did today.'
Monica	 So what did you do today Pete?'
Pete	 I bought a restaurant and I would like you to be the head chef.'
