Rachel	 Oh, Phoebe, are you still on hold? I was supposed to call my Dad back\nlike two hours ago.'
Phoebe	 Oh, yeah, he clipped on, he said call him as soon as you get a chance,\nhe\xc2\x92s at Flimby\xc2\x92s.'
Rachel	 What\xc2\x92s Flimby\xc2\x92s?'
Phoebe	 Oh, yeah, that\xc2\x92s the word I use when I can\xc2\x92t remember the real\nthing.'
Rachel	 Okay. Hang up! That\xc2\x92s it! Come on!'
Phoebe	 No! Rachel, that\xc2\x92s what they want me to do. My warranty expires\ntomorrow, if I don\xc2\x92t get through, they\xc2\x92re not gonna fix my crappy, broken phone\nfor free! We cannot let them win! It\xc2\x92s us versus them!'
Chandler	 Ye-e-es!!'
Joey	 (entering) Hey.'
All	 Hey. '
Joey	 Uh, listen I gotta double check for tickets tonight. Who-who got what?'
Chandler, Phoebe, and Rachel	 I had one.'
Monica	 I need two. I\xc2\x92m bringing Pete. My boyfriend. I have a boyfriend\nnow!'
Joey	 Two it is. Ross, how about you?'
Ross	 Uh, yeah, I ah, I also need two.'
Monica	 Really? Who\xc2\x92s number two?'
Chandler	 Who\xc2\x92s number two? One of the more difficult games sewer workers\nplay.'
Ross	 Uh, no, it\xc2\x92s-it\xc2\x92s just this person.'
Phoebe	 Like a date type (looks at Rachel) person?'
Ross	 Yeah, kinda. It\xc2\x92s this woman from work. I hope that won\xc2\x92t be too\nweird. Will it, Rach?'
Rachel	 No. No, not at all, not at all. I actually was gonna bring someone\nmyself, so\xc2\x85'
Joey	 But you said one.'
Rachel	 I meant, me plus one!'
Joey	 Okay. (to Phoebe and Chandler) Did ah, you guys mean you plus one?'
Ross	 All right, I\xc2\x92ll see you tonight.'
Joey	 Okay.'
Rachel	 Okay, bye-bye!'
Chandler	 Bye!'
Monica	 Bye-bye!'
Rachel	 Okay, I need a date! (runs to her bedroom)'
Joey	 Oh, hey, you guys are finally gonna get to meet Kate!'
All	 Oh!'
Joey	 (to Chandler) And I ah, borrowed some of your cologne. I hope she likes\nit.'
Monica	 Joey, what are you doing?! It\xc2\x92s never gonna happen, she\xc2\x92s\nseeing somebody.'
Chandler	 Yeah, and I don\xc2\x92t have any cologne.'
Joey	 The green bottle next to the shaving cream.'
Chandler	 Oh! Worm medicine for the duck.'

Monica	 (to Phoebe) Here you go. You can wear this. (hands her a sweater)'
Phoebe	 Thanks!'
Monica	 Uh-huh.'
Phoebe	 Okay. (on phone) Ooh, I\xc2\x92m setting the phone down. (does so) But\nI\xc2\x92m still here! Just don\xc2\x92t go anywhere I\xc2\x92m still here. (starts to put on\nthe sweater) Don\xc2\x92t-don\xc2\x92t switch or anything, \xc2\x91cause I\xc2\x92m, I\xc2\x92m\nright here. (She has pulled the sweater over her head, but her head is stuck in a sleeve.)\nJust one sec. One sec! One second!! (She is now frantically trying to get the sweater on,\nas Monica returns from the bathroom.) Wait! One second! Just\xc2\x85'
Monica	 Phoebe?'
Phoebe	 What?! Monica, I\xc2\x92m scared!!'
Monica	 All right. Honey, that\xc2\x92s-that\xc2\x92s a sleeve. Okay? '
Phoebe	 Yeah.'
Monica	 And! We also have speaker phone. (She turns on the speaker phone.)'
Hold Voice	 Please, stay on the line. Your call is important to us.'
Monica	 Okay, wait, you gotta hang up \xc2\x91cause we\xc2\x92re gonna be late.'
Hold Voice	 Thank you for your patience, you\xc2\x92re the next caller.'
Phoebe	 Yes!! Yes!! I\xc2\x92m the next caller! You were gonna have me hang up.'
Chandler	 (entering, carrying the chick and duck) Hey! Can you take a duck and a\nchick to the theatre? '
Monica	 Of course not.'
Phoebe	 No.'
Chandler	 Okay. I just wanted them to hear it from somebody else.'
Ross	 Hey, hey Rach!'
Rachel	 Oh, hi!'
Ross	 Hi!'
Rachel	 How are you? (She goes to kiss him on the cheek, but stops because of\nthe dates and pats him on the shoulder.)'
Ross	 Good.'
Rachel	 Hey.'
Ross	 So it\xc2\x92s looks like we\xc2\x92re the first ones here.'
Rachel	 Yeah, looks that way. First ones here! Wooo!!'
Ross	 Yay!!'
Rachel	 Oh! Tommy, this is Ross. Ross, Tommy.'
Tommy	 Hey.'
Ross	 Hey. Oh, I\xc2\x92m sorry, this is Cailin.'
Ross	 And! Break!!'
Rachel	 Okay, uhh, I think I\xc2\x92m going to run to the ladies room.'
Tommy	 Okay.'
Cailin	 I\xc2\x92ll join you.'
Tommy	 I\xc2\x92ll get our seats.'
Ross	 Okay. (The girls leave.) (to Tommy) So uh, well, this-this is uh, this is\nawkward.'
Tommy	 Yeah?'
Ross	 Well y'know \xc2\x91cause Rachel and I used to go out."
Tommy	 Oh, I didn\xc2\x92t, I didn\xc2\x92t know that.'
Ross	 Oh! Well then this is awkward. So what do you uh\xc2\x85'
Tommy	 I think we\xc2\x92re here.'
Ross	 Oh! Yeah. '
Tommy	 Yeah.'
Ross	 Okay. (sees two people sitting in their seats.) Uh, huh. Excuse me,\nI\xc2\x92m sorry, I-I think you may be in our seats.'
Man	 Umm, no, I don\xc2\x92t think so.'
Tommy	 Can-can we take a look at your ticket?'
Man	 Sure. (Hands him the ticket.)'
Ross	 (looking at ticket) Yep! Yeah, see this says D-13, and uh\xc2\x85'
Man	 Oh, well I thought that ah\xc2\x85'
Tommy	 Oh, you thought, huh? Yeah, well that didn\xc2\x92t really work out too\nwell for you did it you idiot!! What are you?! A moron!! Huh?! It says D-13! Okay?!\nLook you\xc2\x92re surrounded by even numbers!! Did that give you some clue?!'
Man	 Uh, the usher told us to come\xc2\x85'
Tommy	 Oh! Oh! The usher must be right! What, with all that training they go\nthrough! Get out!! (They start to leave.) Here! (He throws him back his ticket.) (to Ross,\ncalmly) Hey man, you want the aisle?'
Ross	 No, I\xc2\x92m good. (He sits down, stunned.)'
Chandler	 (seeing Joey) There he is!'
Monica	 There\xc2\x92s our star!'
Joey	 So, so, what\xc2\x92d ya think?'
Chandler	 Almost as good as that play with the two naked girls on the see-saw.'
Joey	 I-I wasn\xc2\x92t in that.'
Chandler	 I know.'
Joey	 (sees Kate) Oh-oh, hey-hey, Kate! Listen I want you to meet everybody.\nEverybody, this is Kate.'
Monica	 Hi!'
The Director	 (stepping in) Excuse me. Excuse me. (to Kate) Sweetheart! (Kisses\nher.) Come! (They leave.)'
Chandler	 So that\xc2\x92s the girl you like.'
Joey	 Yeah.'
Ross	 (drags Chandler over to buffet table) I\xc2\x92m telling you, this guy\nRachel is with is crazy! Okay? He viscously screamed at total strangers! I think he\xc2\x92s\nbaaad news!'
Chandler	 Wait a minute, wait a minute, you don\xc2\x92t like the guy\nRachel\xc2\x92s dating? Well, that\xc2\x92s odd.'
Joey	 Oh, hey, Lauren. Uh, you guys this is, this is Kate\xc2\x92s understudy,\nLauren.'
Rachel	 Oh, hi!'
Lauren	 Hey.'
Rachel	 Hey. Gosh, you look soo familiar.'
Lauren	 Oh, yeah! I-I ran into you in the hallway in your building. It was right\nafter I slept with Joey. He dumped me the next day.'
