Joey	 Hey, wouldn't be cool if our duck and chick had a little baby? We could\ncall it Chuck."
Chandler	 Or... Dick.'
Ross	 (entering) Hey.'
Chandler and Joey	 Hey.'
Ross	 Listen, I-I need a favor. Umm, I was in the shower, and as I was cleansing\nmyself, I ah, I-I, well I felt something.'
Chandler	 Was it like a sneeze only better?'
Ross	 No, no, I mean, I mean a thing on my body.'
Joey	 (with a disgusted look) What was it?'
Ross	 Well, I don't know, it's-it's kinda in a place that's not... It's not\nvisually accessible to me, and I was hoping maybe you guys could-could help me out.\n(starts to take off his pants)"
Chandler and Joey	 Whoa!!!'
Chandler	 No!!'
Ross	 Come on you guys, it's no big deal! (He turns around and shows him his\nthing.)"
Chandler	 Whoa-heeeiiiiii-iiiii-ah!! (sees it) Huh.'
Ross	 Well what is it? Is it a mole? (He moves closer to them, and they jump\nback.)'
Joey	 No, it's too wrinkly to be a mole."
Ross	 Well, eww. What? Is it a pimple?'
Chandler	 No, it's... fancier than a pimple. Look Ross, why don't you just go\nsee a\xc2\x85 "
Rachel	 (entering, interrupting them) Hey guys! What's... (sees what they're\ndoing and stops, the guys are stunned)"
Chandler	 Okay, well, it's definite, two more weeks of winter."
Ross	 Ahhh.'
Joey	 Yeah, right.'

Phoebe	 (to her date) Okay, and then this is the coffee house. This is where I\nplay my music. (points to the stage)'
Vince	 Good deal.'
Phoebe	 Yeah, and these are my friends. People. This is Vince, Vince the people.'
Rachel	 Hi!'
Chandler	 Hey!'
Vince	 Hey!'
Phoebe	 Vince is a fireman.'
Rachel	 Wow! Have you ever rescued anyone from a burning building before?'
Vince	 98 hot saves, highest in the force.'
Chandler	 Well, y'know if Joey and I played with matches we could get you up to\nan even hundred. "
Vince	 (dead serious) Fire safety is not a joke, son.'
Chandler	 You're right, I know."
Vince	 (to Phoebe) Look, I gotta go. I'm on call tonight. (kisses her) See you\nSaturday. (leaves)"
Phoebe	 Okay. (watches him leave)'
Rachel	 Wow, he's cute, Pheebs! But I thought you just started dating that\nKindergarten teacher."
Phoebe	 Oh, Jason? Yeah, uh-huh, we're seeing each other tonight."
Rachel	 What-Pheebs?! Two dates in one day? That's so unlike you."
Phoebe	 I know, I know! I'm like playing the field. Y'know? Like, juggling two\nguys, I'm sowing my wild oats. Y'know? Y'know, this kind've like y'know oat-sowin',\nfield-playin' juggler."
Joey	 So Pheebs, do they know about each other?'
Phoebe	 Does a dog's lips move when he reads? (Joey makes an `I don't know'\nface, and looks to Chandler and Rachel, who're also stumped) Okay, no they don't."
Ross	 (entering) Hey guys!'
Joey	 Hey.'
Rachel	 Hi!'
Joey	 (going over to him) Well?!'
Chandler	 (joining them) Okay, how'd it go at the doctor's?"
Ross	 Well, he said there's definitely nothing to worry about, it's totally\nbenign."
Joey	 Well what is it?!'
Ross	 He couldn't even tell me! He said it was just some sort of skin...\nabnormality. And the worst thing is he-he-he said, he said, without being able to identify\nit, he was reluctant to remove it."
Chandler	 Y'know what? You should go to my guy, because when I went in there\nwith my third nipple. He just lopped it right off. Y'know? So I guess I'm lucky. I mean\nnot as lucky as people who were born with two nipples."
Ross	 At least they knew what yours was. Y'know, yours had a name."
Joey	 Oh! Maybe they\'ll name yours after you! Y\'know, they\'ll call it, The Ross.\nAnd then people would be like, "Awww, he\'s got a Ross."'
Ross	 (sarcastic) Yeah, that'd be cool!"
Monica	 Pete's breaking up with me."
All	 What?!'
Monica	 I just checked my messages, and he said that when he gets back from\nAtlanta, we need to talk.'
Rachel	 And?'
Monica	 Well that's it. People never say `We need to talk' unless it's something\nbad."
Joey	 Whoa, that doesn't necessarily mean that he's breaking up with you."
Monica	 Really?!'
Joey	 Yeah, maybe he just cheated on you.'
Jason	 ...and I know I'll never miss doing it, but I gotta tell you, it's pretty\ncool knowing that you're making a difference in a kid's life."
Phoebe	 That is so great! Oh, I... (sees that a parked car near them has caught\non fire) Oh my God!'
Jason	 Whoa!'
Phoebe	 (the fire has worsened) Oh my God!!!'
Jason	 Ahh-ahh, we'd better call the fire department!"
Phoebe	 (stopping him) No! No! '
Jason	 No, no?'
Phoebe	 Well, we don't n-n-n-n-need a fireman, we'd, we'd like a good mechanic.\n(hears the sound of approaching sirens) Oh my God, here they come! Well, we gotta get out\nof here!"
Jason	 W-w-w-wait! Why?!'
Phoebe	 Well look, if I wanted to see a fireman, I would date one. Okay? (she\ndrags him away)'
Ross	 Th-th-that's all it is, a third nipple. Y'know? Just your run-of-the-mill\nthird nipple. Y'know? You can take it off. Just slice that baby right off!"
Dr. Rhodes	 Take your shirt off, and let's see what we're dealing with here.\n(Ross starts to take off his pants) What are you doing?"
Ross	 Just showing you my run-of-the-mill-slice-it-right-off third nipple.'
Dr. Rhodes	 Well that's not a third nipple."
Ross	 No?'
Dr. Rhodes	 First of all, it's on your ass."
Ross	 Well then, what is it?!'
Dr. Rhodes	 Wait a minute, hold it. (He goes to the door and opens it.) Johnson!\nWill you come in here a moment?'
Dr. Johnson	 I'm with Hamilton!"
Dr. Rhodes	 He's good with rear things, bring him in too."
Monica	 (starting to get up) I gotta go water Pete's plants. (stops) Y'know\nwhat, if he's gonna break up with me, maybe I won't water his plants."
Chandler	 Well, if he's gonna break up with you, maybe Joey and I should water\nhis plants. If y'know what I mean."
Joey	 Or ha-ha, we could go over there and pee on them.'
Phoebe	 (entering with Rachel) \xc2\x85and I-I can't take it! Y'know? I'm just,\nalways afraid one of them is gonna catch me with the other one. It's making me crazy."
Rachel	 Well honey, then why don't you break up with one of them?"
Phoebe	 (disgusted) Uh.'
Joey	 Whoa-whoa-whoa. What ah, what happened to playing the field?'
Phoebe	 Well, it just, it doesn't feel like playing anymore, it feels like work.\nIt's like I'm working in the field."
Rachel	 So Pheebs, pick one of them.'
Monica	 Yeah. Which one do you like more?'
Phoebe	 Well, Vince is great, y'know `cause, he's like a guy, guy. Y'know? He's\nso burly, he's sooo very burly. (giggles)"
Joey	 Okay, good, so there you go. Go with Vince.'
Phoebe	 Yeah, but Jason's really sensitive."
Chandler	 Well sensitive is important, pick him.'
Phoebe	 Yeah.'
Joey	 Oh sure, go with the sissy.'
Phoebe	 Jason is not a sissy!'
Joey	 Oh no-no-no-no, I meant Chandler.'
Ross	 Y'know I have dinner plans!!"
