Chandler	 Do you think that there\xc2\x92s a town in Missouri or some place called\nSample? And ah, as you\xc2\x92re driving into town there\xc2\x92s-there\xc2\x92s like a sign,\nand it says \xc2\x93You\xc2\x92re in Sample.\xc2\x94 (He says it like urine sample.)'
Monica	 (entering) Hey.'
All	 Hey! '
Rachel	 How\xc2\x92d it go with Pete?!'
Joey	 Tell us!'
Monica	 You\xc2\x92re not gonna believe this. Okay, so I go over...'

Billy Crystal	 I\xc2\x92m sorry. Ex-excuse us. I\xc2\x92m sorry, it\xc2\x92s a little\ncrowded. Do you mind if we... (motions to the couch)'
Robin Williams	 Yeah, could you scooch?'
Billy	 Yeah, move over just a little bit. '
Robin	 Keep on scooching.'
Monica	 So guys, listen, I go over there, and umm...'
Robin	 Why? Why?! What\xc2\x92s wrong with me?!'
Billy	 What\xc2\x92s the matter?'
Robin	 I have a feelin\xc2\x92... I, my wife is sleeping with her gynaecologist.'
Billy	 How do you know?'
Robin	 Well y'know, he\xc2\x92s got access."
Billy	 Yeah.'
Robin	 Y'know it\xc2\x92s that feeling you get, y'know?"
Billy	 Like when you go bowling and you know you\xc2\x92re in somebody else\xc2\x92s\nshoes?'
Robin	 That\xc2\x92s the one.'
Phoebe	 All right, so, so you went to Pete\xc2\x92s...'
Ross	 What happened?'
Monica	 (Robin is speaking loudly again) I...'
Robin	 Why is this happening to me?! I don\xc2\x92t know, maybe it\xc2\x92s my\nwound.'
Monica	 Forget it. (they all turn and listen to Billy and Robin)'
Billy	 So it\xc2\x92s-it\xc2\x92s not heeled yet?'
Robin	 No-no, it\xc2\x92s ooozing, oozing. (to Rachel) Could you pass me the\ncream? Is there any\xc2\x97Oh, there\xc2\x92s the cream.'
Billy	 Thomas, this is gonna be hard, but I wanted it to come from me, and\nnobody else.'
Robin	 What is it, Tim?'
Billy	 It\xc2\x92s me, I\xc2\x92ve been sleeping with your wife.'
Joey	 (to Billy) So you\xc2\x92re the gynaecologist?'
Billy	 (to Joey) Hey, I\xc2\x92m trying to have a private conversation! Is that\nokay?!'
Robin	 (starting to cry) Ooh, (to Rachel) Can I have a napkin, please? Could you\nplease hand me a napkin? (Rachel tries to grab one, but is to slow for his tastes.) Would\nyou--Give me this thing (grabs the napkin holder from her.) all right!! Enough! (to Billy)\nAnd you are no longer my friend! We are finished! (gets up to leave) Nada!! No more! You\nare a bastard for doing this!! (Billy follows him) Get away from me!!'
Billy	 Thomas, come back here! (they both leave)'
Phoebe	 So Monica, what were you gonna tell us?'
Monica	 (pause) I have no idea.'

Rachel	 So, come on, what was the big news Pete wanted to tell you Mon?! Or\nshould I say Mrs. Monica Becker?'
Phoebe	 No-no-no oh, keep your name, don\xc2\x92t take his name.'
Monica	 He didn\xc2\x92t ask me to marry him.'
All	 Ohh.'
Phoebe	 Well then definately don\xc2\x92t take his name.'
Monica	 He wanted to tell me he\xc2\x92s gonna compete is some ultimate fighting\ncompetition thingy.'
The Guys	 Pete?!'
Rachel	 Why?! What is it?'
Monica	 I don\xc2\x92t know exactly. It\xc2\x92s-it\xc2\x92s sorta like wrestling.'
Phoebe	 (intrigued) Oh?!'
Monica	 Yeah, but without the costumes.'
Phoebe	 (disappointed) Oh.'
Joey	 And it\xc2\x92s not fake, it\xc2\x92s totally brutal.'
Chandler	 Yeah, it\xc2\x92s two guys in a ring, and the rules are
Monica	 So you can like, bite, and pull people\xc2\x92s hair and stuff?'
Ross	 Yeah, anything goes, except ah, eye gouging and fish hooking.'
Monica	 What\xc2\x92s fish hooking?'
Ross	 Huh, what\xc2\x92s fish hooking... (Joey sticks his finger in Ross\xc2\x92s\nmouth and pulls on his cheek, y'know like when you hook a fish.) (to Joey, sarcastic)\nThanks man, that would have been really hard to describe. What is that taste?"
Joey	 What? My hands are totally clean, I just gave the duck a bath.'
Doug	 So thanks for the warm welcome. It\xc2\x92s good to have you guys on my\nteam, and I come to play. I hope you do too. Now, let\xc2\x92s go out there and get\n\xc2\x91em! Huh? And remember, there is no \xc2\x91I\xc2\x92 in team.'
Chandler	 Yes, but there\xc2\x92s two in martini, soo everybody back to my\noffice.'
Doug	 (to Chandler) You! Chuckles! What\xc2\x92s your name?'
Chandler	 Oh it\xc2\x92s Bing, sir. I\xc2\x92m sorry , I was just ah...'
Doug	 No-no, I heard what you said, funny. I like funny. (Chandler starts to\nleave) This team is about hard work, but it\xc2\x92s also about having fun. Good to have you\naboard Bing! (smacks him on the butt, and Chandler leaves shocked.)'
Ross	 (on phone) That\xc2\x92s right, Ryder. Wynona Ryder for six. (listens) Thank\nyou. (hangs up) (to the gang) Yeah, we have the reservations.'
Rachel	 Yes!!'
Chandler	 All right buddy, way to go! (smacks him on the butt)'
Ross	 (stunned) Dude, what are you doing?'
Chandler	 Thank you! Today, my boss keep slapping my butt and he was acting like\nit was no big deal.'
Phoebe	 Yeesh, what\xc2\x92d you do about it?'
Chandler	 Well, I didn\xc2\x92t do anything. I didn\xc2\x92t want to be the guy who\nhas a problem with his boss slapping his bottom.'
Monica	 I gotta tell ya, I think it\xc2\x92s okay to be that guy.'
Joey	 Yeah, maybe it\xc2\x92s like y'know, that jock thing. Y'know how football\nplayers pat each other after touchdowns. (pats Ross on the butt) "
Rachel	 Y'know I don\xc2\x92t, I don\xc2\x92t understand guys, I mean I-I would\nnever congratulate Monica on a great stew by y'know, grabbin\xc2\x92 her boob."
Chandler	 Yeah, I know, for a really great stew you just y'know, stick your head\nin between \xc2\x91em."
Monica	 Okay, can we please go eat?'
Joey	 Yeah. What are we getting?'
Monica	 (to Chandler) Anything but stew.'
Ross	 All right so, Chandler, from now on, don\xc2\x92t give your boss a chance to\nget you. Y'know just ah, don\xc2\x92t turn your back to him."
Joey	 Yeah, or you can teach him a lesson. Y'know? What you could do is you\ncould rub something that really smells on your butt, all right? Then, when he goes to\nsmack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that\nwould smell bad?"
Chandler	 (to Ross and Monica) What if Joey were president?'
Phoebe	 Umm, hey Rach, can I ask you something?'
Rachel	 Yeah.'
Phoebe	 Okay, you can totally say no, but umm, would it be okay with you if I\nset Ross up on a date?'
Rachel	 Oh, ah with who?'
Phoebe	 Umm, my friend, Bonnie. She just always thought Ross was really cute,\nand now that you two aren\xc2\x92t together, she asked if I could set it up, but if\nyou\xc2\x92re not cool with it...'
Rachel	 Oh-oh-oh, which one is Bonnie again?'
Phoebe	 You remember her from my birthday party two years ago. She\xc2\x92s yeah,\nlike, average height, medium build, bald...'
Rachel	 Oh! (laughs) That\xc2\x92s fine.'
Phoebe	 Great! Okay, good for you! (as they leave she slaps Rachel on the butt)'
Hoshi	 You are iron. You are steel! Let me ask you something, how come when I\ncall your computer support line, I have to wait an hour and a half?'
Pete	 I told you, we\xc2\x92re adding new operators all the time. Could we\nconcentrate on my training?'
Hoshi	 It\xc2\x92s just hard when I know I have e-mail I can\xc2\x92t get! '
Monica	 (entering) Hi!'
Pete	 Monica! (runs over and kisses her) Hi honey.'
Hoshi	 All right, on the table. (Pete gets on the table for his rubdown)'
Monica	 Hey, umm, so listen umm, my friends were telling me a little about this\nah, ultimate fighting thing and it, well it sounds really dangerous. I-I don\xc2\x92t want\nyou to get hurt, \xc2\x91cause I kinda like you.'
Pete	 Oh, believe me, I don\xc2\x92t want to get hurt either. I\xc2\x92m being smart\nabout this. See these guys? They\xc2\x92re the best trainers in the world, and Hoshi here\nused to be a paid assassin. (Hoshi yells at him in Chinese) A house painter! He used to be\na house painter.'
Monica	 Promise me you\xc2\x92ll be careful.'
Pete	 I promise.'
Monica	 Hey, are we still on for tonight?'
Pete	 Yeah.'
Monica	 Okay, good, \xc2\x91cause umm, well maybe we could have a little workout\nof our own...'
Hoshi	 No! No boom-boom before big fight!'
Monica	 How \xc2\x91bout just a boom?'
Rachel	 (to Phoebe) Well that was depressing, I think I just bought a soft\npretzel from one of the kids from Fame. Ready to go to the movies?'
Phoebe	 Um-hmm. Oh wait! This is Bonnie. (who has hair by the way)'
Bonnie	 Hi!'
Rachel	 This is Bonnie? (to Phoebe) This is Bonnie? (to Bonnie) You\xc2\x92re\nBonnie?'
Bonnie	 I can show you an ID if you want?'
Rachel	 Oh no, I\xc2\x92m sorry, you look a lot different from the last time I-I\nsaw you.'
Bonnie	 Oh yeah, well I just started wearing bras again.'
Rachel	 Oh, that must be it.'
Phoebe	 (to Bonnie) Well I hope you have fun tonight.'
Bonnie	 Thanks! You too.'
Rachel	 (to Phoebe) You said she was bald.'
Phoebe	 Yeah, she was bald, she\xc2\x92s not now.'
Rachel	 How could you not tell me that she has hair?'
Phoebe	 I don\xc2\x92t know, I hardly ever say that about people.'
Rachel	 (looks in the window) Ohh, well, this is just perfect!'
Phoebe	 Well I\xc2\x92m sorry, I thought you said it was okay.'
Rachel	 Yeah, I said what was okay when I thought she was some weird bald chick.\nI mean, y'know, that girl has hair got all over head!"
Phoebe	 Well, maybe it won\xc2\x92t work out. Maybe Ross won\xc2\x92t like her\npersonality.'
Rachel	 Why, does she have a bad personality?'
Phoebe	 Oh no, Bonnie\xc2\x92s the best!'
Doug	 Bing! (Chandler stands bolt upright and turns around to face him.) Read\nyour Computech proposal, a real homerun. (He goes to slap his butt, but Chandler slides\nover making him miss.) Ooh. Barely got ya that time, get over here. Come on. (Chandler\ngoes over) Wham! (slaps him on the butt) Good one. That was a good one. (to a couple of\nChandler\xc2\x92s co-workers) Keep at it team. (goes into his office)'
Chandler	 (to his co-workers) What is with him?'
Phil	 With him? You\xc2\x92re is favourite, you\xc2\x92re his guy!'
Stevens	 We never get smacked.'
Chandler	 Well, that\xc2\x92s not true, he-he smacked you once.'
Phil	 Not on purpose, he ricocheted of you and got me.'
