Joey	 (lying on a beach towel, recapping what happened in the last episode)\nOkay, so we went to the beach, because Phoebe found out about this lady who knew her mom\nand dad, and I don\xc2\x92t really know what happened with that.'
Phoebe Sr.	 (to Phoebe) I\xc2\x92m your mother.'
Phoebe	 Ehh?'
Joey	 (voice-over) Oh, and then Monica joked that she wouldn\xc2\x92t go out with\na guy like Chandler...'
Chandler	 (to Monica) (in a funny voice) Hi there. (Monica turns her head away\nin disgust)'
Joey	 (voice-over) ...and he couldn\xc2\x92t let it go, and... I don\xc2\x92t really\nknow what happened with that either. '
Joey	 (voice-over) Oh-oh! And then Ross\xc2\x92s new girlfriend, Bonnie, shows up\nand Rachel convinced her to save her head. And then Ross and Rachel kiss, and now Ross has\nto choose between Rachel and the bald girl and I don\xc2\x92t know what happened there\neither... '
Joey	 Y'know what, hold on, let me go get Chandler. (gets up and leaves.)"
Ross	 (surprised) Hi!'
Rachel and Bonnie	 Hi!'
Bonnie	 Rachel was just helping me out. My head got all sunburned.'
Ross	 Awww.'
Bonnie	 (to Rachel) Thanks a million.'
Rachel	 Oh, you\xc2\x92re welcome a million.'
Bonnie	 (getting up and leaving) (to Ross) Okay, I\xc2\x92ll see you in our room.'
Ross	 Yeah. (closes the door, and goes over and kisses Rachel.)'
Rachel	 (softly) Oh my God.'
Ross	 I know.'
Ross	 (stopping suddenly and getting up) Okay, I gotta go.'
Rachel	 Whoa! What?! Why?!'
Ross	 Well, I-I gotta go break up with Bonnie.'
Rachel	 Here?! Now?!'
Ross	 Well, yeah. I can\xc2\x92t-I can\xc2\x92t stay here all night, and if I go in\nthere she\xc2\x92s-she\xc2\x92s gonna wanna... do stuff.'
Rachel	 Well, can\xc2\x92t you tell her that you are not in the mood?'
Ross	 No, she likes that. Yeah. Faking sleep doesn\xc2\x92t work either, I\ncan\xc2\x92t tell you how many mornings I woke up with her...'
Rachel	 (interrupting) Whoa-ho.'
Ross	 Whoa-oh, okay! Yeah, why am I telling you that?'
Rachel	 I don\xc2\x92t know.'
Ross	 Yeah, yeah. (opens the door) It wasn\xc2\x92t every morning.'
Rachel	 Oh, making it worse!'
Ross	 Okay.'

Phoebe Sr.	 So I guess you\xc2\x92d like to know how it all happened. '
Phoebe	 I-I mean I, well I think I can figure it out. I guess y'know I was born,\nand everyone started lying their asses off!"
Phoebe Sr.	 Noo! No! It wasn\xc2\x92t like that I... Remember how I told you how\nLily, Frank, and I we were, we were close. Well, we were, we were very close.'
Phoebe	 How close?'
Phoebe Sr.	 Well, the-the three of us we were, kind of umm, a couple.'
Phoebe	 I don\xc2\x92t even know how that would work!'
Phoebe Sr.	 Well, we were...'
Phoebe	 (interrupting) I\xc2\x92m not asking!'
Phoebe Sr.	 Well, any how, some how I got pregnant, and, and I was scared. I was\nstupid and sellfish, and I was 18 years old. I mean, you remember what it\xc2\x92s like to\nbe eighteen years old?'
Phoebe	 Yeah. Let\xc2\x92s see, my had Mom killed herself, and my Dad had run off,\nand I was living in a Gremlin with a guy named Cindy who talked to his hand.'
Phoebe Sr.	 Well, I\xc2\x92m so sorry. I thought I was leaving you with the best\nparents in the world, I didn\xc2\x92t even hear about your Mom and Dad til a couple of years\nago, and by then you were already grown up. I don\xc2\x92t know, you\xc2\x92re here, and I\nwould, I would really, I would like to get to know you.'
Phoebe	 Yeah, well, everybody does! I\xc2\x92m a really cool person. And y'know\nyou had 29 years to find that out, but you didn\xc2\x92t even try! Y'know what, you walked\nout on me, and I\xc2\x92m just, I\xc2\x92m gonna do the same thing to you."
Phoebe Sr.	 Wait!'
Phoebe	 I don\xc2\x92t ever want to see you again! '
Phoebe	 (walking back in with her hand over her eyes.) Umm, where\xc2\x92s my\npurse?'
Monica	 (closing the fridge in disgust) Shoot! We\xc2\x92re out of soda.'
Chandler	 (jumping up) Oh, I\xc2\x92ll go out and get you some.'
Monica	 Really?!'
Chandler	 Nope! Because I\xc2\x92m not your boyfriend. (to Phoebe, who\xc2\x92s\nentering) Hey Pheebs, how did it go?'
Phoebe	 Well, umm, my Mom\xc2\x92s friend, Phoebe, is actually my birth Mom.'
Chandler	 I found a dried up seashores.'
Monica	 Sweety, what are you talking about?'
Phoebe	 Oh, my new Mom, who-who\xc2\x92s a big, fat abandoner! (starts to go\nupstairs)'
Joey	 Whoa, wait, Pheebs, wait a second! Don\xc2\x92t you wanna stay here and talk\nabout it?'
Phoebe	 No. I\xc2\x92m just, I wanna, I need to be alone.'
Phoebe	 (turning around, insistently) Monica!'
Monica	 Oh.'
Ross	 It\xc2\x92s over.'
Rachel	 Oh, was it awful?'
Ross	 Well, it was loong. I didn\xc2\x92t even realise how late it was, until I\nnoticed the 5 o\xc2\x92clock shadow on her head. (They both start to laugh, then stop\nthemselves quickly.) Anyway, she didn\xc2\x92t want to stay. I called a cab; she just left.'
Rachel	 I wrote you a letter.'
Ross	 Ohh! Thank you! I like mail. (He goes to kiss her again, but she turns\naway.)'
Rachel	 (handing him the letter) It\xc2\x92s just some things I\xc2\x92ve been\nthinking about. Some things about us, and before we can even think about the two of us\ngetting back together, I just need to know how you feel about this stuff.'
Ross	 Okay. (He leans in to kiss her again, but she leans back preventing him\nfrom making contact.) Wow, it\xc2\x92s-it\xc2\x92s 5
Rachel	 Well, I\xc2\x92ll be waiting for you, just come up when you\xc2\x92re done.'
Ross	 Okay, I\xc2\x92ll be up in, (looks at the letter) 18 pages. Front and back.\nVery exciting.'
Ross	 Oh. (looks at his watch) Oh-oh. (takes a drink of coffee and resumes\nreading the letter)'
Rachel	 (coming down the stairs) Hey! (Ross jumps up, and quickly puts the\nletter back together, pretending like he has just finished it.) What happened to you? Why\ndidn\xc2\x92t you come up?'
Ross	 Done!'
Rachel	 You just finished?'
Ross	 Well, I wanted to be thorough. I mean this-this is clearly very, very\nimportant to you, to us! And so I wanted to read every word carefully, twice!'
Rachel	 So umm, does it?'
Ross	 I\xc2\x92m sorry.'
Rachel	 Does it?'
