Chandler	 Wow! That ripped! That ripped real nice!'
Joey	 How many times do I have to tell you! Ya, turn and sliiiide! Y'know, turn\nand slide."
Chandler	 You don\xc2\x92t turn and slide, you throw it out! I\xc2\x92m tired of\nhaving to get a tetanus shot every time I get dressed!'
Joey	 Look, we\xc2\x92re not throwing it out! I built this thing with my own\nhands!'
Chandler	 All right, how about we, how \xc2\x91bout we sell it.'
Joey	 All right. But, you\xc2\x92re gonna have to tell them. (He opens the cabinet\nto reveal the chick and the duck living inside with Christmas lights and a disco ball as\ndecorations.)'
Chandler	 (nods his head) Do you mind if we stick you in another cabinet? (to\nJoey) They seem all right with it!'

Chip	 (on machine) Hey Monica, it\xc2\x92s Chip.'
Monica	 Yesss!!'
Ross	 Who\xc2\x92s Chip?'
Monica	 Shhh!'
Chip	 (on machine) Good runnin\xc2\x92 into you at the bank today, so ah,\nhere\xc2\x92s my number, 555-9323. Give me a call. Later.'
Monica	 Chip, is Chip Matthews.'
Ross	 The guy who took Rachel to the prom? Why is he calling you?'
Monica	 \xc2\x91Cause I ran into him at the bank, he is still soo cute.'
Ross	 Monica, you\xc2\x92re so lucky! He\xc2\x92s like the most popular guy in\nschool!!'
Monica	 I know!! (calls him) (on phone) Chip? Hi! It\xc2\x92s Monica. (listens)\n\xc2\x91Kay. (listens) \xc2\x91Kay. (listens) Okay. (listens) Okay, good-bye. (hangs up) Oh my\nGod, we just had the best conversation!! (goes into her room as Rachel enters)'
Ross	 (to Rachel) I was just leaving.'
Rachel	 Good! \xc2\x91Cause I\xc2\x92ve got a product report to read, it\xc2\x92s like\neight pages, I hope I don\xc2\x92t fall asleep.'
Ross	 Why? Did you write it?'
Rachel	 (sees Chip\xc2\x92s phone number) Wow! Look at that, Chip Matthews called.\nI wonder what he wants?'
Ross	 Well ah, actually...'
Rachel	 (interrupting) I bet he sensed that I was ready to have sex with another\nguy.'
Ross	 Well, umm, why don\xc2\x92t you give him a call?'
Rachel	 Okay. (picks up phone) Are you sure you wanna hear this?'
Ross	 Oh, I\xc2\x92m sure.'
Rachel	 (on phone) Chip! Hi, it\xc2\x92s Rachel. (listens) Rachel Green. Yeah,\numm, you left me a message. (listens) Yes you did, my roommate wrote it down. (listens)\nMonica Geller. (listens) Ohh.'
Ross	 (whispering in her ear) Oh, that\xc2\x92s right! He called to ask out\nMonica! That-that\xc2\x92s gotta be embarrassing! '
Phoebe	 (screaming, angrily) ...DUMB, DRUNKEN, BITCH!!! (applause) (happily)\nThank you, thanks.'
Ross	 (reading the newspaper) Hey, here\xc2\x92s a question; where did you guys\nget the finest oak East of the Mississippi?'
Chandler	 Uh-huh, first you tell us where you got the prettiest lace in all the\nland.'
Ross	 I\xc2\x92m reading your ad.'
Joey	 Looks good, uh?'
Ross	 Yeah.'
Chandler	 (reading the ad) Stunning entertainment center. Fine, (pause) fine\nItalian craftsmanship. (Joey is very proud of himself)'
Phoebe	 Oh my God, you guys are selling the entertainment center?'
Rachel	 Why? I love that thing.'
Chandler	 You want it?'
Phoebe and Rachel	 Oh no.'
Chandler	 Ahh, Gepeto, $5,000 dollars? Are you insane?'
Joey	 Hey, the ad alone cost 300 bucks!'
Chandler	 All right look, I\xc2\x92m changing it to 50 bucks, or your best offer.'
Joey	 What kind of profit is that?! And you call yourself an accountant.'
Chandler	 (looks at him) Nooo.'
Joey	 Oh. What do you do?'
Chandler	 I can\xc2\x92t believe you don\xc2\x92t know what I do for a living!'
Phoebe	 Yeah, I actually don\xc2\x92t know...'
Ross	 Good, so do I'
Rachel	 Something to do with numbers?'
Phoebe	 Oh my God! No! Shoo! Kitty! No! No-no-no! Shoo! Come on, you! (goes over\nand picks up the cat) Come on. Crazy. (looks into the cat\xc2\x92s eyes) Oh my God.'
Rachel	 What?'
Phoebe	 Nothing. Nothing.'
Joey	 What? What\xc2\x92s wrong?'
Phoebe	 I just, I just have this really strong feeling that this cat is my\nMother.'
Rachel	 You mean the mom you met in Montauk. She was a cat?!'
Phoebe	 No, no-no, she was a human lady. This is the spirit of my Mom\nLily, the one who killed herself.'
Ross	 Are you sure she\xc2\x92s in the cat, or have you been taking your\ngrandma\xc2\x92s glycoma medicine again?'
Phoebe	 No Dr. Skeptismo! I\xc2\x92m sure. First of all, okay, there\xc2\x92s the\nfeeling. (Chandler shrugs) Okay, and for another, how about the fact that she went into my\nguitar case which is lined with orange felt. (Rachel nods her head in unsure agreement) My\nMother\xc2\x92s favourite fish is Orange Roughy... (Joey thinks he understands, but then\nnods that he has no clue.) Cats....like....fish! (Ross and Rachel are totally lost) (to\nthe cat) Hi, Mommy. (Rachel covers her mouth, in an \xc2\x93Oh my God.\xc2\x94 gesture) Oh, I\nhaven\xc2\x92t seen this smile in 17 years!'
Joey	 (to Chandler) Dude, Phoebe\xc2\x92s mom has got a huge peni...'
Chandler	 (interrupting) Let it go!!'
Monica	 Hey!'
Rachel	 Umm, when were you gonna tell me that you\xc2\x92re going out with Chip\nMatthews?'
Monica	 Now? Is it okay if I go out with Chip Matthews?'
Rachel	 Nooo! It\xc2\x92s not okay! I can\xc2\x92t believe you would want to after\nwhat he did to me!'
Monica	 What, that little thing at the prom?'
Rachel	 Monica! I couldn\xc2\x92t find him for two hours! He was having sex with\nAmy Welch!'
Monica	 Come on, that was back in high school! How could that still bother you?'
Rachel	 I mean why, of all people would you want to go out with Chip?!'
Monica	 Look, you and I went to different high schools...'
Rachel	 Okay, that doesn\xc2\x92t help me, because we went to the same high\nschool.'
Monica	 You went to one where you were popular, and you got to ride off\nChip\xc2\x92s motorcycle, and wear his letterman jacket. I went to one where I wore a band\nuniform they had to have specially made.'
Rachel	 (shocked) They had to have that specially made?!'
Monica	 It was a project for one of the Home Ec classes.'
Rachel	 (stunned) Oh my God, they told us that was for the mascot!'
Monica	 Back then, I thought that I would never, ever get the chance to go out\nwith a Chip Matthews, and now he\xc2\x92s-he\xc2\x92s called me up and asked me out. And the\nfat girl inside of me really wants to go. I-I owe her this. I never let her eat.'
Rachel	 Oh, you go out with him. (goes over and hugs her) '
Monica	 Oh, really?!'
Rachel	 Yeah. Just, if it\xc2\x92s possible, could you leave him somewhere and go\nhave sex with another guy?'
Monica	 I\xc2\x92ll try.'
Ross	 So you guys having any luck getting rid of the entertainment center?'
Joey	 Well, there were a couple of calls last night, but ah, I don\xc2\x92t think\nany of them are gonna work out.'
Chandler	 Yes, Joey has a very careful screening process. Apparently, not\neveryone is qualified to own wood and nails.'
Phoebe	 (is struggling with the cat) Stop it! Stop it! She keeps squirming,\ntrying to get away! Just like when she was alive.'
Ross	 So Pheebs, how long is your mom gonna be with us?'
