Ross	 (picking up the slip of paper) Hello! What's this? Oh right its that\ngirl's phone number. (Rachel ignores him) Yeah-yeah, there it is, just a phone number a\nreally hot girl gave me. (He holds it so that Rachel can see it, she continues to ignore\nhim) It's no big deal, I mean it is her home phone number, but...(Rachel still ignores\nhim) Whoa! (Throws it in her lap) Whoa-whoops, I almost lost this baby! Yeah, the lovely\nAmanda gives me her number and I-I go and drop it. (He waves it in front of Rachel's face.\nThen suddenly Phoebe has to sneeze and Rachel quickly grabs the slip of paper and gives it\nto Phoebe for her to sneeze into.)"
Phoebe	 Thank you.'

Gunther	 Rachel?'
Rachel	 Yeah?'
Gunther	 When's your birthday?"
Rachel	 May fifth, why?'
Gunther	 Oh, I-I'm just making a list of people's birthdays."
Ross	 Oh, mine's December..."
Gunther	 Yeah, whatever. (Walks away)'
Chandler	 Ohh, she's pretty. Pretty ahh, pretty girl, the pretty--she's pretty."
Monica	 Just go up to her and ask her out. (Chandler laughs) Oh, what's the\nworst thing that could happen?"
Chandler	 I could die.'
Ross	 Yeah, it's-it's tough being single. That's why I'm so glad I found Amanda."
Rachel	 Ross, you guys went out once. You took your kids to Chucky Cheese,\nand you didn't even kiss her."
Chandler	 I tell people secrets. It makes them like me.'
Phoebe	 (entering) Oh.'
Chandler	 Hey! (Phoebe sneezes)'
Monica	 Phoebe! You're sick, you shouldn't play. You should just go home, get in\nbed, and stay there."
Phoebe	 (in a nasally voice, from her cold) But I'm unemployed, my music is all\nI really have now. Well music, and making my own shoes. (She puts her shoe on the table,\nand it's horribly decorated) Pretty, huh? (Sneezes)"
Chandler	 All right, I'm gonna do it! I'm gonna get shot down. Any advice?"
Monica	 Just be yourself. But, not too much.'
Chandler	 (gets up) (softly) Wish me luck.'
Ross	 (loudly) Good luck!'
Chandler	 Wish it! (To the woman, Kathy, he likes) Hi. Hi, I-I was just sitting\nover there, and uhh, Chandler. My name is Chandler. Did I say that?'
Kathy	 No, you didn't. Hi, I'm Kathy."
Chandler	 Uh Kathy, with K or a C?'
Kathy	 With a K.'
Chandler	 Oh-oh-hey!'
Kathy	 Wow! You are really good at this.'
Chandler	 Hey, come on, give me a break, I'm out on a limb here."
Kathy	 I'm sorry, you're right, I apologize, but I should tell you that I'm\nwaiting for a date. (Joey enters) Oh, and there he is now."
Joey	 Hey!'
Chandler	 Hey! Hey, hey-hey, hey. (Joey kisses Kathy.)'
Joey	 Hey, I see you guys already met, huh?'
Chandler	 Yes-yes, I was just trying to figure out a way to uh, demonstrate how\nI could get my exceptionally large feet into my even bigger mouth.'
Joey	 Didn't I tell ya? Always showin' off."
Phoebe	 Before I start, I just wanna say that umm, I have a cold, so if I sneeze\nin the middle of song, it's not on purpose. Oh, except the last verse of Pepper People.\n(Starts to sing) Smelly cat, smelly cat. What are they feeding you? (Stops\nsinging) This chick sounds good. (Singing) Smelly cat, smelly--(stops singing)\nHey Gunther, be a good little boy and bring me a whiskey."
Chandler	 (sees Kathy is up watching TV) Hi!'
Kathy	 Hi.'
Chandler	 Jeez, at 2
Kathy	 I'm sorry, it's just this Ernie Cofax thing on in a few minutes I wanted\nto watch."
Chandler	 Oh my God! That's why I got up too!"
Kathy	 You're kidding! Oh, I love him."
Chandler	 Hey, listen, I'm sorry about this afternoon, y'know, if I would've\nknown you guys were... I never would've..."
Kathy	 Oh please!'
Chandler	 So ah, Joey tells me you two met in acting class.'
Kathy	 Yeah, they teamed us up as partners. Joey picked three scenes for us to\ndo; all of them had us making out.'
Chandler	 That's a good thing actually, because ah, he used to have me rehearse\nwith him."
Kathy	 (laughs) Oh-oh-oh-oh!'
Chandler	 Is it on?'
Kathy	 No, but this wonder broom is amazing!'
Chandler	 Hey! (Runs over and gets his wonder broom)'
Kathy	 Oh my God!'
Chandler	 Oh! It's on! It's on!"
Chandler	 There we go little fella.'
Kathy	 (laughs) What about the duck?'
Chandler	 Well the duck can swim.'
Kathy	 Oh, jeez. (Hits him)'
Phoebe	 (singing, drunk) My sticky shoes, my sticky-sticky shoes, why do you\nstick on me, ba-a-by! Thanks for the lights honey. '
All	 Way to go, Phoebe!'
Monica	 That cold makes you sound so great.'
Phoebe	 It's fun, God I love how sexy I am. (Coughs really loudly.)"
Joey	 Oh, Kath, we should get going. We're going to by hamsters."
All	 Ooh, that's great, I love those little guys."
Kathy	 No, no, it's not like that. I, I work for a medical researcher."
Rachel	 Well, have fun!'
Kathy	 Okay.'
Phoebe	 Well, I think it's great that the medical community is finally trying to\nhelp sick hamsters."
Monica	 Y'know what, I like Kathy."
Chandler	 Oh yeah, me too, she's so cool and pretty."
Rachel	 Yeah, she's..."
Chandler	 She's smart and funny, y'know? We were up all last night talking, she\nsaid the funniest thing about--what? "
Rachel	 You love her.'
Chandler	 No, I don't."
Phoebe	 Yes, you do. Chandler loves Kathy.'
Ross	 Come on, Pheebs lay off him.'
Chandler	 Thank you, Ross.'
Ross	 Yeah, he's a little sensitive right now, `cause he's so in love."
Chandler	 All right.'
All	 Ohh!'
Chandler	 All right.'
Monica	 (turning around and doing that, "I\'m making out with someone,"\nthing with her hands) Ooh, umm, oh Kathy! Kathy, I love you! Oh! (She turns around and\nsees Gunther staring at her and stops suddenly.)'
Phoebe	 So, I need to write some depressing stuff to go along with my new floozy\nvoice, but nothing that sad has ever really happened to me.'
Monica	 Oh umm, how about your mom dying, or having to live on the streets when\nyou were 14?'
Phoebe	 Uh-huh. Oh, yeah, I could write about the time my hair did that\n"Woo-hoo" thing.'
Ross	 (entering) Hey!'
Monica	 Hey!'
Phoebe	 Hey.'
Ross	 (loudly) So I'm going over to Amanda's tonight!"
Monica	 Rachel's not here."
Ross	 Oh.'
