Chandler	 (entering in a bathrobe) I just walked in the bathroom and saw Kathy\nnaked! It was like torture!'
Ross	 Y'know if we ever go to war and you\xc2\x92re captured, you\xc2\x92re in for a\nbig surprise."
Chandler	 It just keeps getting worse and worse! Y'know? I mean it\xc2\x92s bad\nenough that I\xc2\x92m in love with my roommates girlfriend\xc2\x97which by the way, I think\nshe knows. Because every time we\xc2\x92re in the room together there\xc2\x92s this weird like\nenergy between us. And call me crazy, but I think she likes me too. And now I have seen\nher naked. I mean at least when I\xc2\x92ve seen her with clothes on, I could imagine her\nbody was like covered in boles or something. But there are no boles, she\xc2\x92s smooth!\nSmooth! (leaves)"
Phoebe	 Wow! Could everyone totally see up his robe?'
All	 Yeah! Oh my God!'

Casey	 Here you go.'
Joey	 Great! All right, so I\xc2\x92ll call you later.'
Casey	 Great! (leaves)'
Chandler	 (rushing up) Hey-Hey-Hey! Who was that?'
Joey	 That would be Casey. We\xc2\x92re going out tonight.'
Chandler	 Goin\xc2\x92 out, huh? Wow! Wow! (Does a little celebration dance) So\nthings didn\xc2\x92t work out with Kathy, huh? Bummer.'
Joey	 No, things are fine with Kathy. I\xc2\x92m having a late dinner with her\ntonight, right after my early dinner with Casey.'
Chandler	 (shocked) What?'
Joey	 Yeah-yeah. And the craziest thing is that I just ate a whole pizza by\nmyself! (Laughs)'
Chandler	 Wait! You\xc2\x92re going out with Kathy!'
Joey	 Yeah. Why are you getting so upset?'
Chandler	 Well, I\xc2\x92m upset\xc2\x97for you. I mean, having sex with an endless\nline of beautiful women must be very unfulfilling for you. (He can\xc2\x92t believe he just\nsad that.)'
Joey	 What is the big deal? It\xc2\x92s not like we\xc2\x92re exclusive.'
Chandler	 Look, Joey, Kathy is clearly not fulfilling your emotional needs. But\nCasey, I mean granted I only saw the back of her head, but I got this sense that\nshe\xc2\x92s-she\xc2\x92s smart, and funny, and gets you.'
Joey	 You got all that from the back of her head?'
Chandler	 All right look, I think it\xc2\x92s time for you to settle down. Y'know?\nMake a choice, pick a lane."
Joey	 Who\xc2\x92s Elaine?'
Phoebe	 (singing) "Little, tiny Tarzan, swinging on a nose hair.\nSwinging with the greatest of ease\xc2\x85" Darn it! Now, I don\xc2\x92t know who to\nget to the next verse.'
Ross	 Oh, you could just go uh, "greatest of ease\xc2\x85 (plays air\nguitar) BAH-bah-bha-bhannn." Then go right into it.'
Phoebe	 Yeah, ooh, I like that! Yeah. Wait! How do you know about\n\xc2\x91bah-bah-bha-bhan?\xc2\x92'
Ross	 Well umm, y\xc2\x92know, I used to play.'
Phoebe	 Oh yeah, that\xc2\x92s right, the keyboards, huh?'
Ross	 Yeah, just a little in high school, but then I really got into it in\ncollege. I mean that\xc2\x92s-that\xc2\x92s when I really found my sound.'
Monica	 Oh God! Orange juice just came out of my nose, but it was totally worth\nit. Oh my God, I completely forgot about your sound.'
Ross	 Yeah.'
Monica	 He used to lock himself in the basement for hours. No one was every\nallowed to hear, "The Sound."'
Phoebe	 I wanna hear "The Sound."'
Ross	 Really? No. I mean, nah, I haven\xc2\x92t played in so long, and-and, well\nit\xc2\x92s-it\xc2\x92s really personal stuff, y\xc2\x92know?'
Phoebe	 Come on, play that funky music white boy.'
Monica	 Yeah!'
Ross	 No, you guys, I mean my keyboards are all the way up in\xc2\x97No, yeah,\nokay. (Runs out.)'
Ross	 Okay, guys.'
Chandler	 All right! Bring it on, you\xc2\x85'
Ross	 Here we go. (Plays one note) Y\xc2\x92know, I\xc2\x92ve-I\xc2\x92ve never played\nmy stuff for anyone before, so it\xc2\x92s important that-that you understand it\xc2\x92s\nabout communicating very private emotions. (Plays another note) Y\xc2\x92know, umm, you\nshould-you should think of umm, my work as wordless sound poems. That\xc2\x92s what\nI\xc2\x92m\xc2\x85'
Chandler	 (interrupting) Oh my God! Play!'
Monica	 (At a loss for words) Boy, that was-that was, umm\xc2\x85 terrific.'
Chandler	 Really, bitchin\xc2\x92!'
Phoebe	 Wow, it was so\xc2\x97wow!'
Ross	 Really?! I mean, really?!!'
Rachel	 Yeah, I mean, you should play in public!'
Ross	 Wow! Thanks, you guys. That\xc2\x92s uh\xc2\x97ohhh, I wanna, I wanna play you\nanother piece! Umm! Uh-oh! I left my uh, helicopter sounds on another disk. I\xc2\x92ll be\nright back! Okay? (Runs to fetch them) This is so nice, I\xc2\x92m\xc2\x97I am so\xc2\x85\n(starts to break up and leaves)'
Monica	 Oh God bless my dad sound proofing the basement!'
Rachel	 Oh, I can\xc2\x92t believe I ever let him touch me with those fingers.'
Phoebe	 What are you guys talking about, I loved it! It was soo moving. Oh, plus\nit\xc2\x92s just, it\xc2\x92s so different from the stuff you usually hear.'
Chandler	 You mean like, music?'
