Joey	 (answering phone) Hello.'
Chandler	 (on phone) Hey, it\xc2\x92s me. I know you can\xc2\x92t stand to be in the\nsame room as me, so I just thought I\xc2\x92d try and apologize over the phone. All I\xc2\x85\n(Joey hangs up the phone in disgust.)'
Joey	 (answering phone) Hello.'
Chandler	 Look I never should have kissed your girlfriend, but I\xc2\x92m\xc2\x85\n(Joey hangs up the phone again.)'
Joey	 (answering phone) Stop callin\xc2\x92!!'
Voice	 (on phone) Hey! Hey! Hey! This is 92.3, WXRK, K-Rock for our $1,000 daily\nchallenge.'
Joey	 All right!'
Voice	 What is the name of your roommate who is very, very sorry and would do\nanything\xc2\x85 (Joey realizes it\xc2\x92s Chandler and hangs up the phone in anger.)'

Chandler	 (entering) Aww, turkey! Aww, giving thanks! Aww!'
Phoebe	 Look everyone, it\xc2\x92s the spirit of Thanksgiving!'
Rachel	 So are things with you and Joey any better?'
Chandler	 They couldn\xc2\x92t be worse. I spent eight hours calling him last\nnight, just trying to get him to talk to me.'
Rachel	 Oh wow, eight hours? So you could probably really use one of those\nplug-in telephone headsets huh?'
Ross	 Should we all expect Christmas gifts that can be stolen\nfrom your office?'
Rachel	 You shouldn\xc2\x92t.'
Phoebe	 Speaking of Christmas, umm since Monica and I are starting a new\nbusiness and have like no money, umm, this year maybe we could do secret Santa, and then\nwe each only buy one gift. And-and there\xc2\x92s the added mystery of who gets who.'
Ross	 Who gets whom. (They all look at him.) I don\xc2\x92t know why I do that.'
Rachel	 Well, I\xc2\x92m gonna take a nap, turkey makes me sleepy.'
Monica	 We haven\xc2\x92t eaten yet!'
Rachel	 I know, but all that work you\xc2\x92re doing to get it ready, I\njust\xc2\x85 (goes into her bedroom.)'
Chandler	 Hey, by any chance did either of pick uh Rachel for your secret Santa,\n\xc2\x91cause I wanna trade for her.'
Phoebe	 I picked her! Oh thank God you want her! Ooh!'
Chandler	 Wow! Why do you want to get rid of her so badly?'
Phoebe	 Because she exchanges every gift she ever gets, it\xc2\x92s like\nimpossible to get her something she likes. Come on, let\xc2\x92s trade!'
Chandler	 Oh that\xc2\x92s not true! That\xc2\x92s not true! I got her that backpack\nand she loved it! I remember how much she was crying the day when that big dog ran off\nwith it\xc2\x85 (notices the look on Monica and Phoebe\xc2\x92s faces.) Oh, there was no big\ndog. All right this sucks! I already got her this briefcase, and I had R.G. put on\nit\xc2\x85 (Phoebe looks confused.) Her initials\xc2\x85'
Phoebe	 Ohh.'
Monica	 Well, maybe you could give to somebody else. Ooh, like Ross Geller.'
Chandler	 Op, y'know what though, it\xc2\x92s kind\xc2\x92ve a girlie briefcase."
Monica	 Who cares? He works in a museum!'
Chandler	 Hey, what time is it? The big game is about to start!'
Phoebe	 You don\xc2\x92t have to do that, Ross and Joey aren\xc2\x92t here, you can\nwatch the parade if you want.'
Chandler	 Thanks.'
Monica	 What is wrong with this freezer?! (She jabs her arm into the freezer and\na piece of ice flies into her eye.) Ow! Ow!!'
Phoebe	 God, what happened?!'
Monica	 Oh my God, ice just got in my eye!'
Rachel	 (standing in her doorway) People are trying to sleep in here!'
Chandler	 Monica got ice in her eye, and it hurts.'
Phoebe	 Open it up, let me see.'
Monica	 Oh, y\xc2\x92know what, I can\xc2\x92t, it really kills.'
Chandler	 Well maybe you should put some ice on it.'
Phoebe	 Ooh, God it looks bad.'
Rachel	 Honey, maybe we should take you to a doctor.'
Monica	 No, my eye doctor is Richard! I can\xc2\x92t go to him when I don\xc2\x92t\nhave a boyfriend!'
Chandler	 He\xc2\x92s really picky about his patients.'
Phoebe	 Honey, you\xc2\x92ve got to go. What\xc2\x92s his office number?'
Monica	 Like I remember his office number! (Pause) Speed dial 7.'
Phoebe	 (on phone) Hi! Yeah, I\xc2\x92m calling on behalf of Monica Geller\xc2\x92s\neye, and is um, is Richard Burke in today. (Listens) (to Monica) He\xc2\x92s out of town,\nbut does she want to see the on-call doctor?'
Monica	 Yes!!'
Phoebe	 Yes! She\xc2\x92s very excited about that.'
Phoebe	 This is so cool, \xc2\x91til Monica gets back, it\xc2\x92s like I\xc2\x92m\nhead chef and I get to make all the decisions. (She looks at the remaining butter, and\nthen decides to add it to the dish.)'
Ross	 Hey-hey, I thought she told you to follow the recipe exactly!'
Phoebe	 Okay, get out of my kitchen!'
Chandler	 (entering) All right! Okay! I think I am making some progress with\nJoey, when I went into the apartment he went straight into his bedroom but he only slammed\nthe door once! (Ross is pleased.) I mean yeah, he gave me the finger while doing it.'
Phoebe	 All right I\xc2\x85 I gotta call my mom and ask her a left handed cooking\nquestion.'
Ross	 So listen ah, I picked Monica for secret Santa, but I\xc2\x92m already\ngetting her something for Chanukah, I was wondering if you wanna switch.'
Chandler	 Oh y\xc2\x92know what, I was already trying to trade for ah, well, you.'
Ross	 Really?! Wow! That\xc2\x92s-that\xc2\x92s so nice, what are you gonna get me?'
Chandler	 I don\xc2\x92t know R.G., I was thinking something girlie for your\noffice.'
Ross	 Yeah, well maybe Phoebe will switch with me.'
Chandler	 Oh no-no-no, you don\xc2\x92t want to do that, then you\xc2\x92re gonna\nget stuck with Rachel and she exchanges every gift she ever gets.'
Ross	 Oh, that\xc2\x92s not true! I\xc2\x92ve got her lots of stuff she never took\nback.'
Chandler	 Like?'
Ross	 Like uh, that gold necklace I got her last year.'
Chandler	 When was the last time you saw her wear it?'
Ross	 Well, she wore it all Christmas day, and then uh\xc2\x85'
Chandler	 Big dog?'
Ross	 (entering) Hey!'
Joey	 Hey!'
Ross	 What are you doing?'
Joey	 I\xc2\x92m sending back all this stuff that Chandler bought out of guilt.'
Ross	 Everything? Even the TV?'
Joey	 No! I\xc2\x92m putting that in my room.'
Ross	 Listen, Joey, I know what he did was wrong but don\xc2\x92t you think you\ncould at least hear the guy out?'
Joey	 Back when you and Rachel were together, if Chandler had kissed her, would\nyou hear him out?'
Ross	 That\xc2\x92s a good point. So uh, how long are you gonna punish him?'
Joey	 Five years. '
Ross	 You\xc2\x92ve sentenced him?!'
Joey	 Hey! Don\xc2\x92t do the crime if you can\xc2\x92t do the time.'
Ross	 Joey, the guy\xc2\x92s your best friend.'
Joey	 No, was my best friend. Anyway, I don\xc2\x92t know why\nyou\xc2\x92re pushing for him so hard. With him out of the way as my best friend,\nthere\xc2\x92s a spot open.'
Ross	 Oh, who? Me?'
Joey	 Yeah!'
