Phoebe	 Okay!'
Monica	 Come on, no peeking! (They are leading the gang out with there hands\nover their eyes.)'
Chandler	 Our eyes are closed and we\xc2\x92re about to cross the street. Very\ngood.'
Phoebe	 Okayyyyy, open up! '
Ross	 What did you want to show us? Because all I can see is this bitchin'\nvan!"
Phoebe	 Yeah, it\xc2\x92s for our catering business!'
Joey	 I think I know that girl.'
Monica	 All right, umm, we\xc2\x92re not gonna really keep it this way though.'
Rachel	 No?'
Phoebe	 No, we\xc2\x92re gonna paint over the sword, and replace it with a\nbaguette. '
Rachel	 Oh!'
Phoebe	 And also, we don\xc2\x92t know what to do with this. (She turns on a\nswitch and the girl\xc2\x92s nipples light up.)'
Joey	 Oh yeah, I definitely know her.'

Monica	 (to Phoebe) Remember that guy from cooking school I told you about that\nput cilantro with everything?'
Phoebe	 Oh sure, Cilantro Larry.'
Monica	 Well, I\xc2\x92m gonna fill in for him as food critic for the Chelsea\nReporter.'
Monica	 Wow, Monica! What an amazing opportunity to influence\xc2\x85 dozens of\npeople.'
Phoebe	 How could you say yes, what about our catering business?'
Monica	 Oh no-no-no, it\xc2\x92s only one night a week, and plus I get to take all\nof you out for a lot of free dinners.'
All	 Yay!!'
Phoebe	 Oh, in that case\xc2\x97(hops up and down in joy)\xc2\x97Yay! (Monica looks\nconfused) That was me hopping on board.'
Monica	 Oh.'
Chandler	 (entering) Hey, you guys! Hey, Ross, quick question for ya. Are you\nready to party?'
Ross	 I don\xc2\x92t know, I could maybe go out for a couple of beers, but\nthere\xc2\x92s this thing about bumblebees on The Discovery Channel that I was\nplanning to watch.'
Chandler	 No-no, I don\xc2\x92t think you heard me. Are you ready to party?!'
Ross	 Nooo!! Gandolf?! Gandolf is coming to town?'
Chandler	 Kathy\xc2\x92s with her parents, I have nothing to do, so tomorrow we\nare partying with Gandolf dude!'
Ross	 Dude, we are sooo gonna party!'
Phoebe	 Wow! Okay, dude alert! And who is this guy?'
Ross	 Mike "Gandolf" Ganderson, only like the funest guy in the world.'
Chandler	 I\xc2\x92m gonna call and get off work tomorrow!'
Ross	 I\xc2\x92m gonna call after you!'
Chandler	 This is gonna be soo cool, dude, we never party anymore!'
Chandler and Ross	 Woooo!!!'
Monica	 All right, were you guys smoking something in the back of our van?'
Joey	 Really. And what do you mean you never have fun anymore? You have fun with\nme, remember that time we saw those strippers and you paid me 50 bucks to eat that book?'
Ross	 Joey, you are gonna love this guy. Gandolf is like the party wizard!'
Joey	 Well, why do you call him Gandolf?'
Ross	 Gandolf the wizard. (Joey is still confused) Hello! Didn\xc2\x92t you read Lord\nof the Rings in high school?'
Joey	 No, I had sex in high school.'
Rachel	 Oh, uh, Joanna I was wondering if I could ask you something.\nThere\xc2\x92s an opening for an assistant buyer in Junior Miss\xc2\x85'
Joanna	 (interrupting) Okay, but that would actually be a big step down for me.'
Rachel	 Well, actually, I meant for me. The hiring committee is meeting people\nall day and\xc2\x85'
Joanna	 Oh. Well, I wish I could say no, but you can\xc2\x92t stay my assistant\nforever. Neither can you Sophie, but for different reasons.'
Rachel	 God, I am so glad you don\xc2\x92t have a problem with this, because if\nyou did, I wouldn\xc2\x92t even consider applying.'
Joanna	 Really? Well, in that case\xc2\x85'
Rachel	 (interrupting) And that\xc2\x92s I\xc2\x92m so glad\xc2\x85 there\xc2\x92s no\nproblem.'
Joanna	 That\xc2\x92s fine, actually I\xc2\x92m on the hiring committee, so\nthere\xc2\x92ll be at least one friendly face.'
Rachel	 Ohh! That\xc2\x92s great!'
Joanna	 You know, Junior Miss is where I started. Oh, I had to sleep with the ugliest\nguy to get that job.'
Rachel	 Really?!'
Joanna	 No-ho-ho! (pause) Yeah. (pause) I mean, no-no-no-no-no, don\xc2\x92t you\nworry, I\xc2\x92m sure with your qualifications you won\xc2\x92t need to sleep with some guy\nto get that job. Although, I might need some convincing.'
Rachel	 Well, I, umm\xc2\x85'
Joanna	 Kidding! God, I feel wild today!'
Chandler	 Oh man! I am so excited\xc2\x97I may vomit!'
Joey	 Will you calm down, he\xc2\x92s just a human guy.'
Chandler	 Look you don\xc2\x92t understand, Gandolf is amazing. Y\xc2\x92know\nyou\xc2\x92re never know what\xc2\x92s gonna end up happening, you go out for a couple of\nbeers and end up on a fishing boat to Nova Scotia! '
Joey	 Really?!'
Chandler	 Oh yeah, it\xc2\x92s beautiful country up there.'
Ross	 (entering) Hey! Okay! I got my passport, fresh socks, and a snake bite\nkit!'
Chandler	 It\xc2\x92s not gonna be exactly like last time.'
Joey	 All right, I\xc2\x92ll see you guys.'
Chandler and Ross	 Whoa-whoa-whoa!'
Chandler	 Whoa-wh-wh-whoa-whoa-whoa-whoa!'
Joey	 I have an audition, but I\xc2\x92ll definitely hook up with you later. Where\nare you gonna be around noon?'
Ross	 Somewhere maybe along the equator?'
Joey	 Okay. (leaves as the phone rings)'
Chandler	 (answering it) Hello. (listens) (to Ross) It\xc2\x92s Gandolf!!! (on\nphone) So, are you in town? (listens) (disappointed) Oh, well, well maybe next time then.\n(Hangs up)'
Ross	 What happened?'
Chandler	 He\xc2\x92s not gonna make it, he\xc2\x92s stuck in Chicago.'
Ross	 Ohh, man! Chicago, is sooo lucky!'
Chandler	 Stupid, useless Canadian money!'
Mr. Posner	 You have a very impressive resume, Ms. Green. I especially like what\nI see here about implementing a new filing system.'
Rachel	 Thank you.'
Joanna	 Filing system? Oh-oh! You mean those-those little colored labels you put\non all the folders? (to the committee) It certainly did brighten up the inside of the\nfiling cabinets. '
Rachel	 Well, they uh, they-they do more than that.'
Mrs. Lynch	 I notice that you\xc2\x92ve been trusted with a lot of rather\nimportant responsibilities.'
Rachel	 Yes, Joanna really has been an incredible mentor to me.'
Joanna	 Oh. And Rachel has been really incredible in getting my morning bagel\nfor me. It\xc2\x92s amazing how she gets it right almost every time!'
Rachel	 I-I-I of course, I have more responsibilities than that.'
Joanna	 Oh yes, well there\xc2\x92s the coffee too. (to the committee) Rachel can\ncarry two things at once!'
Mr. Posner	 Yes, that\xc2\x92s very good. Now a uh, big part of this job is\ncultivating personal relationships, especially with designers.'
Rachel	 Yes, I realize that\xc2\x85'
Joanna	 (interrupting) And Rachel shouldn\xc2\x92t have any problem with that. The\nonly problem might be getting a little too friendly, if you know what I mean.'
Rachel	 I love working with designers!'
Joanna	 With them, under them, what\xc2\x92s the difference? Eh, Rach?'
Monica	 Hey! My first review is out!'
Phoebe	 Ohh! Oh, the Chelsea Reporter, ohh, this used to keep me so warm.'
Monica	 All right, look at my on the back page.'
Phoebe	 Oh, okay! (reading) "Would I go back to Allesandro\xc2\x92s? Sure,\nbut I\xc2\x92d have to order two meals, one for me and one for the guy pointing the gun to\nmy head." (to Monica) Wow! You really laid into this place.'
Monica	 Hey, they don\xc2\x92t pay me a penny a word to make friends.'
Phoebe	 Ooh, I gotta go. I found a guy that who could fix up the van for\ncatering.'
Monica	 Oh! Do you need me to go with you?'
Phoebe	 No-no, it\xc2\x92s okay. But are we sure we don\xc2\x92t want the waterbed?'
Monica	 Haven\xc2\x92t we made this decision?'
Phoebe	 Yeah, all right. (starts to leave)'
Monica	 Bye!'
Phoebe	 Bye!'
Monica	 (answering it) Who is it?'
Allesandro	 It\xc2\x92s Allesandro, from Allesandro\xc2\x92s.'
Monica	 Oh my God.'
Allesandro	 I want to talk to you about your review.'
Monica	 Oh my God, oh my God. (on intercom) Call me on the phone!'
Allesandro	 Why? So you could hang up on me?'
Monica	 Look, I-I\xc2\x92m never gonna let you up so you may as well just go away.'
Allesandro	 Just give me a chance too\xc2\x85'
Phoebe	 (on intercom) Hey, do you need to get in? Here you go.'
Monica	 No! Phoebe!'
Phoebe	 Hey, Monica!'

Allesandro	 (entering) I want a retraction! Our food is not\ninedible swill!'
Monica	 I couldn\xc2\x92t eat it! I had five friends who couldn\xc2\x92t eat it, and\none of them eats books.'
Allesandro	 Well our service is not grossly incompetent.'
Monica	 The waiter carried the breadsticks in his pants!'
Allesandro	 Well, you said that we except the Discover Card, which we\ndo not!'
