Ross	 Hey! '
Chandler, Joey, and Phoebe	 Hey!'
Ross	 I\xc2\x92m sorry I\xc2\x92m late, did I miss anything?'
Phoebe	 Joey stuffing 15 Oreos in his mouth. (Joey, with an obvious\nmouth full, nods yes.)'
Ross	 15? (Joey nods again) Your personal best! (Ross takes an Oreo and\nJoey mumbles, no!)'
Phoebe	 Where were you?'
Ross	 Oh, on a date. Yeah, I met this girl on the train going to a museum\nupstate.'
Chandler	 Oh, yeah! How did you meet her?'
Phoebe	 Oh, which museum?'
Phoebe	 (just Phoebe) No, answer his.'
Ross	 Okay, it was just me and her at the back of the train, and I sat near the\ndoor, so she\xc2\x92d have to pass by me if she wanted to switch cars. She was totally at my\nmercy.'
Chandler	 Were you so late because you were burring this woman?'
Ross	 No, I\xc2\x92m getting back down \xc2\x91cause she lives in Poughkeepsie. She\nseems really great, but she\xc2\x92s like totally great, but she lives two and a half hours\naway.'
Chandler	 How can she be great if she\xc2\x92s from Poughkeepsie? (laughs, at they\nall look at him) That joke would\xc2\x92ve killed in Albany.'
Joey	 Done! I did it! Heh, who\xc2\x92s stupid now? (He smiles and has cookie\nremains all over his teeth.)'

Chandler	 Hey, look at this! (Holding a newspaper) They\xc2\x92re lighting the big\nChristmas tree tonight.'
Phoebe	 Umm, that paper\xc2\x92s two weeks old. '
Chandler	 All right, who keeps leaving old newspapers in the trash?! I really\nwanted to take Kathy to this, I can\xc2\x92t believe I missed it.'
Rachel	 Hey, y\xc2\x92know, at least you have somebody to miss that stuff with! I hate\nbeing alone this time of year! Next thing you know it\xc2\x92ll be Valentine\xc2\x92s Day,\nthen my birthday, then bang!\xc2\x97before you know it, they\xc2\x92re lighting that damn tree\nagain. Ohh, I want somebody! (hearing this, Gunther moves in)\nY\xc2\x92know, I want a man!! (Gunther leaves depressed) I mean, it\ndoesn\xc2\x92t even have to be a big relationship, y\xc2\x92know, just like a fling would be\ngreat.'
Chandler	 Really?! I didn\xc2\x92t think girls ever just wanted a fling.'
Rachel	 Well, believe me, it\xc2\x92s been a long time since I\xc2\x92ve been flung.'
Joey	 Well, I know what I\xc2\x92m giving you for Christmas.'
Chandler	 Y\xc2\x92know what? There\xc2\x92s some nice guys at my office, do you\nwant me to set you up?'
Rachel	 Yeah! Wait a minute, it\xc2\x92s been a long time that I\xc2\x92ve been\nsingle. How come you never offered this before?'
Chandler	 Well, I have a girlfriend, I\xc2\x92m-I\xc2\x92m happy. So, I no longer\nfeel the need to go out of my way to stop others from being happy.'
Rachel	 Okay! No accountants. Oh, and no one from like legal. I don\xc2\x92t like\nguys with boring jobs.'
Chandler	 Oh and Ross was like what? A lion tamer?'
All	 Hey!'
Phoebe	 What\xc2\x92s wrong Mon?'
Monica	 Ohh, everybody at the restaurant still hates me.'
Phoebe	 Oh.'
Monica	 I thought I was making headway, everyone was smiling at me all day, I\nget off work and I find out that they wrote this (puts on her chef hat) on my chef\xc2\x92s\nhat. (The hat says \xc2\x91Quit, bitch\xc2\x92)'
Phoebe	 Hey, maybe they meant to write, \xc2\x91Quiet, bitch.\xc2\x92'
Rachel	 Hey, honey! What\xc2\x92s the matter? (Monica shows her, her hat.) Fine, I\nwas just trying to be nice! Whoa!'
Monica	 I mean I have not been picked on this much since kindergarten and they\nhad to bring in someone from junior high to do the see-saw with me. (Joey laughs and\nMonica glares at him.)'
Joey	 Ohhh!'
Monica	 I mean they\xc2\x92re trying to do everything they can to make me quit,\nand if there were any other job, I would. But this is something I\xc2\x92ve been waiting for\nmy whole life.'
Rachel	 Well, wait a minute, you\xc2\x92re the boss! Why don\xc2\x92t you just yell\nat them? Or, fire them?'
