Phoebe	 Oh my God! I can\xc2\x92t believe my little brother is married!'
Frank	 Oh I know!! (Both he and Alice squeal hysterically)'
Phoebe	 You guys, why didn\xc2\x92t you tell me you were eloping?'
Frank	 \xc2\x91Cause it just sorta happened, y\xc2\x92know we were at the\ncourthouse, we were having lunch\xc2\x85'
Phoebe	 Wait, wait, why were you at the courthouse? '
Frank	 We were having lunch. Yeah and then all of the sudden we were like,\n"Hey! Y\'know, we\xc2\x92re here, having lunch let\xc2\x92s get married!'
Phoebe	 Wow, a year and a half ago I didn\xc2\x92t even know I had a brother, and\nnow I have a sister too. (They all hug, and Frank and Alice start kissing.) Okay. Okay.\nStop it, don\xc2\x92t. So, I gotta get you a gift now. Is there anything you need?'
Frank	 Uhh, yeah.'
Alice	 We\xc2\x92ve been trying to get pregnant, uh pretty much ever since we got\nengaged, we thought we\xc2\x92d get a jump on things, y\xc2\x92know no one\xc2\x92s getting any\nyounger.'
Frank	 See the thing is umm, we\xc2\x92re not able to y\xc2\x92know, uh, conceive.'
Alice	 And we\xc2\x92ve tried everything, we\xc2\x92ve seen a bunch of doctors.'
Frank	 Yeah, and they-and they say that our-that our only chance to have a baby\nis that if they take my sperm, her egg and put it together in a dish and then put it into\nanother girl. So we were wondering if you could be the girl that we could put it into.'
Phoebe	 (shocked) That\xc2\x92s a really nice gift. I was thinking of like a gravy\nboat.'

Joey	 (entering with Ross) Hey! You guys! Check it out, check it out! (He\xc2\x92s\nwearing a blue blazer) Guess which job I got.'
Chandler	 I don\xc2\x92t know, but Donald Trump wants his blue blazer black.'
Ross	 What?'
Chandler	 Blue blazer back. He-he wants it back.'
Rachel	 But you-you said black. Why would he want his blue blazer black?'
Chandler	 Well, you-you know what I meant.'
Monica	 No, you messed it up. You\xc2\x92re stupid.'
Chandler	 So what job did you get Joe?'
Joey	 Oh, ah, tour guide at the museum. Yeah, Ross got it for me.'
Rachel	 Well, how can you be a tour guide, don\xc2\x92t you have to be a dinosaur\nexpert or something?'
Joey	 No, not really. They give you all the information, it\xc2\x92s uh, it\xc2\x92s\nlike memorizing a script. (Making like a tour guide) "And on your left, you have\nTyrannosaurus Rex, a carnivore from the Jurassic period.'
Chandler, Monica, and Rachel	\xc2\xa0 Great!! That\xc2\x92s great!'
Ross	 Uh actually Joey, it\xc2\x92s the Cretasous period.'
Joey	 Yeah but, I can pronounce Jurassic.'
Phoebe	 (entering) Hey!!'
All	 Hey!'
Phoebe	 Guess what. Frank Jr., and Alice got married!'
All	 Oh my God!!'
Phoebe	 And! And, they\xc2\x92re gonna have a baby! (The gang is shocked.) And!\nAnd, they want me to grow it for them in my uterus. (The gang is stunned into silence.)'
Ross	 My God!'
Monica	 Are you serious?'
Phoebe	 Yeah'
Joey	 You\xc2\x92re really thinking about having sex with your brother?!'
Phoebe	 Ewww! And "Oh no!" It\xc2\x92s\xc2\x97they just want me to be the\nsurrogate. It\xc2\x92s her-it\xc2\x92s her egg and her sperm, and I\xc2\x92m-I\xc2\x92m just the\noven, it\xc2\x92s totally their bun. '
Joey	 Huh.'
Monica	 What did you tell them?'
Phoebe	 Well, they said that I had to think about it first, but what is there to\nthink about? I\xc2\x92m gonna be giving them the greatest gift you can possibly give.'
Chandler	 You\xc2\x92re gonna be carrying their baby and give them a Sony Play\nStation?'
Rachel	 Honey, this really is an incredible thing to do for them, but there are\nthings to think about.'
Monica	 Yeah, like you\xc2\x92re gonna be pregnant. I mean pregnant.'
Phoebe	 I know!'
Ross	 Pheebs, you\xc2\x92re talking about putting your body through an awful lot,\nI mean morning sickness, uhh, labour, and it\xc2\x92s all for somebody else!'
Phoebe	 Yeah, what\xc2\x92s your point?'
Ross	 Well, the stuff I just mentioned.'
Rachel	 Wow! I don\xc2\x92t know if I could ever do that. I always figured the\nfirst time I had a baby was with somebody I love and that baby would be a\xc2\x85keeper.'
Phoebe	 Y'know you guys were a lot more supportive when I wanted to make denim\nfurniture."
Joey	 No, Pheebs, listen, if you decide to do this, we\xc2\x92ll be supportive\nlike crazy.'
All	 Yeah.'
Monica	 We just want you to think it through.'
Rachel	 Yeah, honey, maybe you can talk to somebody who\xc2\x92s had a baby. Like\nyour mom?'
Phoebe	 My mom never gave birth. Oh! But my birth mom did.'
Kathy	 Umm, (moves her hand\xc2\x92s down to his butt) I love this touchy. Can I\ntake it to work with me?'
Chandler	 Oh, yeah, sure, it\xc2\x92s not mine anyway. It can with the pants.'
Kathy	 Oh! (They kiss and she leaves)'
Monica	 I am so jealous.'
Rachel	 You guys are really right\xc2\x85there aren\xc2\x92t you?'
Chandler	 Yes. Right where?'
Monica	 In the beginning where y\xc2\x92know it\xc2\x92s all sex and talking and sex\nand talking and\xc2\x85'
Chandler	 Yeah, you-you gotta love the talking.'
Monica	 And the sex?'
Chandler	 All right, we haven\xc2\x92t had sex yet. Okay, what\xc2\x92s the big\ndeal? Y\xc2\x92know? This is special, and I want our love to grow until we move on to the\nnext level.'
Rachel	 Oh, Chandler that is so nice.'
Ross	 That is really nice\xc2\x85lying! No way is that the reason!'
Rachel	 Why? Just because you\xc2\x92re not mature enough to understand something\nlike that?!'
Chandler	 No, he\xc2\x92s right, I\xc2\x92m totally lying.'
Monica	 Then what is it?'
