Rachel	 What the hell is that?!! (to Monica) What the hell is that? Is\nthat you? (Monica nods her head no, and Rachel realizes what is making that sound.)\nOhhhhhhh! (storms over to Chandler and Joey\xc2\x92s with Monica in trail.) '
Monica	 Boy, you are really not a morning person.'
Rachel	 (angrily) BACK OFF!!! (She starts banging on their door.) Get up! Get\nup! Get up! God damn it! Get up, get up, get up, get up, get up!!'
Rachel	 What is that noise?'
Chandler	 You!'
Joey	 It\xc2\x92s the chick! She\xc2\x92s\xc2\x85going through some changes.'
Monica	 What kind of changes?'
Chandler	 Well the vet seems to think that\xc2\x92s she\xc2\x92s becoming a rooster.\n(The rooster crows.) We\xc2\x92re getting a second opinion.'

Phoebe	 Hey!'
Ross	 Hey, what are you doing shopping at eight in the morning?'
Rachel	 Well, I\xc2\x92ve been up since six. Thanks to somebody\xc2\x92s\ndumb-ass rooster.'
Phoebe	 You guys you really should get rid of those animals. They shouldn\xc2\x92t\nbe living in an apartment.'
Rachel	 Yeah! Especially not with all of these knives and cookbooks around\xc2\x85'
Phoebe	 All right. I\xc2\x92m gonna go to the fertility doctor and um, see if\nI\xc2\x92m ready to have Frank and Alice\xc2\x92s embryo transferred into my uterus.'
Ross	 Now, how will they know if you\xc2\x92re ready?'
Phoebe	 Oh, they\xc2\x92re just gonna umm, look to see if my endometria layer is\nthick.'
Chandler	 Oh, I can uh, check that for ya.'
Phoebe	 Okay everyone, think thick.'
All	 Good-bye! Good luck! (She opens the door to reveal Monica and Joey.)'
Phoebe	 Hi! Wish me luck!'
Monica	 Oh, good luck.'
Joey	 Good luck. (to Monica) And I\xc2\x92m still right!'
Monica	 That is sooo not true!'
Rachel	 What?'
Joey	 She\xc2\x92s mad because I know today\xc2\x92s her laundry day and that means\nshe\xc2\x92s wearing her old lady underpants.'
Chandler	 I can check that for ya.'
Monica	 I just\xc2\x97I can\xc2\x92t believe that you think that you and Chandler\nknow me and Rachel better than we know you.'
Chandler	 Well\xc2\x85 we-we do. You can only eat Tic Tacks in even\nnumbers.'
Joey	 Yeah, what\xc2\x92s that about?'
Chandler	 (to Rachel) And you\xc2\x85 Ross, I believe, if you check Rachel\xc2\x92s\nbag you will find a half-eaten box of cookies in there.'
Ross	 (He does so, and finds a half-eaten box of cookies.) You\xc2\x92re good.\n(Tries a cookie.) These are not.'
Rachel	 I\xc2\x92m so not impressed. Everybody snacks when they shop.'
Monica	 Yeah.'
Joey	 Oh yeah? Ross, how many items left in that bag?'
Ross	 Five.'
Chandler	 Okay, ten bucks says that we can name every item in that bag.'
Rachel	 How many guesses do you get?'
Joey	 Six.'
Ross	 Challenge extended.'
Monica	 Deal!'
Ross	 Challenge excepted.'
Joey	 All right, we\xc2\x92ll start with\xc2\x85apples.'
Ross	 We\xc2\x92ll be starting with apples.'
Chandler	 (to Ross) Stop that now!'
Chandler	 Yes!'
Joey	 Okay. Uhh, tortilla chips, yogurt.'
Chandler	 Diet soda.'
Ross	 Yes. Yes. Yes. (They\xc2\x92re perfect so far.)'
Chandler	 Orange juice.'
Rachel	 No! There\xc2\x92s no orange juice in there! We win!! '
Monica	 Ha-ha!'
Ross	 They have another guess.'
Rachel	 Okay, well, we won that one.'
Joey	 Okay, the last thing\xc2\x85'
Chandler	 Oh-oh, oh, oh-oh! (Whispers something in Joey\xc2\x92s ear.)'
Joey	 No-no, not for like another two weeks.'
Chandler	 I got it! Scotch\xc2\x85 tape. (They\xc2\x92re right.)'
Ross	 How did you know she would buy scotch tape?'
Chandler	 Well, we used there\xc2\x92s up last night making scary faces.'
Monica	 Aww, man!'
Chandler	 All right! Ten buck! Fork it over! Cough it up! Pay the piper! Gimme\nit.'
Monica	 That does not mean you know us better, I-I want a rematch.'
Rachel	 Yeah, and none of these stupid grocery questions, real personal\nquestions.'
Monica	 Yeah! And the winner gets a hundred bucks.'
Joey	 Serious?'
Monica	 Are you scared?'
Joey	 No! All right, who-who makes up the questions?'
Monica	 Ross will do it.'
Ross	 Oh sure, "Ross will do it!" It\xc2\x92s not like he has a job, or\na child, or a life of his own.'
Rachel	 Fine! We\xc2\x92ll ask Phoebe.'
Ross	 No-no-no, I-I wanna play.'
Dr. Zane	 It looks like your uterus is ready for implantation.'
Phoebe	 Oh! I knew it! I knew it! I felt really thick this morning.'
Frank	 Well, okay, so what\xc2\x92s now\xc2\x97go get, go get the eggs, put \xc2\x91em\nin there.'
Dr. Zane	 Okay, it\xc2\x92ll take just a little while to prepare the embryos.'
Phoebe	 Embryossss? As in, "More than one?"'
Dr. Zane	 Um-hmm, five actually.'
Phoebe	 Five? Okay, where am I giving birth, a hospital or a big box under the\nstairs?'
Dr. Zane	 We do five because that gives you a 25% chance that at least one will\nattach.'
Phoebe	 That\xc2\x92s it! 25 percent? That means that\xc2\x92s it\xc2\x92s like 75\npercent chance of no baby at all!'
Frank	 Hey, y\xc2\x92know I was thinking, what are the odds like if-if, if you\nstuff like 200 of them in there?'
Alice	 Sweety, now, she\xc2\x92s a woman, not a gumball machine.'
Phoebe	 Okay, well y\xc2\x92know what, don\xc2\x92t worry you guys, \xc2\x91cause\nI\xc2\x92m-I\xc2\x92m gonna do this as many times as it takes to get it right.'
Frank	 Well, you see, the-the thing is, we-we only got, we kinda have one shot\nto make it right.'
Alice	 Umm, it costs $16,000 each time you do this. So, umm, we\xc2\x92re kinda\nusing all the money we have to do it just this one time.'
Phoebe	 Whoa!! That\xc2\x97okay, that\xc2\x92s a lot of pressure on me and my\nuterus. (to Dr. Zane) So, well okay, so is there\xc2\x97is maybe is there something that I\ncan do y\xc2\x92know just to like help make sure I get pregnant?'
Dr. Zane	 No, I\xc2\x92m sorry.'
Phoebe	 Wow! You guys really don\xc2\x92t know anything!'
Frank	 I know! Why don\xc2\x92t you get drunk! That worked for a lot of girls in\nmy high school.'
Monica	 You guys! Do you realize that any minute now, Phoebe can be pregnant?'
Joey	 Huh.'
Rachel	 I know! I know, it\xc2\x92s such a huge, life-altering thing.'
Joey	 I know.'
Ross	 The test is ready.'
All	 Yeah! Yes! (They all right into the living room, all excited.)'
Ross	 Okay, each team will answer ten questions. The first team that answers the\nmost questions wins. Okay, the categories are, Fears and Pet Peeves, Ancient History,\nLiterature, and It\xc2\x92s All Relative. Now, the coin toss to see who goes first. (He\nflips the coin and they all watch it hit the table and stop. Then they all look up at him,\nto see who goes first.) Okay, somebody call it this time.'
All	 Oh yeah!'
Rachel	 Tails!'
Ross	 It\xc2\x92s heads. (The guys celebrate.) Gentlemen, pick your category.'
Chandler	 Fears and Pet Peeves.'
Ross	 What is Monica\xc2\x92s biggest pet peeve?'
Joey	 Animals dressed as humans.'
Ross	 That\xc2\x92s correct. Ladies?'
Monica	 Same category?'
Ross	 According to Chandler, what phenomenon scares the bejeezus out of him?'
Monica	 Michael Flatley, Lord of the Dance!'
Ross	 That is correct.'
Joey	 (to Chandler) The Irish gig guy?!'
Chandler	 His legs flail about as if independent of his body!'
Ross	 Gentlemen, you\xc2\x92re pick.'
Joey	 It\xc2\x92s All Relative.'
Ross	 Monica and I have a grandmother who died, you both went to her funeral,\nname that grandmother!'
Joey	 (to Chandler) Nana?'
Chandler	 She has a real name.'
Joey	 (answering the question) Althea!'
Chandler	 Althea?! What are you doing?! '
Joey	 I took a shot.'
Chandler	 You're shooting with Althea?!"
Ross	 Althea is correct.'
Chandler	 Nice shooting!'
Rachel	 We\xc2\x92ll take Literature!!'
Ross	 Every week, the TV Guide comes to Chandler and Joey\xc2\x92s apartment. What\nname appears on the address label?'
Rachel	 Chandler gets it! It\xc2\x92s Chandler Bing!'
Monica	 No!!'
Ross	 I\xc2\x92m afraid the TV Guide comes to Chinandolor Bong.'
Monica	 I knew that! Rachel! Use you\xc2\x92re head!'
Chandler	 Actually, it\xc2\x92s Miss Chinandolor Bong.'
Phoebe	 Hello, tiny embryos. Well, I\xc2\x92m-I\xc2\x92m Phoebe Buffay, hi!\nI\xc2\x92m-I\xc2\x92m-I\xc2\x92m hoping to be your uterus for the next nine months. You should\nknow, that we\xc2\x92re doing this for Frank and Alice, who you know, you\xc2\x92ve been\nthere! Umm, y\xc2\x92know they want you so much, so when you guys get in there, really grab\non. Okay, and-and I promise that I\xc2\x92ll keep you safe and warm until you\xc2\x92re ready\nto have them take you home, so\xc2\x85 Oh! And also, umm next time you see me, I\xc2\x92m\nscreaming, don\xc2\x92t worry, that\xc2\x92s what\xc2\x92s supposed to happen.'
Dr. Zane	 Ready?'
Phoebe	 Uh-huh. (To the embryos) Good luck.'
Ross	 All right, the score is nine to eight in favor of the guys. Ladies if you\nmiss this the game is theirs, pick your category.'
Rachel	 (shouting) It\xc2\x92s All Relative!!'
Ross	 You don\xc2\x92t have to shout everything.'
Rachel	 (shouting) I\xc2\x92m sorry!'
Ross	 Ooh. What is the name of Chandler\xc2\x92s father\xc2\x92s Las Vegas all-male\nburlesque?'
Monica	 Viva Las Gaygas!'
Chandler	 Unfortunately that is correct.'
The Girls	 Yes!!'
Ross	 All right, we have a tie. Luckily, I have prepared for such an event. (He\nopens up an envelope and holds up some note cards.) The Lightning Round!'
All	 Ohhhh.'
Ross	 Thirty seconds, all the questions you can answer.'
Monica	 You guys are dead, I am so good at lighting rounds.'
Chandler	 I majored in lightning rounds. All right, we\xc2\x92re gonna destroy\nyou.'
Monica	 Huh, wanna bet?'
Chandler	 Well, I\xc2\x92m so confused as to what we\xc2\x92ve been doing so\nfar\xc2\x85'
Monica	 How about we play for more money, say 150?'
Ross	 150 dollars.'
Chandler	 Say 200?'
Ross	 200 dollars.'
Monica	 You\xc2\x92re doing it again.'
Ross	 Excuse me.'
Rachel	 Monica, I don\xc2\x92t want to lose 200 dollars.'
