Chandler	 Okay, she is the star of the play. And she is my girlfriend! I\nget to have sex with the star of the play!'
Ross	 People can hear you.'
Chandler	 I know!!'
Chandler	 Wow! She looks great. Doesn\xc2\x92t she?'
Ross	 Yeah.'
Kathy's Co-Star	 Hi!"
Kathy	 Hi!'
Ross	 That is one good looking man!'
Chandler	 Is it just me, or can you actually see his abs through his overcoat?!'
Kathy's Co-Star	 Sooo, you\xc2\x92ve been doing this long?"
Kathy	 No, you\xc2\x92re my first. Put the money on the table.'
Kathy's Co-Star	 Oh, yeah! Ooh, that\xc2\x92s nice. (They start making out\nharder.)"
Ross	 Dude!'
Kathy's Co-Star	 Is that an expensive blouse?"
Kathy	 If you want it to be. '
Ross	 Here\xc2\x92s your girlfriend\xc2\x92s button. (Holding the button.)'

Phoebe	 Oh, hey, Mon, do you still have your like old blouses and dresses from\nhigh school?'
Monica	 Yeah, I think I have some around here somewhere. Why? '
Phoebe	 Well, it\xc2\x92s just that maternity clothes are so expensive.'
Monica	 Hey, Rach! I made a pile of your stuff over on this side of the room. If\nyou could just\xc2\x85(Rachel grunts and throws her purse at it)\xc2\x85throw your purses at\nit.'
Rachel	 Bloomingdale\xc2\x92s eliminated my department. (Phoebe gasps)'
Monica	 Oh my God, are you out of a job?'
Rachel	 No, but they stuck me in personal shopping. Which is just a huge\nstep down!'
Phoebe	 Personal shopping? What is that? Like where you walk around with snooty\nrich people and tell them what to buy?'
Rachel	 Uh-huh.'
Phoebe	 That sounds great!'
Joey	 (entering) Hey! (Goes to the fridge.)'
Monica	 Umm, excuse me, we switched apartments. You can\xc2\x92t eat are food\nanymore, that-that gravy train had ended.'
Joey	 (Holding a turkey leg) There\xc2\x92s gravy?'
Monica	 If you have the big apartment you have to deal with people coming over\nall the time. That fridge has got to be stocked, okay, that\xc2\x92s your department now.\n(She takes back the turkey leg)'
Monica	 What are you doing?'
Joey	 I think I left a donut up here.'
Ross	 Hey!'
Phoebe	 Hey!'
Joey	 Hey!'
Phoebe	 Ooh! How was Kathy\xc2\x92s play?'
Ross	 Well, Kathy gets half-naked and simulates sex with a real good\nlookin\xc2\x92 guy.'
Chandler	 Yeah, it\xc2\x92s like someone literally wrote down my worst\nnightmare and then charged me $32 to see it!'
Phoebe	 That\xc2\x92s a good idea for a business!'
Chandler	 I\xc2\x92m totally screwed. Okay, they are gonna be hot and heavy on\nstage every night, and then they\xc2\x92re gonna go to their cast parties and he\xc2\x92s\ngonna try to undermine me. Y\'know it\xc2\x92ll be like, "So where\xc2\x92s your\nboyfriend, what\xc2\x92s-his-name, Chester?" And she\xc2\x92ll go, "No-no-no,\nit\xc2\x92s Chandler." And he\xc2\x92ll go, "Whatever. Ha-ha-ha-ha!"'
Joey	 (to Ross) That-that is a good trick.'
Chandler	 All right, look, look, what am I gonna do?'
Joey	 Chandler, look they\xc2\x92re actors. They\xc2\x92re there to do a job, just\n\xc2\x91cause they work together, doesn\xc2\x92t mean they\xc2\x92re gonna get together. I mean\njust \xc2\x91cause it happened with Susan Sarandon and Tim Robbins, it doesn\xc2\x92t mean\nit\xc2\x92s gonna happen with them.'
Ross	 Oh-oh, Alec Baldwin and Kim Basinger.'
Joey	 Tom Cruise and Nicole Kidman. '
Ross	 Yeah.'
Phoebe	 Hey, Mel Gibson and Clint Eastwood.'
Ross	 They\xc2\x92re not a couple!'
Phoebe	 Oh-okay, I get the game now.'
Joey	 Okay look, look, let me ask you a question, when they were doing it on\nstage, was it like really hot?'
Ross	 Oh yeah!'
Joey	 Well okay, so then you\xc2\x92re fine. The rule is when two actors are\nactually doing it off-stage all the sexual tension between them is gone. Okay? So as long\nas it\xc2\x92s hot onstage you got nothing to worry about. It\xc2\x92s when the heat goes\naway, that\xc2\x92s when you\xc2\x92re in trouble.'
Chandler	 Really?'
Joey	 Look, you guys have been to every play I\xc2\x92ve ever been in, have I ever\nhad chemistry on stage?'
Ross	 No.'
Joey	 Noooo!!'
Chandler	 So uh, man, are you gonna go to the play with me tonight?'
Ross	 Y\xc2\x92know what, I don\xc2\x92t know how comfortable I am going to see how\nhot the sex is between some guy and your girlfriend.'
Chandler	 Yeah, I know but\xc2\x85'
Ross	 Oh no-no-no, I\xc2\x92m there.'
