Phoebe	 (holding a lure) So now, what is this now?'
Joey	 Guggly worm.'
Phoebe	 (laughs and picks up another lure) And this?'
Joey	 Glow-pop giggly jammer.'
Phoebe	 (laughs harder) You make it so funny.'
Monica	 (not wanting to be left out, picks up something) Hey umm, what\xc2\x92s\nthis?'
Joey	 (examining it) Ohh, a hunk of sandwich from last year. (Monica drops the\nsandwich)'
Ross	 (pretend fishing in the living room) Ohh, Geller\xc2\x92s got one hooked!\nOhh! Looks like a big one! Yeah, ohh! Ohh! (Swinging the rod back and forth) It\xc2\x92s the\nclassic struggle between man and\xc2\x97(swings the rod and knocks over a lamp.) Someone\nknocked over a lamp.'
Joey	 (going over and picking up the rod) That\xc2\x92s all right. Hey you guys,\nyou know what\xc2\x92s going to be great about the fishing trip this year? When my dad gets\nme out in the middle of the lake and gives me that, "Joey, what are you doing with\nyour life?" stuff. I can say, "Well, I\xc2\x92m doing a movie with Charlton Heston\ndad. What are you doing with your life?"'
All	 Great!'
Chandler	 You don\xc2\x92t have to stop having fun just because I\xc2\x92m here.\nKathy didn\xc2\x92t cheat on all of you. (To Joey) Well, except you. (They hug and Chandler\ngoes into the bathroom with the chick and duck following him.)'
Monica	 Hey, Joey, I don\xc2\x92t think that you should leave Chandler alone. I\nmean it\xc2\x92s only been two days since he broke up with Kathy. Maybe you can go fishing\nnext week?'
Joey	 Look, there\xc2\x92s nothing I can do for him right now, he\xc2\x92s still in\nhis sweat pants, that\xc2\x92s still Phase One. Y'know? I\xc2\x92ll be back for Phase Two, I\nwould never miss Phase Two."
Monica	 What\xc2\x92s Phase Two?'
Joey	 Gettin\xc2\x92 drunk and going to a strip club. '
Rachel	 How does going to a strip club help him better?'
Ross	 Because there are naked ladies there.'
Joey	 Which helps him get to Phase Three, picturing yourself with other women.'
Ross	 There are naked ladies there too.'
Joey	 Yeah.'
Chandler	 (opening the bathroom door and kicking out the chick and duck) Would\nyou give me one minute!! Please.'

Joshua	 So, these will match the jacket you picked out for me last week?'
Rachel	 Um-hmm. (Joshua turns to look in the mirror and leaves Rachel staring at\nhis ass.) There we go. There it is.'
Joshua	 (turning around) Oh! You know what I need? '
Rachel	 Yeah!'
Joshua	 Gloves. Brown, leather dress gloves.'
Rachel	 Oh, okay. Uhh, well let\xc2\x92s see. (Grabs his hand.) You\xc2\x92re\nabout\xc2\x97well uh, this one is large. And this one\xc2\x97(Grabs the other hand.)'
Joshua	 Also large?'
Rachel	 Yeah! Okay, two larges coming right up!'
Joshua	 Okay.'
Mr. Waltham	 (entering) Rachel! Could I have a moment?'
Rachel	 Yes.'
Mr. Waltham	 I-I was wondering, my niece you see is in from London\xc2\x97well\nShropshire really but y\xc2\x92know\xc2\x97well she\xc2\x92s about your age I say. Anyway I have\ntickets for the opera, Die Fledermaus, and I was wondering if you\xc2\x92d like to keep her\ncompany this evening?'
Rachel	 Sure. You got it. Great! '
Mr. Waltham	 Oh, good.'
Rachel	 Me, Fledermaus, great. I really\xc2\x97(motions to Joshua.)'
Mr. Waltham	 Ohh! Yes of course, thank you, thank you, thank you so very much.'
Joshua	 So\xc2\x85(Holds out his hands as to say, "Where are my\ngloves?")'
Rachel	 So? (She puts her hands in his, totally forgetting about the gloves, and\nhoping for something more intimate.)'
Joshua	 Gloves?'
Rachel	 Ohh! Right! Right, sorry, I\xc2\x92ll be right back!'
Joshua	 Uhh, actually y\xc2\x92know what, I kinda\xc2\x97I have to take off. '
Rachel	 Oh.'
Joshua	 But, I was curious; do you have any plans for tonight?'
Rachel	 No! Nothing!'
Joshua	 I invested in this night-club and it\xc2\x92s opening tonight, would you\nlike to come?'
Rachel	 Yeah! That would be great!'
