Mr. Treeger	 Ohhh, man!!'
Joey	 (coming in from his bedroom) What is that?'
Chandler	 Treeger\xc2\x92s snaking the shower drain.'
Mr. Treeger	 What in the name of hell?'
Joey	 Maybe he found you flip-flop.'
Chandler	 Hey!'
Joey	 Whoa! Is this porn? What did I do? I must\xc2\x92ve hit something on the\nremote.'
Chandler	 Do we pay for this?'
Joey	 No, we didn\xc2\x92t even pay our cable bill\xc2\x97maybe this is how they\npunish us.'
Chandler	 Maybe we shouldn\xc2\x92t pay our phone bill\xc2\x97free phone sex.'
Joey	 Maybe we shouldn\xc2\x92t pay our gas bill? (Stops and thinks about what he\njust said.)'
Mr. Treeger	 (coming in from the bathroom) Whoa, hey, that lady\xc2\x92s all kinds\nof naked.'
Chandler	 Yeah, Joey just pressed something on the remote and it just, came on!'
Mr. Treeger	 Yeah, it happened to me once. I was just flipping through the\nchannels and bam! It was like finding money.'
Chandler	 Like finding money with naked people on it!'
Mr. Treeger	 Then I made the mistake of turning off the TV, I never got it back\nagain. And I\xc2\x92m sad. (Exits.)'
Joey	 (to Chandler) Why would he turn off the TV? (Chandler shrugs.)'

Rachel	 All right, y\xc2\x92know what, come on, do we really have to watch this\nwhile we eat? (She makes a move for the remote.)'
Chandler	 We don\xc2\x92t know what could make this go away.'
Joey	 Yeah, so no one touches the remote. And no one touches the TV!'
Chandler	 And no one touches the air around the TV!'
Joey	 Imagine a protective porn bubble if you will, okay?'
Monica	 Well at least, I\xc2\x92m going to mute it.'
Chandler	 We still have porn.'
Joey	 Hey.'
Phoebe	 (entering, carrying her massage table) Hi!'
Monica	 Hi!'
Rachel	 Honey, what are you doing? That\xc2\x92s too heavy.'
Phoebe	 Yeah.'
Rachel	 Give it here. (She takes the table.) Oh, God. (And gives it to Monica\nright away.)'
Monica	 Okay.'
Phoebe	 Ohh, I\xc2\x92m getting too pregnant for this, lugging around a stupid\nmassage table. Y\xc2\x92know, I have to find a job where I carrying a smaller table. (She\ngoes over and stands in front of the TV.)'
Chandler	 Or a job where you don\xc2\x92t have to carry a table.'
Phoebe	 You mean like a doctor?'
Joey	 Pheebs! You\xc2\x92re blocking the porn! Look out!'
Phoebe	 Ohh! (She moves.) Oh my. Oh, that reminds me, I have to see my OB-GYN\ntoday.'
Ross	 Hi.'
Monica	 Hi.'
Ross	 So uh, Emily just went to the airport.'
Monica	 Oh. Why didn\xc2\x92t you take her?'
Ross	 Eh, her-her uncle already had planned on doing it. And y\xc2\x92know, we-we\nsaid our good-byes this morning, so\xc2\x85'
Monica	 You must feel horrible. Hey! The guys have free porn!'
Ross	 (Thinks about it.) Nah.'
Monica	 Hey, cheer up! You\xc2\x92re gonna see her again, right?'
Ross	 Well I, that\xc2\x92s the thing, I don\xc2\x92t know! I mean, whenever I\nbrought it up with her she said, (In a British accent.) "This is so fantastic! Why do\nwe have to talk about the future? Let\xc2\x92s just enjoy\xc2\x85"'
Monica	 (interrupting him) No-no-no, don\xc2\x92t-don\xc2\x92t do the accent.\nYou\xc2\x92ve got to see her again.'
Ross	 And why do you care so much?'
Monica	 Because! You could get to live out my fantasy!'
Ross	 You had fantasies about Emily?'
Monica	 No! Y\xc2\x92know, the fantasy! Meet someone from a strange land,\nfall in madly love, and spend the rest of your lives together.'
Ross	 Is that why in junior high you were the only one that hung out with that\nUkrainian kid?'
Monica	 Yeah that, plus his mom used to put sour cream on everything!'
Ross	 Ahh.'
Monica	 Do you love her?'
Ross	 We said it was only going to be two weeks, y\xc2\x92know?'
Monica	 You love her!'
Ross	 What-what is love really?'
Monica	 Ohhh, I knew you loved her! Then you need to go to the airport\nand tell her. You\xc2\x92re probably just gonna catch her just as she\xc2\x92s about to go to\nthe gate. You\xc2\x92re gonna call out her name and say, "I love you!" And\nshe\xc2\x92s gonna say, "I love you, too!" And you guys are going to have the most\namazing kiss, everyone at the gate will applaud.'
Ross	 I am a good kisser.'
Monica	 Then you two can, can sneak into the cockpit, and things will start to\nheat up, and then a stewardess comes in\xc2\x85 (Ross looks at her.) I\xc2\x92ve been watching\ntoo much porn.'
Rachel	 Is that the heartbeat?'
The Doctor	 That\xc2\x92s it.'
Phoebe	 Oh my God!'
