Phoebe	 Hey!'
Chandler	 Hey! Wow, it is true what they say, pregnant bellies look like\na drum.'
Phoebe	 (not amused) Ha-ha. (She sits down on the couch.) No, it\xc2\x92s just\nI\xc2\x92m so pregnant that I\xc2\x97my guitar doesn\xc2\x92t fit anymore. So I thought\n\xc2\x91til I\xc2\x92m not, I\xc2\x92m just gonna play all my songs on this drum. It sounds really\ncool!'
Chandler	 All right.'
Phoebe	 Listen. Listen. (She starts to play and sing.) Smelly cat, smelly\ncat, what are they feeding you? '
Joey	 Wow, Pheebs! That sounds great!'
Phoebe	 I know! I know, and I\xc2\x92ve only been playing for like an hour!'
Alice	 (entering) Phoebe! Phoebe! Hi! Hi!'
Phoebe	 Hey! What are you doing here?'
Alice	 Umm, actually, I came down to ask you a big favour.'
Phoebe	 Oh, well, don\xc2\x92t tell me you want to keep more of your stuff in my\nuterus.'
Alice	 (laughs) No. No. No. (Sits down.) Okay, now, see, I wanna name the girl\nbaby Leslie, and Frank wants to name one of the boy babies Frank JR. JR. '
Chandler	 Wouldn\xc2\x92t that be Frank the III?'
Alice	 Don\xc2\x92t get me started. (To Phoebe) Anyway, umm, since there are three\nbabies and umm, we both got to put our names in, we would be truly honoured if you named\nthe other boy baby.'
Phoebe	 Wow! That\xc2\x92s so great! Oh! Oh! Cougar.'
Alice	 You think about it. (Leaves)'

Emily	 I left a bra drying on the shower rod, you don\xc2\x92t think your son will\nthink it\xc2\x92s yours and be horribly traumatised? '
Ross	 Hey, if mommy can have a wife, daddy can have a bra.'
Emily	 (checks the clock) Ohh, it\xc2\x92s time to go.'
Ross	 Oh, no-no-no, see, that-that clock\xc2\x92s a little fast, uh, we have 17\nminutes. Huh, what can we do in 17 minutes? Twice?'
Emily	 Well that\xc2\x92s ambitious.'
Ross	 Hey, uh, you can ignore that.'
Emily	 That\xc2\x92s Carol with your son!'
Ross	 Uhh, believe me when he\xc2\x92s older, he\xc2\x92ll understand.'
Carol	 (knocking on the door) Ross!'
Ross	 I\xc2\x92ll be right there. (He goes over and opens the door to Carol,\nSusan, and Ben.) (To Ben.) Hello! (To Carol.) Hello! (To Susan.) Hey. Uhh, Emily, this is\nCarol and Susan.'
Susan	 Hey, it\xc2\x92s so nice to finally meet you!'
Emily	 Me too!'
Carol	 Ohh, y\xc2\x92know, Susan\xc2\x92s gonna be shooting a commercial in London\nnext week.'
Susan	 Oh yeah, I\xc2\x92m so excited, I\xc2\x92ve never been there.'
Emily	 Oh, well, I\xc2\x92ll show you around.'
Susan	 That would be great! Also, uh, I was hoping to catch a show so if you can\nmake any suggestions\xc2\x85'
Emily	 Oh, there\xc2\x92s tonnes of terrific stuff\xc2\x97I\xc2\x92ll go with you!'
Susan	 Ahh!'
Ross	 Look at you two, bonding, making us late for the airport so\xc2\x85'
Emily	 Are you all right?'
