The Singing Man	 (singing, duh) Morning\xc2\x92s here! Sunshine is here! The sky\nis clear, the morning\xc2\x92s here! The morning\xc2\x92s here!'
Rachel	 HEY!! Do you have to do that? It\xc2\x92s Saturday!'
The Singing Man	 Oh come on! Morning\xc2\x92s here! (Starts singing)\nMorning\xc2\x92s here! The morning is here! Sunshine is here!'
Rachel	 I hate this apartment! I hate the color of these walls! I hate\nthe fact that this place still smells like bird! I hate that singing guy!'
Joey	 Are you kidding? I love that guy! (Starts singing) Morning\xc2\x92s here!\nMorning is here\xc2\x97'
Rachel	 Stop it! I will kill you. I hate the fact that my room is so small.'
Monica	 Hey, I have all the space I need. Just do what I did.'
Rachel	 Monica, you don\xc2\x92t even have a bed, you sleep in a ball on the\nfloor!'
Monica	 Y\xc2\x92know what? I am really tired of your bellyaching! Okay,\nI-I worked really hard at making this a nice place for us to live!'
Rachel	 I\xc2\x92m sorry. I\xc2\x92m so sorry.'
Monica	 Okay.'
Joey	 See, this is a great apartment.'
Monica	 Shut up! This place is a hole!'

Emily	 Oh, blimey, I still can\xc2\x92t believe you\xc2\x92ve got an earring!'
Ross	 Huh? I know, I know. Who am I? David Bowe? (Shakes his head around,\npretending like he\xc2\x92s jamming.)'
Emily	 He does that?!'
Ross	 Uh, I don\xc2\x92t know, whatever.'
Emily	 I think it makes you look really dangerous.'
Ross	 Oh, I know. Y\xc2\x92know what, I never would\xc2\x92ve gotten this if it\nweren\xc2\x92t for you. No really, when I\xc2\x92m with you I\xc2\x92m-I\xc2\x92m like this whole\nother guy, I love that guy! I mean, I love you too, a lot, but that guy! I-I love\nthat guy!'
Emily	 I love both of you!'
Ross	 Yeah?'
Emily	 I wish I didn\xc2\x92t have to go.'
Ross	 Then don\xc2\x92t. Stay here. Just don\xc2\x92t go so soon to London, just one\nmore day.'
Emily	 Ohh, Ross, please!'
Ross	 One more day, seriously/'
Emily	 Don\xc2\x92t do this to me, again. You\xc2\x92d know I\xc2\x92d stay here in a\nminute, but I\xc2\x92d really miss so much work, they\xc2\x92ll fire me.'
Ross	 So, then you can stay as long as you want.'
Emily	 I wish I could.'
Ross	 Oh no. Don\xc2\x92t, don\xc2\x92t, don\xc2\x92t start packing. Come on! (She\nputs some clothes into her bag, and Ross throws them out.)'
Emily	 I don\xc2\x92t think you understand packing. Look, I just don\xc2\x92t want\nto leave it to the last minute. Last time I left in such a rush, I left my knickers here.'
Ross	 Yeah, I know, I uh, I tried them on.'
Emily	 You didn\xc2\x92t!'
Ross	 No. No, I didn\xc2\x92t. I didn\xc2\x92t want to be that guy.'
Phoebe	 (entering, wearing Santa pants) Hello!'
Chandler	 Ho! Ho! Ho!'
Phoebe	 Excuse me.'
Chandler	 Your pants!'
Phoebe	 Oh, yeah! You like \xc2\x91em? I just, I went to a used clothes store and\ngot a bunch of maternity stuff. These are sooo comfortable!'
Joey	 Uhh, Pheebs, those are uh, those are Santa pants.'
Phoebe	 What?'
Chandler	 Santa pants. (Phoebe still doesn\xc2\x92t get it.) Santa Claus\xc2\x92s\npants.'
Phoebe	 Nuh-uh! They\xc2\x92re maternity pants. They even came with a list of baby\nnames. (Pulls out a sheet of paper which lists who\xc2\x92s been naughty and who\xc2\x92s been\nnice.) See, these names are good, and these names are bad. (Finally, she figures it out.)\nOhh.'
Rachel	 (entering) Hey!'
Monica	 (entering) Hey!'
Rachel	 So\xc2\x97Hey, Pheebs! So, how are the elves?'
Phoebe	 I don\xc2\x92t know! How are the-the-the-the, y\xc2\x92know\xc2\x97You\xc2\x92re\nclothes aren\xc2\x92t funny.'
Monica	 Hey, guys, what-what should I wear to a Knicks game?'
Chandler	 Uhh, a T-shirt that says, "I don\xc2\x92t belong here."'
Joey	 You have Knicks tickets?'
Rachel	 Yeah, my mom got my dad\xc2\x92s season tickets in the divorce, so she\njust gave them to me.'
Monica	 Yeah, apparently, they\xc2\x92re pretty good seats.'
Rachel	 Yeah.'
Joey	 (examining the tickets) Oh my God! Those are almost right on the floor!'
Rachel	 Do you guys want these?'
Chandler	 Yeah we do!'
Rachel	 Ohh, well you got \xc2\x91em.'
Rachel	 Just give us our apartment back!'
