Written by	 Seth Kirkland\nTranscribed by
Chandler	 Y\xc2\x92know what? It seems like all of the sudden; so much has\nhappened.'
Joey	 I know. Ross is getting married.'
Chandler	 Phoebe is, making people.'
Joey	 Everybody\xc2\x92s doing stuff!'
Chandler	 And we just sit here. I mean if I die the only way people would even\nknow I was here, would be by the ass print on this chair! Look, we have to do something.\nOkay? Something huge!'
Joey	 (snaps his fingers) We could climb Mt. Everest!'
Chandler	 No-no, not something stupid, something huge.'
Joey	 No-no-no-no-no, I saw an ad for this video, people climb that thing\neveryday! We could totally do that!'
Chandler	 Why not?! I mean it\xc2\x92s just, it\xc2\x92s just climbing! It\xc2\x92s\njust, it\xc2\x92s just steep!'
Joey	 Yeah!'
Chandler	 We\xc2\x92re going to Everest! Okay, it would be nice to leave an ass\nprint on Everest!'
Phoebe	 (entering) Hey!'
Joey	 Hey!'
Phoebe	 What-what\xc2\x92s up?'
Joey	 We\xc2\x92re gonna climb Mt. Everest!'
Chandler	 Yeah baby!'
Phoebe	 Really?! I looked into that. Yeah, but, I mean it costs like $60,000 and\ny\xc2\x92know you can die. And, you would die!'
Chandler	 (dejected) Yeah, well\xc2\x85'
Joey	 We could get that Everest video though.'
Chandler	 Yeah, we could do that without y\xc2\x92know risking our lives at all!'
Joey	 And while we\xc2\x92re down at the video store, you know what else we could\nrent? Die Hard! (Chandler\xc2\x92s excited.) Oh, y\xc2\x92know what? I just remembered,\nthat Everest thing is only available through mail order.'
Chandler	 (dejected) Oh, well\xc2\x85'
Phoebe	 So you guys\xc2\x92ll stay here and hang out with me?'
Chandler	 Yeeeeahhhh.'
Joey	 Yeah. Yeah.'
Chandler	 But I\xc2\x92ll tell you something. One of these days we\xc2\x92re get off\nof our buts and rent Die Hard again!'
Joey	 Yeah we are!'

Emily	 So what did he decide? Does your Uncle Nathan get an invite or not?'
Ross	 Ohh, God, nobody likes him, and he\xc2\x92s so cheap, he\xc2\x92d never fly to\nLondon in a million years. Yeah, invite him? Hey, did I do these neat enough? (Hands her\nsome envelopes.)'
Emily	 Yeah, they\xc2\x92re fine.'
Ross	 Yeah?'
Emily	 If anyone asks, we\xc2\x92ll just say Ben addressed them. (Looking through\nthe envelopes.) Oh! So you invited Rachel then?'
Ross	 Sure. Why not?'
Emily	 Really?'
Ross	 Yeah?'
Emily	 I don\xc2\x92t think I\xc2\x92d be comfortable with any of my old lovers\nthere.'
Ross	 Wait-wait-wait, do you, do you think, maybe we shouldn\xc2\x92t invite her?'
Emily	 Oh, no-no, y\xc2\x92know I absolutely adore Rachel it\xc2\x92s just that,\nwell it might be a awkward for you. But it\xc2\x92s absolutely your decision. (Gets up.)\nMore tea?'
Ross	 Yeah sure.'
Emily	 Earl Grey?'
Ross	 Huh? Yeah, fine, invite whoever you want.'
Ross	 I don't want to be single, okay? I just... I just- I just wanna be married\nagain!"
Chandler	 And I just want a million dollars! (He extends his hand hopefully.)'
Monica	 Rachel?!'
Rachel	 Oh God Monica hi! I just went to your building and you weren't there and\nthen this guy with a big hammer said you might be here and you are, you are!"
Monica	 Okay, everybody, this is Rachel, another Lincoln High survivor. (To\nRachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my\nbrother Ross? '
Rachel	 Hi, sure!'
Ross	 Hi. '
Ross	 You know you probably didn't know this, but back in high school, I had a,\num, major crush on you."
Rachel	 I knew.'
Ross	 You did! Oh.... I always figured you just thought I was Monica's geeky\nolder brother."
Rachel	 I did.'
Ross	 Oh. Listen, do you think- and try not to let my intense vulnerability\nbecome any kind of a factor here\xc2\x97but do you think it would be okay if I asked you\nout? Sometime? Maybe?'
Rachel	 Yeah, maybe...'
Ross	 Okay... okay, maybe I will...'
Ross	\xc2\xa0 See, I see.... big passion in your future.'
Rachel	 Really?'
Ross	 I do.'
Rachel	 Oh Ross, you're so great. [she playfully rubs his head and gets up]"
Joey	 It's never gonna happen."
Ross	 Hey, I have a question. Well, actually, it's not so much a question as..\nmore of a general wondering... ment."
Rachel	 Okay.'
Ross	 Okay. Umm, for a while now, I've been wanting to, um...."
Rachel	 Ohhh!!!! [looking at something behind Ross]'
Ross	 Yes, yes, that's right..."
Rachel	 Oh, look at the little cat! [a small kitten is on the roof behind Ross]\nLook at it!'
Ross	 What? [the cat jumps on his shoulders] Ow!'
Monica, Joey, and Phoebe	 [singing] I'm on top of the world,\nlooking down on creation and the only explanation I can find..."
Rachel	 All right, listen, missy. If you want this cart, you're gonna have to\ntake me with it! "
Rachel	 (to Ross) Yes! Did you see that?'
Ross	 You were incredible! Brand new woman, ladies and gentlemen.'
Rachel	 I could not have done this without you.'
Ross	 Ok, um, uh, more clothes in the dryer? (Ross turns and bangs his head on\nan open dryer door.) I'm fine, I'm fine."
Ross	 You had no right to tell me you ever had feelings for me.'
Rachel	 (hurt) What?'
Ross	 I was doing great with Julie before I found out about you.'
Rachel	 Hey, I was doin' great before I found out about you. You think it's easy\nfor me to see you with Julie?"
Ross	 The point is I... I don't need this right now, OK. It, it's too late, I'm\nwith somebody else, I'm happy. This ship has sailed."
Rachel	 Alright, fine, you go ahead and you do that, alright Ross.'
Ross	 Fine.'
Rachel	 'Cause I don't need your stupid ship."
Ross	 Good.'
Rachel	 Good. (Ross leaves)'
Rachel	 Ross do you realise this is the first time in my life I\xc2\x92m doing\nsomething I actually care about. This is the first time in my life I\xc2\x92m doing\nsomething that I\xc2\x92m actually good at. I mean. if you don\xc2\x92t get that...'
Ross	 No, hey, I get that, okay, I get that big time. And I\xc2\x92m happy for ya,\nbut I\xc2\x92m tired of having a relationship with your answering machine! Okay, I\ndon\xc2\x92t know what to do anymore.'
Rachel	 Well neither do I!'
Ross	 Is this about Mark?'
Rachel	 (shocked) Oh my God.'
Ross	 Okay, it\xc2\x92s not, it\xc2\x92s not.'
Rachel	 Oh my God. I cannot keep having this same fight over and over again,\nRoss, no, you\xc2\x92re, you\xc2\x92re, you\xc2\x92re making this too hard.'
Ross	 Oh I\xc2\x92m, I\xc2\x92m making this too hard. Okay, what do you want me to\ndo.'
Rachel	 I don\xc2\x92t know, I don\xc2\x92t know. Urrrgh! Look, maybe we should take\na break.'
Ross	 Okay, okay, fine, you\xc2\x92re right. Let\xc2\x92s ah, let\xc2\x92s take a\nbreak, (goes to the door) let\xc2\x92s cool off, okay, let\xc2\x92s get some frozen yogart, or\nsomething.. (opens the door)'
Rachel	 No. (Ross is standing in the doorway.) A break from us.'
Chloe	 Do I know why we\xc2\x92re rushing?'
Ross	 Yeah, y'know the ah, the girlfriend I told you about last night?\n(He\xc2\x92s frantically throwing the cushions off of the couch looking for her other shoe)\nWell it turns out she ah, she wants to get back together with me. Oh, I found it!! "
Chloe	 That\xc2\x92s so great for you guys!'
Ross	 Yeah! '
Chloe	 Good luck, with your girlfriend. '
Ross	 Oh, thank you. (She goes to kiss him, but he holds her coat up between\ntheir faces to stop her.) Hey, hey. (opens the door, sees Rachel, and hides Chloe behind\nthe door) Rachel!!!!'
Rachel	 Hi. Ohhh, you got my message.'
Ross	 Yeah, oh hey, you are right on time.'
Rachel	 So what do you say? Can I be your girlfriend again?'
Ross	 Yes, you can, very much.'
Ross	 (seeing the thumbs up) Ahhhh!! (Hugs Rachel tighter.)'
Rachel	 (opening the door) Y'know what, I want you to leave! Get outta here! "
Ross	 No!!'
Rachel	 Just get out! Now!!'
Ross	 No!! No!! I wanna stay. I wanna talk about this.'
Rachel	 Okay! All right! How was she?'
Chandler	 Uh-oh.'
Ross	 What?'
Rachel	 Was she good?'
Joey	 Don\xc2\x92t answer that.'
Rachel	 Come on Ross! You said you wanted to talk about it, let\xc2\x92s talk\nabout it!! How was she?'
Ross	 She was...'
Joey	 Awful! Horrible!'
Chandler	 She was not good. Not good.'
Joey	 She was nothing compared to you.'
Ross	 She, she was different.'
Joey	 Ewwwww!'
Chandler	 Uh-oh.'
Rachel	 Good different?'
