Phoebe	 (angrily) That\xc2\x92s like the tenth time I\xc2\x92ve peed since I\xc2\x92ve\nbeen here!'
Monica	 That\xc2\x92s also like the tenth time you told us.'
Phoebe	 Yeah, oh I\xc2\x92m sorry, it must be really hard to hear! I tell ya,\nit\xc2\x92s a lot easier having three babies play Bringing in the Noise, Bringing in da Funk\non your bladder! I\xc2\x92m so sick of being pregnant! The only happiness I get is from a\ncup of coffee, which of course is decaf, \xc2\x91cause\xc2\x97Oh! I\xc2\x92m pregnant!'
Ross	 Pheebs, did\xc2\x85you want a cookie?'
Phoebe	 (starting to cry) Thank you so much.'
Rachel	 So uh, Pheebs, honey, how are those mood swings coming?'
Phoebe	 I haven\xc2\x92t really had any yet.'

Ross	 Hey guys!'
Chandler	 Hey.'
Joey	 Hey!'
Ross	 All right, here\xc2\x92s the ring. (Shows Chandler the wedding ring he plans\non giving Emily) '
Chandler	 (shocked) Yes! Yes! A thousand times, yes!'
Ross	 So uh, any ideas for the bachelor party yet?'
Joey	 Whoa-whoa-whoa! Before you start handing out wedding rings and planning\nbachelor parties, don\xc2\x92t you have to decide who your best man is gonna be?'
Chandler	 Oh, it\xc2\x92s awkward. It\xc2\x92s awkward. It\xc2\x92s awkward.'
Ross	 I sort\xc2\x92ve already asked Chandler.'
Joey	 What?! He got to do it at your first wedding!'
Ross	 Joey, I figured you\xc2\x92d understand. I mean, I-I\xc2\x92ve known him a lot\nlonger.'
Joey	 Come on Ross! Look, I-I don\xc2\x92t have any brothers; I\xc2\x92ll never get\nto be a best man!'
Chandler	 You can be the best man when I get married.'
Joey	 (pause) I\xc2\x92ll never get to be a best man!'
Ross	 (to Chandler) Wait-wait, so, you get to be my best man twice and I never\nget to be yours at all?'
Chandler	 Oh no-no-no, you\xc2\x97yeah, of course you get to be my best man.'
Joey	 (impatiently tapping Chandler on the shoulder) What about me?! You-you\njust said I could!'
Chandler	 I\xc2\x92m not even getting married! Okay, this is a question for\nscience fiction writers!'
Joey	 I can\xc2\x92t believe you\xc2\x92re not picking me.'
Ross	 Hey, how can it not be me?!HeyHey!'
Chandler	 I\xc2\x92m not even\xc2\x85 I\xc2\x92m not even\xc2\x85'
Ross	 Fine, y\xc2\x92know what, that\xc2\x92s it. From now on, Joey, I want you to\nbe my best man.'
Joey	 Yes! (to Chandler) Shame about you man.'
Phoebe	 (to her babies) Stop it!'
Monica	 What?'
Phoebe	 One of the babies is kicking.'
Monica	 I thought that was a good thing.'
