Monica	 Guys, hurry up! The flight leaves in four hours! It could take time to\nget a taxi! There could be traffic! The plane could leave early! When we get to London,\nthere could be a line at customs! Come on!! (She runs back to her apartment.)'
Chandler	 Six-hour trip to London. That\xc2\x92s a lot of Monica.'
Monica	 Passport, check! (As she puts away each item, she says check.) Camera,\ncheck! Traveller\xc2\x92s cheques, check! '
Rachel	 Who are you saying "check" too?'
Monica	 Myself. Y\xc2\x92know for remembering to pack a thing. Yeah, you do a good\nthing, you get a check! (pause) My mom does it, I never realized it was weird.'
Phoebe	 Yeah, my mom used to put her head in the oven. Well, actually, she only\ndid it the one time. But it was pretty weird.'
Ross	 (entering) Hey!'
Monica	 Hey!'
Ross	 Hey! Are you ready yet?'
Monica	 Yep! You got the tickets?'
Ross	 Oh! Got \xc2\x91em right here, (Pats his coat pocket) check!'
Joey	 It\xc2\x92s all London, baby! Here we go. (He takes a picture of a less than\nenthused Chandler and starts towards the girls\xc2\x92 apartment.)'
Chandler	 You got your passport?'
Joey	 Yeah, in my third drawer on my dresser. You don\xc2\x92t want to lose that.'
Joey	 Ohh!! (Runs to his room.)'
Chandler	 There it is.'

Monica	 Okay, if you need the vacuum, it\xc2\x92s in my closet on the left-hand\nside. Ah, the garbage bags are next to the refrigerator\xc2\x85'
Phoebe	 Okay, okay, but Rachel\xc2\x92s gonna be here too, can\xc2\x92t I just ask\nher this stuff?'
Monica	 Yeah, okay, give that a try!'
Chandler	 (entering, with Joey) All right! Let\xc2\x92s do it!'
Joey	 Woo-hoo!!'
Ross	 Yeah, cheerie-o! '
Joey	 London baby!'
Chandler	 Okay, \xc2\x91cause that\xc2\x92s not gonna get annoying.'
Joey	 (louder) London baby!!'
Chandler	 Hey, y\xc2\x92know what? I was wrong.'
Ross	 Well, we\xc2\x92re all here! I guess we should get going!'
Phoebe	 Ohhh, I wanna come over there and give you a hug and wish you luck on\nyour wedding, but I don\xc2\x92t\xc2\x97can\xc2\x92t get up.'
Ross	 Oh, I\xc2\x92ll-I\xc2\x92ll come hug you.'
Phoebe	 Great! Yeah, could you bring me the newspaper?'
Ross	 Yeah. (He does so and Phoebe hugs him.)'
Phoebe	 Oh, have a great wedding!'
Ross	 Thanks.'
Phoebe	 Oh, hey, Chandler I wanna hug you too!'
Chandler	 Hey! (Trots over)'
Phoebe	 Oh, and great! You might as well bring me my book, it\xc2\x92s on the\ncounter in your apartment.'
Chandler	 Oh. (Goes and gets Phoebe\xc2\x92s book as Rachel comes in from her\nroom.)'
Ross	 (to Rachel) So, we\xc2\x92re off.'
Rachel	 Have fun!'
Ross	 Thanks! (They hug.) Ugh, I can\xc2\x92t believe you\xc2\x92re not gonna be\nthere!'
Rachel	 Oh, I know.'
Ross	 So-so come! Why don\xc2\x92t you come?'
Rachel	 What?!'
Ross	 To London! Come to London. Please? It\xc2\x92ll mean so much to me.'
Rachel	 Yeah, well, I gotta work, I\xc2\x92m sorry.'
Ross	 Why-why can\xc2\x92t you take a couple of days off?'
Rachel	 Because, I can\xc2\x92t! Ross, I told you, no. I can\xc2\x92t.'
Ross	 This is my wedding.'
Monica	 All right, y\xc2\x92know what? We really are late! Let\xc2\x92s go!\nLet\xc2\x92s go! Let\xc2\x92s go!!'
Ross	 Fine. You\xc2\x92ll-you\xc2\x92ll watch it on video when we get back.'
Chandler	 (entering, with Phoebe\xc2\x92s book.) Here you go Phoebe! Here you go\nPhobo! Phewbedo! Phaybobo.'
Phoebe	 (laughs) Thank you.'
Phoebe	 Thank you. (She pats him on his head.)'
Ross	 All right, let\xc2\x92s go! Bye, Pheebs!'
Joey	 Bye, Pheebs!'
Joey	 London baby!! (And Rachel slowly closes the door, sadly.)'
Phoebe	 Oh, do you need a hug? You don\xc2\x92t have to bring me anything!'
Joey	 Come on! Do something!'
Chandler	 I am, I\xc2\x92m ignoring you.'
Joey	 Okay, here! (Gives him the camera.) I wanna be the on camera guy. All\nright, first stop, Westminster Abbey. (Joey folds out his "pop-up" map of\nLondon. All of the major landmarks pop-up like in a pop-up book.)'
Chandler	 Oh, what the hell is that?'
Joey	 It\xc2\x92s London, baby! All right, the hotel\xc2\x92s here. (Points to the\nmap.) Wait. No, we wanna go\xc2\x85 No. I know. (Sets the map down.) I\xc2\x92m gonna have to\ngo into the map. (So Joey literally steps into the map.)'
Chandler	 Okay, if you see a little version of me in there? Kill it!'
Joey	 I got it! (Picks up the map and starts walking.) Here we go.'
Chandler	 Okay. Listen-listen, we\xc2\x92re not gonna have to walk this way the\nentire time are we?'
Joey	 Shhh! (Pause) Man, you made me lose it! (He goes into the map again.)'
