Minister	 Friends. Family. We are gathered to celebrate here today the joyous\nunion of Ross and Emily. (Time lapse) Now Ross, repeat after me. I Ross...'
Ross	 I Ross...'
Minister	 Take thee, Emily...'
Ross	 Take thee, Rachel...(All his friends have looks of shock on their faces.\nHe realizes what he said. Quickly he says.) Emily. (A slight chuckle.) Emily.'
Minister	 (Looking and feeling awkward. he looks towards Emily.) Uhh...Shall I\ngo on?'
Rachel	 (To the woman sitting in front of her) He-he said Rachel, right? Do you\nthink I should go up there?'
Emily	 Yes, yes, do go on.'
Minister	 I think we\xc2\x92d better start again. Ross, repeat after me. I,\nRoss\xc2\x85'
Ross	 I, Ross\xc2\x85'
Minister	 Take thee, EM-I-LY\xc2\x85'
Ross	 Take thee, (Glares at the Minister) Emily. (Chuckles) Like\nthere\xc2\x92d be anybody else. (Emily is glaring at him.)'
Minister	 As my lawfully wedded wife, in sickness and in health, till death\nparts us.'
Ross	 As my lawfully wedded wife, in sickness and in health, until death parts\nus. Really, I do. Emily. (Points at her.)'
Minister	 May I have the rings? (He is given the rings) Emily, place this ring\non Ross\xc2\x92s finger as a symbol of your bond everlasting. (She jams the ring onto his\nfinger) Ross, place this ring in Emily\xc2\x92s hand as a symbol of the love that encircles\nyou forever.'
Ross	 Happy too.'
Minister	 Ross and Emily have made their declarations and it gives me great\npleasure to declare them husband and wife.'
Ross	 Yay!'
Minister	 You may kiss the bride.'
Mrs. Geller	 (To Mr. Geller) This is worse than when he married the lesbian.'
Emily	 Just keep smiling.'
Ross	 Okay.'
Joey	 Well, that went well. Yeah.'
Chandler	 It could\xc2\x92ve been worse, he could\xc2\x92ve shot her.'
Ross	 (laughs) That uh, that was pretty funny. Wasn\xc2\x92t it?'

Emily	 (Yelling from inside the bathroom) You\xc2\x92ve spoiled everything!\nIt\xc2\x92s like a nightmare! My friends and family are out there! How can I face them?! How\ncan you do this to me?!'
Joey	 (To the gang) Hey, no matter what happens with Ross and Emily, we still\nget cake right?'
Ross	 (exiting the bathroom) That-that-that\xc2\x92s all right, no honey, you take\nyour time sweetie. I\xc2\x92ll be right out here. (She slams the door in his face, to the\ngang) She\xc2\x92s just fixing her makeup.'
Emily	 I hate you!!'
Ross	 And, I love you!! (He walks into the living room)'
Mr. Geller	 Boy, bad time to say the wrong name, huh Ross?'
Ross	 That\xc2\x92s true, thanks dad. (To All) People should be dancing! Huh? Hey,\nthis is a party! Come on! Joey, dance!! (He starts to dance but stops when no one else\njoins him.)'
Mrs. Waltham	 Yes, Waltham interiors.'
Phoebe	 (On the phone, in New York) Uh, hello, this is Ross Geller\xc2\x92s\npersonal physician, Dr. Philange.'
