Monica	 You look cute in bubbles.'
Chandler	 Ehh, you're just liquored up."
Joey	 Hey, it's me! I'm comin' in!"
Chandler	 I've had a very long, hard day."
Joey	 Ahh, I'm gonna go get some chicken. Want some?"
Chandler	 Ahh, no thanks. No chicken, bye-bye then.'
Joey	 Okay.'
Joey	 You sure? Some extra crispy? Dirty rice? Beans?'
Chandler	 For the last time no! Get out! Get out, Joey!'
Joey	 All right!'
Chandler	 Are you okay? I'm so sorry, he wouldn't leave. He kept asking me about\nchicken."
Monica	 Chicken? I could eat some chicken.'
Chandler	 Hey Joe!'
Chandler	 Yeah, can I get a 3-piece, some cole slaw, some beans, and a\nCoke-(Yelps in '

Phoebe	 (entering) Hey!'
Chandler	 Hey, Pheebs!'
Joey	 Mornin' Pheebs!"
Phoebe	 I have to tell you this story. Okay, I was coming over here and this\ndriver\xc2\x85'
Joey	 (interrupting) Was his name Angus? (Monica and Chandler laugh.)'
Phoebe	 What?'
Joey	 Oh, he was this cab driver we had in London.'
Phoebe	 Oh. Ha-ha-ha. All right, anyway\xc2\x85'
Monica	 Wait, what that place, that pub he took us too?'
Chandler	 Uh, The Wheatsheaf.'
Joey	 Yeah-yeah-yeah, and they had that beer! That uh\xc2\x85'
Monica	 Bodington's!"
All	 Bodington's! Woohoo! (And they all high-five each other.)"
Chandler	 Ooh! Ahh, Pheebs, was gonna tell a story.'
Phoebe	 Yeah, so, he had a really funny hat\xc2\x97I don't want to talk about it."
Ross	 (entering) Hey!'
All	 Hey!'
Joey	 Hey, Ross, Bodington's!"
Ross	 Yeah! (They high-five.)'
Joey	 That was good beer.'
Ross	 Ohh\xc2\x85'
Joey	 Y'know, I'd walk back to London for another frosty one of those bad\nboys."
Ross	 Y'know, I think they have those at that British pub near the trade center."
Joey	 Later! (Exits.)'
Ross	 Isn't Rachel supposed to be back by now?"
Monica	 Yeah, but her plane got delayed in Athens. But actually, (Checks watch)\nshe should be here by now.'
Ross	 Oh, so-so you talked to her. Did she, did she sound mad?'
Monica	 No, but she likes me. You abandoned her on a plane to Greece.'
Ross	 Okay, I did not abandon Rachel! Okay? Emily showed up at the\nairport! I had to go after her! I mean, I-I did what I had to do! She's my wife!\nRachel is my wife! Y'know\xc2\x97Emily! Emily, is my wife! Man, what is that?"
Phoebe	 So you still hadn't heard from Emily?"
Ross	 No, not since I lost her at the airport.'
Chandler	 I can't believe she can out run you man!"
Ross	 HEY, SHE'S FAST!! OKAY?!! (Chandler is so shocked at Ross's\noutburst that he drops his spoon and backs up) Oh! You-you think you can be beat\nme? Let's go! Outside!!"
Rachel	 (entering) Hi!'
All	 Hey! (They all go hug her, except for Ross.)'
Ross	 Rach, Rach, I am so sorry. I am so-so sorry.'
Rachel	 Oh Ross, come on! You just did what you had to do.'
Ross	 That's it? You're not mad? I mean, it must've been terrible."
Rachel	 Terrible? Hell, I was in Greece! That was a nice hotel! Nice beach, met\nthe nice people. Not to shabby for Rachel. (Goes and puts her luggage away.)'
Ross	 So, what? That's it?"
Rachel	 Well, yeah! We're cool. Totally cool."
Ross	 Oh, thanks. Oh, you're the best. (They hug.)"
Rachel	 Oh no, you're the best."
Ross	 (breaking the hug) Ohh, I gotta go to the flower store! (Runs to the\ndoor.) Check it out, no one will tell me where Emily is, so I'm gonna send 72 long-stem,\nred roses to Emily's parent's house, one for each day that I've known and loved her. That\noughta get her talking to me again."
Chandler	 Oh, Ross, when you make out card; be sure to make it out to, EM-I-LY.'
Monica	 Rach, that's great! It's so good that you had a good time in Greece!"
Rachel	 What?! I didn\'t have a good time in Greece! Ross abandoned me! Okay, I\ncouldn\'t get a plane out, so I had to stay in their honeymoon suite with people coming up\nto me all the time going, "Oh, Mrs. Geller, why are you crying?" I mean, it was\nsooo humiliating. I felt like such an idiot! I mean, it\'s all my fault! And you know why,\nbecause I make very bad decisions.'
Chandler	 Oh that's not true."
Rachel	 Yes it is! It is true! I went, I went after Ross in stupid London.'
Phoebe	 London is stupid! Stupid!'
Rachel	 Phoebe, you were right. I should've never gone to London, and from now\non you make all of my decisions for me."
Phoebe	 Oh\xc2\x85 No, I did that for someone once and I'm not comfortable having\nthat kind of power and control over someone's life."
Monica	 I'll do it!"
Rachel	 That's fine. So Monica, you are now in control of my love life."
Chandler	 Okay, I gotta go to work.'
Chandler	 And uh, Rachel, glad to have you back. '
Chandler	 Pheebs! (He goes over and kisses Phoebe, who is also stunned.) Always\na pleasure. (And he struts out leaving the girls to stare at each other.)'
Monica	 Oh, Rachel, sweetie, look, here's a really cute picture of Joey and you\nat the reception."
Rachel	 Ohh, he's married! Ross is married. I can't\xc2\x97I still can't believe\nit. (Rachel grabs the picture from Monica)"
Monica	 Honey, sweetie, by the edges.'
Rachel	 I mean, y'know I'm just gonna have to accept it (She grabs the rest of\nthe pictures)\xc2\x85"
Monica	 Ohh. (Monica covers her eyes in horror.)'
Rachel	 \xc2\x85I mean it's my fault."
Monica	 Sweetie! Edges! Fingers! Smudgey! Pictures!'
Rachel	 Oh my God! (She licks the top picture and hands them back.)'
Monica	 Okay. That's okay. I-I know that you're very upset right now. I know, I\nknow that wasn't about me."
Joey	 (To Chandler) I bet it was about her a little.'
Monica	 If you would stop thinking about Ross for one minute you would notice\nthat there are great guys everywhere! I mean, look! Look, Gunther! (Gunther turns to\nlisten in.) I mean, he's nice, he's cute."
Rachel	 Yeah, I guess Gunther is kinda\xc2\x85'
Monica	 (Interrupting) Oh, what about that guy over there? (She points at\nanother guy and Gunther is deflated.) Remember? That is the guy you flirted with at\nthe counter that time.'
Rachel	 Oh, I don't know. I don't know."
Monica	 You're going to talk to him! Y'know what? We made a deal, I make your\ndecisions and I say you're going to talk to him."
Rachel	 All right, you're the boss. I guess I gotta do what you tell me."
Joey	 Say that to him and you're golden. (She just glares at him.)"
Phoebe	 (entering) Hey!'
Rachel	 Hey!'
Joey	 Hey, Pheebs!'
Monica	 We got out pictures back from London. (Shows her one.) Here's all of us\nat the Tower of London."
Phoebe	 (Grabs the pictures) Oh! Here we all are! Yeah, there's Ross and\nJoey and you and me. (She picks up a magic marker and draws herself in. Monica can't\nwatch.)"
Chandler	 All right, y'know what, we've been talking about London too much\nhaven't we?"
Phoebe	 No. I'm sorry. It's just 'cause I couldn't be there. 'Cause all I ever\nget to do now is pregnant stuff, it just bums me out."
All	 Sorry.'
Monica	 What happened?'
Rachel	 Well, y'know, a little of this, a little of that. Got myself a date\ntomorrow night."
Monica	 See, didn't I tell you?! You're getting over Ross already!"
Rachel	 Well\xc2\x85'
Gunther	 (To the guy) Get out!'
Monica	 What took you so long?'
Chandler	 I got caught up and work, but I'm quitting tomorrow."
Monica	 Oh, good. '
Chandler	 So, thanks for having me over! Rach. (Goes over, grabs her, and kisses\nher.) Pheebs. (After a moment while he decides how to kiss her around her belly, grabs her\nand kisses her.)'
Joey	 (Jumping out of his way) See ya!! (To the girls.) What the hell was that?!'
Monica	 Probably some y'know, European good-bye thing he picked up in London."
Rachel	 That's not European!"
Phoebe	 Well, it felt French.'
Rachel	 Oh God, I really had a good time!'
Dave	 Yeah, me too. (They reach her door.) So, I guess this is it.'
Rachel	 Yeah. Umm, unless you wanna come inside?'
Dave	 Yeah!'
Rachel	 Okay. Oh, uh, wait a minute, y'know what? I uh, I can't decide this.\nUmm, okay, just hold on a second."
Dave	 Okay, yeah!'
Rachel	 Umm, hi!'
Ross	 Hi.'
Rachel	 Is Monica around? I-I have to ask her something.'
Ross	 She's doing her laundry."
Rachel	 What's that? (Points to the box.)"
Ross	 It came in the mail today, it's uh, 72 long-stemmed red roses, one for\neach day that I've known and loved Emily, cut up into mulch!"
Rachel	 Oh, honey that's awful."
Ross	 Oh, it's not so bad. Monica's gonna make potpourri! I think I'm gonna go\nwander out in the rain for a while."
Rachel	 But, it's not raining."
Ross	 I can't catch a break!"
Rachel	 Y'know what Ross? You're not going anywhere. You're gonna sit right\nhere. I'm gonna make you a cup of tea and we're gonna talk this thing whole out. All\nright? (She goes out to talk to Dave) Hey, Dave!"
Dave	 Yeah?'
Rachel	 Umm, listen, I'm gonna need to take a rain check, my roommate is just\nreally sick. Okay? Bye! (She goes back in to talk to Ross.) Honey, listen, I know, I know\nthings seem so bad right now."
Monica	 (Poking her head in) Rach? Can I talk to for just a minute? I-I dropped\nsome socks.'
Rachel	 Yeah. (She goes out to join her in the hall and starts looking for the\ndropped socks.)'
Monica	 What is the matter with you?! Do you want to fall into the trap? Do you\nwant to fall into the trap?!'
Rachel	 Ohh! You did not drop any socks!'
Monica	 I just ran into Dave and he told me that you blew him off! I mean, you\nlisten to me! Now, I'm calling the shots! I say you leave Ross alone and go get Dave! What\nthe hell were you trying to do?"
Rachel	 Well, ultimately, I was trying y'know, I-I wanted\xc2\x85tell him y'know,\nthat I'm still in love with him."
Monica	 (Gasps) What?!! You cannot tell him that!!'
Rachel	 Why? Why not?! People love to hear that!'
Monica	 I make the decisions, and I say no.'
Rachel	 Well, y'know what, no, you do not make my decisions because y'know what,\nyou're fired."
Monica	 You can\'t fire me. I make your decisions and I say,\n"I\'m not fired!" Ha!'
Rachel	 Well\xc2\x85 (At a loss for words, she grabs some of Monica's laundry and\nthrows it on the floor as a diversion to allow Rachel to run back inside and close the\ndoor. Monica chases her to find that Rachel had locked the door.)"
Monica	 Rachel!! Come on! Let me in!'
Joey	 (Poking his head out.) Havin' some trouble?"
Monica	 Rachel locked the door.'
Joey	 I'll kick that door in if you give me a little sugar."

Monica	 Rachel! Let me in! Rachel!'
Monica	 Thank you. Rachel, can I talk to you outside for a sec?'
Rachel	 No.'
Monica	 I really need to talk to you.'
Rachel	 Well, then talk!'
Monica	 Okay, I will. Remember that thing that we just discussed that you wanted\nto do?'
Rachel	 Yes!'
Ross	 What thing?'
Monica	 Well, Rachel wants to take swing dance lessons. Which I think is a\nreally stupid idea! It's dangerous, she's never gonna get what she wants, and who knows\nwho she might (Turns to look at Ross) end up hurting."
Ross	 Monica's right, swing dancing can be tricky. I'm gonna use the phone. I\ngotta cancel those five giant teddy bears I sent to Emily. (Looks at the rose mulch.) My\nGod, think of the massacre."
Rachel	 I'm gonna do it."
Monica	 All right, Rachel, I know-I know you think I'm crazy, please, before you\ntell him you love him, just-just try to find one person who thinks this is a good idea.\nBecause I bet you, you can't."
Rachel	 But I\xc2\x85'
Monica	 Please!'
Rachel	 All right, fine.'
Monica	 Joey, I'm in!"
Joey	 (In tremendous pain) All right. Good deal.'
All	 Pheebs! Hey Pheebs!'
Joey	 Uh, okay, Pheebs?'
Phoebe	 Yeah?'
Joey	 Umm, y'know how the other day you were talking about how you didn't get to\ngo to London and how you were kinda feeling left out?"
Phoebe	 Yeah?'
Joey	 All right, well, we felt really bad about that so we decided we should all\ntake a little trip together!'
Phoebe	 Ohh, that's so nice! How great! Well, where? Where's the trip?!"
Monica	 Well, we thought we would all go to a picnic (Phoebe gasps), in Central\nPark!'
Phoebe	 (excited) Central\xc2\x85(not so excited) Park!'
Joey	 Yeah, all of us! All day!'
