Joey	 (entering) Hey! Hey! Hey! Hey!! None of that, not while you're living\nunder my roof!"
Monica	 What?!'
Joey	 Look, just because I know about you two, doesn't mean I like\nlooking at it."
Chandler	 Aren't you supposed to be at an audition for another hour?"
Joey	 Well, I'm sorry if I'm not a middle-aged black woman! (Starts for his\nroom.) And I'm also sorry if sometimes I go to the wrong audition! Okay, look, if I\nhave to pretend I don't know about you two, then you two are gonna have to pretend there's\nnothing to know about."
Chandler and Monica	 Okay.'
Monica	 Sorry.'
Chandler	 Sorry.'
Joey	 (from the bedroom) I can hear that!'
Monica	 (To Chandler) Rachel's at work."
Joey	 I can still hear you!'

Phoebe	 Hey!'
Joey	 Hey!'
Chandler	 Hello!'
Monica	 Hey, what's that?"
Phoebe	 Yeah, my mom sent me a family heirloom that once belonged to my\ngrandmother. Can you believe it?! A year ago I didn't even have a family, and now I have\nheirlooms for crying out loud."
Phoebe	 Eeeee-(She opens the box and removes its contents and sees that it's a\nfur coat.)-ohh!! God! (She throws it at Joey.)"
Joey	 Argh-argh!! (Catches the coat.) Ooh, soft. Is this mink?'
Phoebe	 Yeah! Why would my mother send me a fur? Doesn't she know me but\nat all! Plus, I have a perfectly fine coat that no innocent animal suffered to make!"
Chandler	 Yeah, just some 9-year-old Filipino kids who worked their fingers\nbloody for 12 cents an hour. (Phoebe stares at him wide-eyed. Chandler sees her reaction.)\nThat didn't happen, I made that up!"
Ross	 (entering) Hey!'
Gunther	 Oh, Ross? Ross! You can't put up flyers in here."
Ross	 How come? Everybody else does.'
Gunther	 You can't."
Monica	 What is that?'
Ross	 Oh, umm, I'm just getting rid of a couple of things."
Monica	 (looking at the flyer) This is all of your things.'
Ross	 Yes, yes it is! No, but it's good it's\xc2\x97Emily thinks we should get all\nnew stuff. Stuff that's just ours, together. Y'know brand new."
Monica	 So basically, this is a getting-rid-of-everything-Rachel-ever-used sale.'
Ross	 Touched. Used. Sat on. Sleep on.'
Gunther	 I'll take it all."
Joey	 Hey, Ross, you're okay with that?"
Ross	 Look, if I can just do what Emily wants and get her to New York,\nI'm sure everything will be fine."
Chandler	 Okay, but don't you think this is a little extreme?"
Ross	 After what I did? Can you blame her?'
Phoebe	 Oh my God! You got off easy! When my friend Silvie's husband said\nsomeone else's name in bed, she cursed him and turned his thingy green."
Joey	 (after Ross is gone) What is he doing? What, Emily, thinks Ross's\nfurniture has got Rachel coodies?"
Monica	 Now calm down Joey.'
Joey	 No! Everything's gettin' all messed up, y'know? Emily won't let Ross see\nRachel, we're not gonna stop seeing Rachel, hence Ross stops seeing us!"
Phoebe	 Oh, I hate this. Everything's changing."
Chandler	 Yeah I know, we're losing Ross, Joey said hence\xc2\x85"
Monica	 Look, I'm not happy about this either, but y'know if-if Ross says he's\nhappy then we're just gonna have to keep our feelings about Emily to ourselves. Are you\ncool with that?"
Joey	 No! But y'know, I'm an actor, I'll act cool."
Rachel	 Ohh, whoa God! Storage rooms give me the creeps! Monica, come on please\nhurry up honey! Please? '
Monica	 Rachel, if you want the little round waffles, you gotta have to wait\nuntil I find the little waffle iron.'
Rachel	 I want the little round waffles.'
Monica	 All right. (Looking through a box.) Op, here it is! Right underneath the\ncan of-of bug bomb. I wonder if the best place to put something that cooks food is\nunderneath the can of poison?'
Rachel	 Okay, y'know what? I'll-I'll have toast!"
Rachel	 Arghhhh!!!!!!'
Monica	 Oh my God! Fog him! Fog him!'
Phoebe	 I don't know what I'm gonna do about this coat."
Joey	 I'll take it!"
Phoebe	 That might work! (She gives him the coat.)'
Joey	 Ooh-ooh-ooh, yeah! (He drapes it around his shoulders.) Enh? All right,\nwhat do you think?'
Chandler	 You're on in 5 Ms. Minnelli. "
Ross	 (on the phone) No-no-no, it's just a bit sudden. (Listens) No, it's great.\nOkay? I'm totally on board. I love you too, all righty. Bye. (Hangs up.)"
Joey	 What's the matter Ross?"
Ross	 Nothing. Oh, actually, great news! I just got off the phone with Emily and\nit looks like I'm moving to a new apartment. Woo-hoo!"
Phoebe	 Why?'
Ross	 Well, her thought is, and I agree, fresh new furniture, why not a fresh\nnew apartment? Her cousin has this great place to sublet, it's got a view of the river on\none side and Columbia on the other."
