Rachel	 Oh Monica that was the best Thanksgiving dinner ever! I think you\nkilled us.'
Ross	 I couldn't possibly eat another bite. "
Joey	 I need something sweet.'
Phoebe	 Does anyone wanna watch TV?'
All	 Yeah, sure.'
Phoebe	 Monica your remote doesn't work."
Monica	 Phoebe, you have to lift it and point.'
Phoebe	 Oh. Aw, forget it.'
Rachel	 Yeah, you know what we should all do? We should play that game where\neveryone says one thing that they're thankful for."
Joey	 Ooh-ooh, I! I am thankful for this beautiful fall we've been having."
Monica	 That's very nice."
Chandler	 That's sweet, Joey."
Joey	 Yeah, the other day I was at the bus-stop and this lovely fall breeze came\nin out of nowhere and blew this chick's skirt right up. Oh! Which reminds me, I'm also\nthankful for thongs. (Note

Joey	 I mean, it's not so much an underpant as it is a feat of engineering. I\nmean, it's amazing how much they can do with so little material! And the way they play\nwith your mind! Is it there? Is it not there?"
Chandler	 Are you aware that you're still talking?"
Monica	 Is anyone thankful for anything else besides a thong?'
Ross	 Huh, I don't know what to pick. Am I more thankful for my divorce or my\neviction? Hmm."
Phoebe	 Wow! See, and I didn't think you'd be able to come up with anything."
Ross	 I'm sorry. It's just that this is the worse Thanksgiving ever."
Chandler	 No-no-no! I am the king of bad Thanksgivings. You can't just\nswoop in here with your bad marriage and take that away from me."
Rachel	 Oh, you're not gonna tell the whole story about how your parents got\ndivorced again are you?"
Ross	 Oh God, no.'
Joey	 Oh, come on! I wanna hear it! It wouldn't be Thanksgiving without Chandler\nbumming us out!"
Chandler	 It's a tradition, like the parade. If the parade decided it was gay,\nmoved out, and abandoned its entire family."

Mrs. Bing	 Now Chandler dear, just because your father and I are getting a\ndivorce it doesn't mean we don't love you. It just means he would rather sleep with the\nhouse-boy than me."
The Housekeeper	 More turkey Mr. Chandler? (And he makes eyes at him.)'

Ross	 You're right. Yours is worse. You are the king of bad Thanksgivings."
Phoebe	 I don't know about that. I've got one that's worse."
Chandler	 Really? Worse than, "More turkey Mr. Chandler?"'
Phoebe	 Oh, did the little rich boy have a problem with the butler? Yes, mine's\nworse!"


Ross	 In this life, Phoebe.'
Phoebe	 Oh, this life! Oh okay no, Chandler's is worse."
Joey	 Man, it must be so cool remembering stuff like that! I don't have any past\nlife memories."
Phoebe	 Of course you don't sweetie. You're brand new."
Rachel	 I know Monica's worst Thanksgiving."
Monica	 Oh, let's not tell this story."
All	 Oh, come on!'
Phoebe	 Oh no, I know! I know! It's the one where Joey got Monica's turkey stuck\non his head!"
Rachel	 What?! Joey got a turkey stuck on his head?!'
Joey	 Hey, it's not like it sounds."
Chandler	 It's exactly like it sounds."

Joey	 (muffled) Hello?'
Phoebe	 (surprised) Hello?'
Joey	 Phoebe?'
Phoebe	 Joey? What's going on?"
Joey	 Look. (He walks out of the bathroom with his head stuck in a huge turkey.)'
Phoebe	 Oh my God!'
Joey	 I know! It's stuck!!!"
Phoebe	 (walks him to the kitchen) Easy. Step. How did it get on?'
Joey	 I put it on to scare Chandler!'
Phoebe	 Oh my God! Monica's gonna totally freak out!"
Joey	 Well then help me get it off! Plus, it smells really bad in here.'
Phoebe	 Well, of course it smells really bad. You have your head up a dead\nanimal.'
Monica	 (entering) Hey!'
Phoebe	 Hey!'
Monica	 Hey, did you get the turkey basted\xc2\x97Oh my God! Oh my God! (She sees\nsomeone is stuck in the turkey.) Who is that?'
Joey	 It's Joey."
Monica	 What-what are you doing? Is this supposed to be funny?'
Phoebe	 No, it's not supposed to be funny, it's supposed to be scary."
Monica	 Well, get it off now!'
Joey	 I can't! It-it's stuck!"
Monica	 Well, I don't care! That-that turkey has to feed 20 people at my\nparent's house and they're not gonna eat it off your head!"
Phoebe	 All right, hold on! Okay, let's just all think."
Monica	 Okay, I got it. Phoebe? All right, you pull. I'm gonna spread the legs\nas wide as I can. (Joey starts giggling.) Joey? Now is not the time!"
Joey	 Sorry! Sorry.'
Monica	 Okay, count to three. 1. 2. 3!'
