Phoebe	 What am I sitting on?'
Chandler	 Top of the world? Dock of the bay? (He tries to think of another but\ncan't) I'm out."
Phoebe	 (taking something out of the couch) Ew-eww!! Undies! '
Rachel	 All right! Who's are they? Who's are they?"
Ross	 Well, they're not mine!"
Chandler	 Well, they're Joey's! They gotta be Joey's!"
Joey	 Yeah, they're mine."
Chandler	 See? They're Joey's! J-J-J-J-J-Joey's!"
Ross	 Why are they here?'
Joey	 I don't know uhh\xc2\x85 (Pause as he thinks about it.) Well, I'm Joey.\nYeah, I'm disgusting, I take my underwear off in other people's homes."
Rachel	 Well, get 'em out of here! What's wrong with you?"
Chandler	 Yeah!'
Monica	 Yeah!'
Rachel	 (waving them in his face) Take 'em! (Joey makes a noise and jumps out of\nthe way.) Joey, you can touch them! They're your underwear."
Joey	 (reluctantly taking them) Chandler? A word.'
Joey	 That's it! I'm tired of covering for you two! This has got to stop!\n(Realizes he still has the underwear in his hand.) Ahh! (Throws them towards Chandler's\nroom.) And tighty-whiteys! What are you, 8?"
Monica	 (entering) Thank you Joey, thank you so much!'
Joey	 Oh hey, no, you're not welcome. Okay, look, I hate this! You guys keep\nembarrassing me! (To Monica) Yesterday, Rachel found your razor in our bathroom and I\ndidn't know what to say, so I said it was mine and-and that I was playing a woman in a\nplay. And one thing led to another and (He puts his leg on the chair and pulls up his\npants leg to reveal that he now has shaved legs.)"
Monica	 (inspecting his leg) Wow! And around the ankles, y'know that is a tough\nspot."
Joey	 Yeah, it was! All right, listen, I can't\xc2\x85"
Chandler	 (interrupting him) All this lying has been hard on us too.'
Joey	 Oh-oh, yeah-yeah, I bet all the sex makes it easier!'
Chandler	 Well, yeah actually.'
Monica	 We'll try to be more careful okay? It's just that, we don't want\neveryone to know because this is going really well, and maybe the reason it's going really\nwell is because it's a secret."
Chandler	 I know it sounds really weird, but we're just so bad at relationships."
Monica	 We are! Help us!'
Chandler	 Help!'
Joey	 All right! But, (To Monica) you do it with me once.'
Monica	 Joey!'
Joey	 Didn't think so."

Monica	 Hey, Phoebe!'
Chandler	 Hi, Pheebs!'
Rachel	 Hey, Pheebs!'
Joey	 Hey, Pheebs!'
Rachel	 What are you reading?'
Phoebe	 Umm, Wethering Heights. I'm taking a literature class at the New\nSchool and I have to finish it for the first session tomorrow."
Chandler	 I didn't know you were taking a class. That is so cool."
Phoebe	 Yeah! Well, I really liked that Lamaze class I took! Y'know and this\ntime I thought I'd go for something, y'know a little more intellectual, with a less\npainful final exam."
Rachel	 Honey that sounds like fun.'
Phoebe	 Yeah! Ooh, you should come with me! Oh yeah, then I'd have someone to\nsit with!"
Rachel	 Okay.'
Phoebe	 Yeah! Okay\xc2\x97ooh, but are you going to have time to read it?'
Rachel	 Oh, I read that in high school.'
Phoebe	 This is going to be so much fun! Okay-shhh, I have to finish.'
Ross	 (entering, depressed) Hi.'
Joey	 What's wrong buddy?"
Ross	 Someone at work ate my sandwich!'
Chandler	 Well, what did the police say?'
Ross	 My Thanksgiving leftover sandwich. I can't believe someone ate it!"
Chandler	 Ross, it's just a sandwich!"
Ross	 Just a sandwich? Look, I am 30 years old, I'm about to be divorced twice\nand I just got evicted! That sandwich was the only good thing going on in my life! Someone\nate the only good thing going on in my life!"
Monica	 Okay, look, I-I have enough stuff for one more sandwich, I mean I was\ngoing to eat it myself, but (motions that he can have it.)'
Ross	 (quietly) That-that would be incredible. Thank you so much. I-I still\ncan't believe someone ate it!! I mean, look, I left a note and everything. "
