Joey	 What are you doing?'
Ross	 I...reorganized the fridge. See, bottom shelf
Joey	 Why are you doing this?'
Ross	 Because I am bored...Out of my mind. I\xc2\x92ve already been to the\nbank, post office, and the dry cleaners.'
Joey	 Dude, you just described seven days worth of stuff. You\xc2\x92ve got to\nspread it out a little, you know. Haven\xc2\x92t you ever been unemployed?'
Ross	 Hey, I am not unemployed. I\xc2\x92m on sabbatical!'
Joey	 Hey, don\xc2\x92t get religious on me, ok. (Ross looks a little\nconfused.) A guy in your position needs to be a little better at relaxing. You know. Why\ndo you think we have the comfortable chairs? Huh...come here\xc2\x85sit down. (Ross sits\ndown.) Ready? (Joey flips the foot rest up.) Ahh!! (He reclines the chair fully.) Ohh,\nyeah!! Huh?!'
Ross	 So what, we just sit?'
Joey	 Ohh, no, no. We\xc2\x92re not going to just sit. (Joey sits down and\nhits the speed dial button on the phone.) Shhh. (It begins to ring.)'
Chandler	 (Answering the phone at work) Hello, Chandler Bing.'
Joey	 (In a high pitched female voice) Hello Mr. Bing...I love you.'
Chandler	 (Angrily) Alright, whoever this is, stop calling me! (Ross and\nJoey laugh silently.) It\xc2\x92s been six months! It\xc2\x92s not funny!'
Joey	 But, I love you.'
Chandler	 Leave me alone! For the love of God, leave me alone!!!\n(Joey hangs up.)'
Joey	 And that\xc2\x92s Wednesday. (He reclines in his chair.) Ohh.'
Phoebe	 Hey you guys, guess what?'
Chandler	 The British are coming?'
Phoebe	 Ohh, you and your ways. (She shakes the bell at him and sits down.)\nSince it\xc2\x92s Christmastime. I\xc2\x92m going to be one of those people collection\ndonations.'
Phoebe	 (Excitedly) Yeah, I already have my bell and later on...I get my\nbucket.'
Chandler	 Ohh.'
Phoebe	 Yeah, yeah, I\xc2\x92m going to be out there spreading joy to the\npeople. I mean, last year, I spread a little joy but not really enough. So this year,\nI\xc2\x92m going to do the whole city.'
Monica	 You know, I knew a girl in high school who did that. She was very\npopular. (Chandler laughs.)'
Joey	 So Pheebs, where are you doing all, your bell ringing?'
Phoebe	 Ohh, they gave me a great spot. Right by Macys. Yeah, they\nhardly ever give such a good spot to a rookie, but I\xc2\x92m the only one who can sing\n"Merry Christmas" in 25 languages. (She smirks.) I lied.'
Rachel	 Oh my god. Ok you guys, there\xc2\x92s Danny. Watch. Just watch this.\n(He walks past the couch to the counter.) See?! Still pretending he\xc2\x92s not interested.\nOhh, he\xc2\x92s coming over. Just pretend like we don\xc2\x92t know him. We\xc2\x92ve forgotten\nwho he is.'
Danny	 Hey guys.'
Monica	 Danny? You know Rachel? She\xc2\x92s nice. She\xc2\x92s not bad to look\nat, right?'
Rachel	 Thanks, Mon.'
