Joey	 All right! Here we go! 1999! The year of Joey!'
Chandler	 (deadpan, standing next to Monica) We're very happy for you."
Joey	 What's the matter?!"
Chandler	 We wanted to kiss at midnight, but nobody else is going to so\ny'know\xc2\x85"
Joey	 All right, I'll take care of it."
Monica	 Oh no, wait! Joey!'
Ross	 (hopping) 73! 72! 71!'
Joey	 Ross! Ross! Ross, listen! Who are you kissing at midnight, huh? Rachel or\nPhoebe?'
Ross	 What?'
Joey	 Well you gotta kiss someone, you can't kiss your sister."
Ross	 Well, who's gonna kiss my sister."
Joey	 Chandler.'
Ross	 Awww, man! Really?'
Joey	 Dude-dude, who would you rather have kiss your sister, me or Chandler?'
Ross	 That's a good point."
Joey	 Yeah.'
Ross	 Oh well, since I have that whole history with Rachel, I guess Phoebe.'
Joey	 Okay, great!'
Ross	 All right.'
Joey	 Pheebs! Pheebs! Ross wants to kiss you at midnight!'
Phoebe	 It's so obvious, why doesn't he just ask?"
Joey	 Rach! Rach! Listen, I'm gonna kiss you at midnight."
Rachel	 What?!'
Ross	 Well, everyone's gotta kiss someone. You can't kiss Ross you got the\nhistory."
Rachel	 So?'
Joey	 So? Who would you rather have kiss you, me or Chandler?'
Rachel	 Oh, good point.'
Joey	 Yeah!'
All	 (watching the ball drop) 3! 2! 1! HAPPY NEW YEAR!!'
Chandler	 (To Monica) Happy New Year!'
Monica	 Happy New Year.'
Ross	 (To Phoebe) Happy New Year, Pheebs!'
Phoebe	 You too!'
Rachel	 (To Joey) Happy New Year, Joey!'
Joey	 So did that do anything for ya?'

Ross	 Y'know what? I'm gonna go out on a limb and say no divorces in '99!"
Rachel	 But your divorce isn't even final yet."
Ross	 Just the one divorce in '99! Y'know what, I am gonna be happy this year. I\nam gonna make myself happy."
Chandler	 Do you want us to leave the room, or?'
Ross	 Everyday I am gonna do one thing that I haven't done before. That\nmy friends is my New Year's resolution."
Phoebe	 Ooh! That's a good one! Mine is to pilot a commercial jet."
Chandler	 That's good one too, Pheebs. Now all you have to do is find a\nplaneload of people who's resolution is to plummet to their deaths."
Phoebe	 Maybe your resolution is to not make fun of your friends, especially the\nones who may soon be flying you to Europe for free on their own plane.'
Monica	 She has a better chance of sprouting wings and flying up your nose than\nyou do of not making fun of us.'
Ross	 In fact, I'll bet you 50 bucks that you can't go the whole year without\nmaking fun of us. Eh, y'know what, better yet? A week."
Chandler	 I\'ll take that bet my friend. And you know what, paying me the 50\nbucks could be the "new thing you do that day!" (Ross looks at him.) And it\nstarts right now!'
Joey	 All right, my New Year's resolution is to learn how to play the guitar."
Ross	 Ohh.'
Phoebe	 Really?! How come?'
Joey	 Well, y'know those special skills I have listed on my resume? I would love\nit would be great if one of those was true."
Phoebe	 Do you want me to teach you? I'm a great teacher."
Joey	 Really? Who-who have you taught?'
Phoebe	 Well, I taught me and I love me.'
Joey	 Yeah that'd be great! Thanks Pheebs!"
Rachel	 Op, look! Claire forgot her glasses! And she's gonna be really needing\nthese to keep an eye on that boyfriend, who, I hear, needs to keep his stapler in his desk\ndrawer, if you know what I'm talking about."
Monica	 Hey Rach, maybe your resolution should be to umm, gossip less.'
Rachel	 I don't gossip!"
Rachel	 Well, maybe sometimes I find out things or I hear something and I pass\nthat information on y'know kinda like a public service, it doesn't mean I'm a gossip. I\nmean, would you call Ted Kopel a gossip?"
Monica	 Well if Ted Kopel talked about his coworkers botched boob jobs, I would.'
Rachel	 What? They were like this! '
Ross	 Okay! (She leaves.) (To Chandler and Joey.) Hey!'
Chandler and Joey	 Hey!'
Ross	 I just asked that girl out.'
Chandler	 Nice!'
Joey	 Nice!! Yeah! Is that part of your resolution, your new thing for today?'
Ross	 Yes it is. See. (Shows them the piece of paper she gave him with her name\nand phone number on it.)'
Chandler	 (reading it) Elizabeth Hornswoggle?'
Ross	 That's right, uh, Elizabeth Hornswoggle."
Chandler	 Horn-swoggle.'
Joey	 You all right Chandler? Is there something funny about that name?'
Chandler	 No. No, I just think that maybe I-I'd heard it somewhere before. (Sits\ndown rubbing his temple.)"
Joey	 Oh really! Where? Somewhere funny I'd bet! (Chandler is straining to keep\nquiet as Phoebe enters.)"
Ross	 Hi, Pheebs!'
Phoebe	 Hey! '
Ross	 Oh-oh, guess what? I-I have a date with Elizabeth (Talking into Chandler's\near.) Hornswoggle."
Phoebe	 Hornswoggle? (To Chandler) Ooh, this must be killing you.'
Ross	 All right, see you later.'
Joey	 See ya! All right Pheebs, I am ready for my first lesson. '
Phoebe	 Okay. (Joey tries to take the guitar.) Oh no-no-no, you don't touch the\nguitar! First you learn here, (Points to her head.) then you learn here. (Points to the\nguitar.)"
Joey	 Umm, okay.'
Phoebe	 Okay, lesson one
Chandler	 What an interesting approach to guitar instruction. Y'know some might\nfind it amusing, I myself find it regular."
Phoebe	 Hey everybody, Rachel was so good today. She didn't gossip at all."
Rachel	 I didn\xc2\x92t! Even when I found out\xc2\x85umm, all right, well let's\njust say I found something out something about someone and let's just say she's gonna keep\nit. (Goes into her room.)"
Joey	 Hey, Pheebs! Check-check this out. (Holds up his hand in one of Phoebe's\nchords.)"
Phoebe	 Ooh, you nailed the Old Lady! (They both laugh at what she said.)'
Joey	 Yeah listen so, I thought I was getting better, so on my way home today I\nstopped by this guitar store and\xc2\x85'
Phoebe	 Did you, did you touch any of the guitars while you were there?\nDid you?!'
Joey	 No.'
Phoebe	 Give me your hands. (He does and she smells his left hand.) Strings.\nGimme it! (He gives her his right hand and she smells it as well.) Pick. Do you want to\nlearn to play guitar?'
Joey	 Yes!'
Phoebe	 Then don't touch one!!"
Ross	 (entering, with Ben) Hi!'
Ben	 Hi! '
Monica	 Hi Ben!'
Ben	 Auntie Monica!! (He runs to hug her.)'
Chandler	 (notices something) Ross is wearing leather pants! Does nobody else\nsee that Ross is wearing leather pants? (Pause, no one speaks.) Someone comment on the\npants!'
Rachel	 I think they're very nice."
Monica	 I like 'em."
Joey	 Yeah! (Chandler bangs the table in frustration.)'
Monica	 I like them a lot.'
Chandler	 That's not what I had in mind! See, people like Ross don't generally\nwear these types of pants. You see, they're very tight. (Motions to Ross's buttock.) Maybe\nthere's something in that area."
Ross	 Oh see, I-I needed a new thing for today and there\'s this leather store\nthat always smells so good and I thought to myself, "Wow, (To Chandler) I never\nreally owned a good smelling pair of pants before."'
Chandler	 Oh come on!! (Storms out.)'
Ross	 (after he's left) Okay, seriously, what do you think?"
Joey	 You look like a freak.'
Rachel	 Awful, absolutely awful. (Plus other negative comments from Phoebe and\nMonica.)'
Ross	 What are you, what are you doing?'
Monica	 It's my New Year's resolution!"
Ross	 What, to blind my child?'
Monica	 No! To take more pictures of all of us together. I mean I really think\nit's the best resolution because everyone will enjoy the pictures."
Joey	 Well, everyone will enjoy my music as well. (Does a chord and Monica\nstarts taking pictures of him and Phoebe. They both start to strike a pose with the\nexcessive amount of pictures that Monica takes.)'
Ross	 (talking to himself) My God! These pants are burning up! (He's still\nwearing the leather pants.) (She snuggles closer.) Oh come on, she wants to snuggle now!\nWhat is she trying to kill me? It's like a volcano in here! (Out loud.) Are you hot? "
Elizabeth Hornswoggle	 No.'
Ross	 Okay, it must just be me then.'
Ross	 That was just the pants on the couch. Umm, hey, do you, do you mind if I\nuse your bathroom?'
Elizabeth	 No, go ahead.'
Ross	 Thanks. (Gets up and as he does so, the sound returns. Without another\nword he heads into her bathroom.)'
Ross	 (in ecstasy) Ahhhhhhhhhhhhhh\xc2\x85\xc2\x85\xc2\x85.'
Elizabeth	 (yelling from outside) Hey, my favorite part is coming up!'
Ross	 'Kay!"
