Rachel	 Come on Joey!!!'
Joey	 Rach, I told you everything I knew last night! Look, it's not that big of a deal,\nso Monica and Chandler are doing it."
Rachel	 I can't believe you would say that!"
Joey	 Sorry. Monica and Chandler are making love.'
Rachel	 No! I mean come on! This is a huge deal! (She sits next to him on the\ncouch.) Fine I want\xc2\x97I need more details, who-who initiated the first kiss?'
Joey	 (thinks) I don't know."
Rachel	 Is he romantic with her?'
Joey	 I don't know."
Rachel	 Are they in love?'
Joey	 (thinks) I don't know."
Rachel	 You don't know anything."
Joey	 Ohh, I know one thing!'
Rachel	 What?'
Joey	 They did it right there on the couch. '

Joey	 Hey Ross!'
Phoebe	 Hey!'
Ross	 (disinterested) Hey-yeah. (He hurries up to the counter.) Hey Gunther, can I have\na scone please? (To the gang.) Wanna hear some good news? Someone I know is getting\nmarried! Yeah! And weddings are happy occasions! Oh, by-the-by it's my ex-wife Emily!"
All	  What? Oh!'
Chandler	 Sorry man.'
Gunther	 Here's your scone."
Ross	 Oh, thanks Gunther. (He takes it, hands the plate it's on to Rachel, sets it down\non the table, and proceeds to pound it into oblivion while saying.) STUPID BRITISH SNACK\nFOOD!!!!!!!"
Chandler	 Did they teach you that in your anger management class?'
Phoebe	 Hey, you know what might help you deal with it? Think of it this way, you and\nEmily are in the past and you can't be mad about the past. So are you still mad about the\nLouisiana Purchase?"
Rachel	 Pheebs, I don\xc2\x92t think anyone's mad about that."
Phoebe	 Exactly! Because it's in the past!"
Joey	 (eyeing the flattened scone) Anybody gonna eat that?'
Monica	 Look at us all dressed up for the big office party! By the way, what are we\ncelebrating?'
Chandler	 Oh, we had a lot of liquor left over from the Christmas party.'
Monica	 I think this is so cool because none of our friends are here and we can be a\nreal couple. We don't have to hide."
Chandler	 I know, I can do this. (He takes her hand.)'
Monica	 Ooh, and I can do this. (She kisses him on the cheek.)'
Doug	 Hey Bing! (Slaps him on his ass.) (Sees Monica) Wo-ho-ho, who's the pretty lady\nand what the hell is she doing with you?"
Chandler	 I asked myself that very question, sir. Uh, (Points to Monica) this is\nMonica. (Points to his boss.) This is my boss, Doug. Doug this is Monica.'
Monica	 Hi, nice to meet you!'
Doug	 Hi! And this is my wife Kara.'
Kara	 Nice to meet you Monica. Bing! (Slaps Chandler on his butt.)'
Doug	 Say uh, Bing, did you hear about the new law firm we got working for us?'
Chandler	 No, sir.'
Doug	 Yeah, Dewey, Cheatum, and Howe.'
Doug	 Come on honey, let's go drink our body weight. (They walk off leaving Chandler\nand Monica alone.)"
Monica	 What was that?'
Chandler	 What?'
Monica	 That noise you just made?'
Chandler	 Oh, that was my work laugh.'
Monica	 Really? Your work laugh?'
Chandler	 Oh, believe me, to survive this party, you're gonna have to come up with one\ntoo."
Monica	 All right, check me out.'
Chandler	 Okay.'
Doug	 \xc2\x85says $30 Father; same as in town.'
Chandler	 Hey! Everybody at work loved you last night! '
Monica	 Really?'
Chandler	 And! They like me more just because I was with ya! I think you\nrepaired a lot of the damage from when they met Joey. And Doug wants us to play tennis\nwith them. He's never even talked to me outside of work. Except for that time when\nwe bumped into each other at that strip club. (She glares at him.) Strip church. Anyway,\nI'm gonna go try and find a racquet."
Monica	 Hey, I thought you already had one.'
Chandler	 Oh I used too, but then Joey thought it would be fun to go to Central Park\nand hit rocks at\xc2\x85bigger rocks. (He starts to leave and stops an entering Rachel.) Hey\nRach, do you have a tennis racquet?'
Rachel	 Oh umm, y'know I lent it to Joey and I never actually got it back."
Chandler	 Okay, good luck with that. (Exits.)'
Rachel	 (To Monica) Hey!'
Monica	 Hi!'
Rachel	 What's up?!"
Monica	 What are you doing here? I thought you had to do inventory all day.'
Rachel	 Well yeah, I do, but I decided to take a long lunch and spend some time with my\nfriend Monica. Y'know I-I feel that we don't talk anymore. How are you? What is new with\nyou?"
Monica	 Uhh, not much. Uh, work's good."
Rachel	 Oh y'know what, we don\xc2\x92t have to talk about work. We can talk about\nanything!"
Monica	 Okay. Umm\xc2\x85'
Rachel	 Hey! Y'know what? Let's talk about relationships!"
Monica	 Okay, what's going on with you?"
Rachel	 Nothing! You go!'
Monica	 Well, I-I\xc2\x97there was this guy at the bank that I thought was cute umm, but\nI don't anymore."
Rachel	 Wow that's uh, juicy. Umm, (checks watch) y'know what though Mon, I actually do\nhave a lot of work to do so if-if\xc2\x97are you sure there's just not anything else?"
Monica	 Yes, I'm sure! Rachel is there something that you want to talk me about?"
Rachel	 No! (Gets up to leave.) (Under her breath.) If there was I wouldn't tell you."
