Monica	 I can't believe we've never done this before! It's sooo good! So\ngood for Monica! "
Chandler	 Oh! Look at that, time's up! My turn!"
Monica	 That was a half an hour?'
Chandler	 It's your timer."
Monica	 Y'know, I don't like to brag about it, but I give the best\nmassages!"
Chandler	 All right, then massage me up right nice!'
Chandler	 Ah! Ahh!! Ahh!!'
Monica	 It's so good, isn't it?"
Chandler	 It's so good I don't know what I've done to deserve it!"
Monica	 Say good-bye to sore muscles!'
Chandler	 Good-bye muscles!!'

Chandler	 I'm telling you, she gives the worst massages ever!! Okay, it was like\nshe was torturing me for information. And I wanted to give it up I just\xc2\x97I didn't know\nwhat it was!"
Joey	 Chandler, if it really hurts that bad you should just tell her.'
Chandler	 Look, for the first time in my life I'm in a real relationship. Okay,\nI'm not gonna screw that up by y'know, telling the truth."
Ross	 (walking up with Rachel and carrying coffee) Hey.'
Joey	 Whoa, dude, look out! You almost crushed my hat! (He picks a hat up from\nthe floor. It's one of those magician stovepipe hats.)"
Ross	 Sorry.'
Chandler	 (examining the hat) And the bunny got away. (Turns and starts looking\nfor the bunny as Joey puts the hat on.)'
Ross	 (glaring at Joey) This would be the place where you explain the hat.'
Joey	 Oh! Yeah, look there's this play all right? And I'm up for the part of\nthis real cool like suave international guy. A real clothes horse. So I figure that\neveryone at the audition is gonna be wearing this kinda y'know, ultra-hip, high fashion\nstuff."
Chandler	 And you're gonna make them all disappear."
Joey	 Yeah, like you could find something as sophisticated as this.'
Chandler	 Done.'
Rachel	 Joey, if you wanna look good, why don't you just come down to the store?\nI'll help you out."
Joey	 Great! Thanks, Rach!'
Rachel	 Sure! (Pause) God, please take those off!'
Joey	 All right. '
Ross	 Hey Pheebs, how's it going?"
Chandler	 Hey.'
Phoebe	 Hey! Umm, well, only okay because I just got back from, from the\nhospital.'
Rachel	 What?'
Ross	 Is everything okay?'
Joey	 Are you all right?'
Phoebe	 Oh yeah, no-no-no. I'm fine. I'm okay, but umm, my Grandma sorta died."
Joey	 Pheebs! Sorry!'
Phoebe	 It's okay, I mean she had a really incredible life. And it's not like\nI'm never gonna see her again, y'know she's gonna visit."
Rachel	 Well maybe, maybe she's with us right now?"
Phoebe	 Yeah, her first day on a new spiritual plane and she's gonna come to the\ncoffeehouse!"
Monica	 (entering, in a hurry) Guys! Guys! I just saw two people having sex in a\ncar right outside.'
Ross	 Uhh, Pheebs' Grandmother just died."
Monica	 Ohh my God, I'm so sorry."
Phoebe	 It's okay. Actually y'know what, it's kinda cool. 'Cause it's like\ny'know, one life ends and another begins."
Monica	 (to the guys) Not the way they're doing it. What, what happened? How did\nshe die?"
Phoebe	 Well umm, okay we were in the market and she bent down to get some\nyogurt and she just never came back up again.'
Joey	 Pheebs, I'm so sorry."
Phoebe	 It was really sweet. The last thing she said to me was; "Okay dear,\nyou go get the eggs and I\'m gonna get the yogurt and we\'ll meet at the checkout\ncounter." And y\'know what? We will meet at the checkout counter.'
Rachel	 Okay now Joey, y'know that since you're returning all of this stuff\nright after the audition you're gonna have to wear underwear?"
Joey	 All right, then you'd better show me some of that too then."
Rachel	 Okay, it's missing something. Ooh, I know! Umm, okay. (Goes and grabs a\nbag, that looks like a purse, and shows it to Joey.)"
Joey	 Really? A purse?'
Rachel	 It's not a purse! It's a shoulder bag."
Joey	 It looks like a women's purse."
Rachel	 No Joey, look. Trust me, all the men are wearing them in the spring\ncatalog. Look. (Shows him.) See look, men, carrying the bag.'
Joey	 See look, women, carrying the bag. (He puts it on his shoulder and\nlooks at himself in the mirror and likes what he sees.) But it is odd how a women's purse\nlooks good on me, a man."
Rachel	 Exactly! Unisex!'
Joey	 Maybe you need sex. I had sex a couple days ago.'
Rachel	 No! No Joey! U-N-I-sex.'
Joey	 Well, I ain't gonna say no to that."
Phoebe	 It's Phoebe."
Phoebe	 Umm, well I sorta have some bad news, can I come in?'
Phoebe	 Umm, well, umm Grandma died.'
Phoebe	 No, she just died today! Okay, umm, we're having a memorial service\ntomorrow."
Phoebe	 No you didn't!"
Phoebe	 Well, lots of people! Look, are you coming to memorial service or not?'
Phoebe	 Fine. Okay, enjoy your concert. (Starts to leave.)'
Joey	 Hey!'
Chandler	 Hey!'
