Phoebe	 (looking out the window) Oh hey, you guys, look! Ugly Naked Guy is\nputting stuff in boxes!'
Rachel	 I'd say from the looks of it; our naked buddy is moving."
Ross	 Ironically, most of the boxes seem to be labeled clothes.'
Rachel	 Ohh, I'm gonna miss that big old squishy butt."
Chandler	 And we're done with the chicken fried rice."
Ross	 Hey! Hey! If he's moving, maybe I should try to get his place!"
All	 Good idea! Yes!'
Ross	 It would be so cool to live across from you guys!'
Joey	 Hey, yeah! Then we could do that telephone thing! Y'know, you have a can,\nwe have a can and it's connected by a string!"
Chandler	 Or we can do the actual telephone thing.'

Ross	 Oh my God! I love this apartment! Isn't it perfect?! I can't believe I\nnever realized how great it is!"
Rachel	 Well that is because your eye immediately goes to the big naked man.'
Phoebe	 It's amazing! You better hurry up and fill out an application or I'm\ngonna beat you to it."
Ross	 (laughing) Ohh. (Phoebe takes a couple of steps to the door and Ross\nquickly hurries out.)'
Rachel	 Well, I never thought I'd say this, but I'm gonna go use Ugly Naked\nGuy's bathroom. (Does so.)"
Phoebe	 (looking out the window) Oh, look! There's Monica and Chandler! (Starts\nyelling.) Hey! Hey, you guys! Hey! (Chandler and Monica start taking each other's clothes\noff.) Ohh!! Ohh! Ahh-ahhh!!"
Rachel	 What?!'
Phoebe	 (screaming) Ahhh!! Chandler and Monica!! Chandler and Monica!!'
Rachel	 Oh my God!'
Phoebe	 CHANDLER AND MONICA!!!!'
Rachel	 OH MY GOD!!!'
Phoebe	 OH!! MY EYES!!! MY EYES!!!!'
Rachel	 Phoebe!! Phoebe!! It's okay!! It's okay!!"
Phoebe	 NO! THEY'RE DOING IT!!!"
Rachel	 I KNOW!! I KNOW!! I KNOW!'
Phoebe	 YOU KNOW?!!!'
Rachel	 Yes, I know! And Joey knows! But Ross doesn't know so you have to stop\nscreaming!!"
Ross	 (entering) What's going on?"
Phoebe and Rachel	 Ohhh!!!'
Rachel	 (trying to divert his attention from the window by jumping up and down)\nHI!! Hi! '
Ross	 What?! What?!'
Rachel	 Nothing! Oh God, we're just so excited that you want to get this\napartment!"
Ross	 Actually, it looks really good. (Turns towards the window and now Phoebe\nstarts jumping to divert his attention.)'
Phoebe	 (Screaming incoherently.) Get in here!!! (Motions to join her and\nRachel.)'
Phoebe	 You mean whenever Monica and Chandler where like y'know doing laundry or\ngoing grocery shopping or\xc2\x97Oh! All that time Monica spent on the phone with sad Linda\nfrom camp!"
Rachel	 Uh-huh, doing it. Doing it. Phone doing it.'
Phoebe	 Oh! Oh, I can't believe it! I mean I think it's great! For him. She\nmight be able to do better."
Joey	 (entering) Hey guys!'
Rachel	 Joey! Come here! Come here!'
Joey	 What? What?'
Rachel	 Phoebe just found out about Monica and Chandler.'
Joey	 You mean how they're friends and nothing more? (Glares at Rachel.)"
