Joey	 Hey!'
Chandler	 Hey!'
Monica	 Hey!'
Joey	 What are you guys doing up?'
Chandler	 Oh, we wanted to finish the crossword before we went to bed. Hey, do\nyou know a six-letter word for red?'
Joey	 (thinks) Dark red.'
Chandler	 Yeah, I think that's wrong, but there's a Connect the Dots in here for\nyou later. (To Monica) Hey, how about maroon?"
Monica	 (checks to see if it works) Yes, you are so smart! (Kisses him.)'
Joey	 Aww, you guys are so cute!'
Monica	 I know.'
Joey	 All right, I'll see you in the morning."
Chandler and Monica	 Okay.'
Dream Monica	 Y'know, I love doing crossword puzzles with you honey!"
Dream Joey	 Aww, me too. Now let's finish this and go to bed."
Dream Monica	 Okay! There's only one left, three letter word, not dog\nbut\xc2\x85"
Dream Joey	 Cat.'
Dream Monica	 Yes! You are so smart! (Kisses him.) I love you.'
Dream Joey	 I love you too.'

Rachel	 (looking at the bill) Uhh, we still need a tip.'
Phoebe	 All right. Hold on. (She starts digging in the chair.) I got it. Nickel!\n(Donates it.) How much more do we need?'
Rachel	 A couple of bucks.'
Phoebe	 Okay, dime! (Donates that.) You guys should probably keep talking; this\ncould take a while. (Finds something else.) Oh no, wait! Look it! Whoa! (Looks at it.) Oh\nmy God, this is a police badge!'
Monica	 Wow!'
Chandler	 Oh that's so cool! Why would a cop come in here though? They don't\nserve donuts. (No one laughs.) Y'know what actually, could you discover the badge again? I\nthink I can come up with something better than that."
Rachel	 Phoebe, I bet somebody's missing that badge."
Phoebe	 Yeah, I should probably take it back. Ooh, but you know what? While I'm\nat the police station, I could check their Ten Most Wanted lists because my friend Fritzy\nhas been like number 11 forever, so this could be her year! (She crosses her fingers in\nhope.)"
Joey	 (entering) Hey, you guys!'
Chandler	 Hey!'
Rachel	 Hey Joey!'
Monica	 Hey.'
Joey	 (To Monica) Hey. That uh, that my sweatshirt?'
Monica	 Oh yes, it is. I'm sorry I borrowed it, I was cold. I hope its okay?"
Joey	 Well uh, it's just that uh, y'know if-if you're gonna be wearing someone's\nsweatshirt shouldn't it be your boyfriends--and I\xc2\x92m not him."
Monica	 I'm sorry, I'll give it back to you."
Joey	 No-no! No! I mean it's gonna be all smelling like Monica!"
Monica	 Are you saying I smell bad?'
Joey	 No! No, you smell like a meadow. (Pause.) I'm sorry. (Runs to the\nbathroom.)"
Monica	 What's with him?"
Chandler	 Oh, y'know what? The last time Joey went to a meadow, his mother was\nshot by a hunter."
Rachel	 (disgusted at Ross's antics) Ugh!"
Ross	 (To Rachel) Yeah, I still don\'t know. (To the salesman who is hovering\nnearby) I\'m sorry I just wanna make sure that I bought the right couch. I need a couch\nthat says, "Kids welcome here." But that also says, (In a sexy voice) "Come\nhere to me!"'
Rachel	 What?! You say that to kids?!!'
Ross	 No! No! No! The "Come here to me" is y\'know for the ladies.'
Rachel	 Ross, honey, it's a nice couch. It's not a magic couch."
The Salesman	 You picked a great couch.'
Ross	 Yeah?'
The Salesman	 Yeah. Could you just sign right here please? (Hands him a\nclipboard.)'
Ross	 Oh, sure. Whoa-whoa, what's this? The delivery charge is almost as much as\nthe couch!"
Rachel	 Wait! No, that's ridiculous. Come on, he lives three blocks away!"
Ross	 Yeah, y'know what? I'll take it myself, thank you! (He signs the form and\nhands it back to the salesman.) All right Rach, let's go! (He picks up one end of the\ncouch.)"
Rachel	 Yeah! (She puts on her coat and turns around and sees Ross is expecting\nher to help.) (Laughing.) Are you kiddin'?"
Ross	 Oh, come on it's only three blocks! And-and, it's not very heavy, try it!\nCome on! Come on!"
Rachel	 (Disgustedly she goes and tries to pick up the couch. Much to her\namazement, she is successful.) Oh. Oh! I can do it!'
Ross	 Yeah!'
The Salesman	 You two are really gonna enjoy that couch.'
Ross	 Oh yeah, we're uh, yeah we're not together. (He starts backing out of the\nstore.)"
The Salesman	 Ohh, okay. (Laughs.) Something didn't quite add up there. (Ross\nstops, walks back to talk to the salesman, and in the process pushes Rachel up against a\nwall.)"
Rachel	 Ross!'
Ross	 What's that supposed to mean?"
Rachel	 Ross!'
The Salesman	 Well you, her, I mean, she's very\xc2\x85y'know. And you're\nlike\xc2\x85y'know."
Ross	 Not that it's any of your business, but we did go out."
The Salesman	 Really? You two?'
Ross	 Yeah! Rach?'
Rachel	 Come on, I don't really want to be doing this right now. I am carrying a\nvery heavy couch."
Ross	 Then tell him quickly.'
Rachel	 (To Ross) Fine! (To the salesman) We went out.'
Ross	 Not only did we go out, we did it 298 times!'
Rachel	 Ross!! Oh my--ugh!! You kept count?! You are such a loser!'
Ross	 A loser you did it with (To the salesman) 298 times!'
Phoebe	 Oh. Oh! Ma'am? Excuse me, ma'am? "
The Smoking Woman	 Yes?'
Phoebe	 You can't put your cigarette out on a tree!"
The Smoking Woman	 Yeah I can, it worked real well.'
Phoebe	 No but you shouldn't! Don't ever do that again."
The Smoking Woman	 I won't! (Turns away) Until I have my next cigarette."
Phoebe	 Hold it! (Grabs the badge) N.Y.P.D! Freeze punk!'
The Smoking Woman	 What?!'
Phoebe	 Yeah that's right you are so busted. (To no one in particular.) Book\n'em."
The Smoking Woman	 Who are you talking too?'
Phoebe	 Save it Red! Unless you wanna spend the night in the slammer, you\napologize to the tree.'
The Smoking Woman	 I am not going to apologize to a tree!'
Phoebe	 You apologize to the tree right now or I am calling for backup. (The\nwoman calls her bluff.) (Screaming at no one in particular) Backup! Backup!!'
The Smoking Woman	 I-I'm sorry! Sorry."
Phoebe	 Okay, cancel backup! Cancel backup!'
Ross	 Okay. (Throws off the last cushion.)'
Rachel	 Ross, didn't you say that there was an elevator in here?"
Ross	 Uhh, yes I did but there isn't. Okay, here we go."
Ross	 Okay, go left. Left! Left! (The bottom of the couch is hitting the\nrailing.)'
Rachel	 Okay, y'know what? There is no more left, left!"
Ross	 Oh okay, lift it straight up over your head! Straight up over your head!\nYou can do it! You can do it! (She gets it lifted up and they make the first turn.) Okay.\nYou got it?'
Rachel	 Yeah.'
Ross	 Good-good-good. '
Rachel	 Oh-oh! '
Ross	 Yeah, you got it right? You got it right? You got it? '
Rachel	 Any chance you think the couch looks good there?'
Phoebe	 \xc2\x85so this guy was all (Mumbles.) And I'm all, Buffay, Homicide.\n(Flashes the badge.) It was just so cool!"
Monica	 (cooking something) Phoebe, you were supposed to take that back!'
Phoebe	 I know but I'm having so much fun doing good deeds."
Chandler	 Okay, but impersonating a police officer is a serious thing. You could\nget arrested.'
Phoebe	 You could get arrested, right now! (Flashes the badge and they glare at\nher.) All right, yeah, I gotta take it back. I'm totally drunk with power. (She heads for\nthe door just as Joey enters.)"
Phoebe	 (To Joey) Hey.'
Joey	 (To Phoebe) Hey! (Sees that Monica's there.) Oh."
Chandler	 Hi, Joe.'
Joey	 Yeah, I didn\xc2\x92t know you guys were going to be here.'
Monica	 Hey Joey, sweetie, taste this. (Holds out a spoon for him.)'
Joey	 (backing away) What?! Why?!'
Monica	 What is going on with you?'
Joey	 Nothing!'
Chandler	 Oh, come on! You've been acting strange all day!"
Joey	 All right! There is something. I kinda had a dream, (pause) but I don't\nwant to talk about it. (Starts for his room.)"
Chandler	 Whoa-whoa-whoa-whoa-whoa-what-what if Martin Luther King had said\nthat? (Imitating what his famous speech would sound like.) I kinda have a dream! I\ndon\xc2\x92t want to talk about it.'
Joey	 Well, it involved Monica.'
Chandler	 You had a dream about a girl that I am seeing?! Oh, that is so cool!\n(To Monica) I can't tell you how many times I've dreamt about a girl that he was seeing.\n(Seeing Monica's stare.) (To Joey) Anyway we're talking about your dream. (To Monica) I\nlove you. (To Joey) Your dream? (Leans in to listen closely.)"
Joey	 Don't worry, there wasn't any sex in it or anything. I haven't dreamt\nabout her like that since I found out about you two--ish. "
Monica	 What was the dream about?'
Joey	 Well, okay. You were my girlfriend and we were doing the crossword\npuzzle. Y'know like you guys were doing last night. So, that's it. I'm in love with Monica\nand I'll be moving out."
Monica	 Wait, Joey! Joey! That doesn\xc2\x92t mean that-that you're in love with\nme!"
Joey	 It-it doesn\xc2\x92t?'
Monica	 No!'
Chandler	 No, it can mean anything. Like uh, all of the sudden you're jealous\nbecause I've become the apartment stud."
Joey	 That kinda sounds like your dream dude.'
Monica	 Or, it could mean that-that you saw Chandler and me together and we\ny'know were being close and stuff and then you just want to have that with someone too."
Joey	 In the dream I did enjoy the closeness.'
Monica	 Um-hmm.'
Chandler	 Joey, look, are you attracted to Monica? Right here, right now, are\nyou attracted to her?'
Joey	 (looks at her) Not really.'
Chandler	 Well there you have it!'
Monica	 Well sure! I'm just wearing sweats! (Looking at Chandler and slowly\nrealizing what his point is.) But that's good that you're not in love with me, because you\njust want a girlfriend!"
Joey	 No, I don't think it's just about just getting a girlfriend. Y'know? I\nmean, yeah, I can get a girlfriend! Yeah, we could sit in the chair and do crosswords, but\ny'know are we ever going to have y'know the closeness like-like you guys have?"
Chandler	 Well y'know, Monica and I were friends before we started\ndating. So maybe-maybe that's it?"
Joey	 Friends first? That's interesting."
Monica	 You become friends after?'
Joey	 No, never done that either.'
Rachel	 (entering) Hey, umm, do you guys have that tape measure?'
Chandler	 Oh yeah, it's actually in my bedroom."
Monica	 (laughing) That's right."
Rachel	 (noticing him) What's up Joey?"
Joey	 (in a sexy voice) How you doin'?"

Phoebe	 Excuse me, is this your car?'
Guy	 Yeah.'
Phoebe	 Well I don't think it's very nice of you to park here, y'know you're\nblocking the entrance. "
Guy	 Don't worry about it. It's not a problem."
Phoebe	 Well, it's a problem for me, which means it's a problem for you 'cause\nI'm a cop. (Shows the badge.)"
Guy	 (he reaches into the car and slams his siren on the roof.) So am I!'
Phoebe	 Ohh, no. (Pause) Oh okay, so you're a cop which means you can park\nanywhere, 'cause I know that 'cause I'm a cop too. So, all right, keep up the good work.\n10-4. (Tries to leave.)"
Cop	 (stopping her) Hey, wait a second! So wait, what precinct are you with?'
Phoebe	 I-I'm with the umm, the 57th."
Cop	 Oh, I know a guy in homicide up there.'
Phoebe	 I'm in vice. Yeah, in fact I'm undercover right now. I'm a whore."
Cop	 Who-who else is in vice up there?'
