Rachel	 Good, you guys are all here!'
Ross	 Hey! What's up?"
Rachel	 Well, I have a job interview at Ralph Lauren tomorrow!'
All	 Congratulations! Ohh, that's great!"
Rachel	 I know!'
Joey	 Boy, that guy's underwear sucks!"
Rachel	 Wh-what?!'
Joey	 I got this pair marked excess, I gotta tell ya, there was no room for\nexcess anything in there.'
Rachel	 Anyway, I'm going to be the coordinator of the woman's collection, I'll\nwork right under the director, it's the perfect, perfect job for me!"
Phoebe	 Wow! Well, if you nail the interview, you'll get it!"
Rachel	 Yeah.'
Phoebe	 You wanna work on your interview skills?'
Rachel	 O-okay!'
Phoebe	 Okay! All right, let's start with the handshake. Hi."
Rachel	 Hi. '
Phoebe	 Very good handshake, good wrist action.'
Monica	 Let me try. (Gets up to join them.)'
Phoebe	 Okay. (They shake hands and she pulls away suddenly) Oh my God! What did\nI ever do to you?! (Rubbing her hand.)'
Monica	 Did I squeeze it too hard?'
Phoebe	 Let's just say, I'm glad I'm not Chandler."

Joey	 That's right Ross, I can see you in your new apartment! And you can see\nme! Same as yesterday, (To Monica) same as the day before."
Monica	 Is he doing his shark attack bit yet?'
Joey	 Nope. Op, wait! There he goes. '
Joey	 (waving) Very funny Ross! Very life-like and funny. Okay. (Notices that a\nwoman is waving back.) Oh no-no-no, I wasn't waving at you lady. (She just stares at him.)\n(Joey sees how beautiful she is.) Whoa, maybe I was! Hey, Monica, this totally hot girl in\nRoss's building is flirting with me."
Monica	 Get in there man! Flirt back, mix it up!'
Joey	 Yeah, I-I-I'm down with that. (He turns back to the woman.) Okay, here\ngoes. (Thinks.) How (Holds up his hand like an Indian) you (Points at her) a-doin'? (Does\na little twisting motion with both hands and ends up pointing at her, he then winks. She\nsmiles and waves again.) (To Monica) It worked! She's waving me over. (Towards the woman.)\nOkay, I-I-I'll be right over. Let's see, she's on the third floor\xc2\x85"
Monica	 (joining him) Wow! She is pretty, huh?'
Joey	 Tell me about it, huh? (Realizes that she can see Monica.) Oh no-no-no,\nI'm not with her, she's just Monica! (He pantomimes that out.) Ewwuck! (He pushes Monica\naway and makes a disgusted face.)"
Ross	 Hey Joey! Great stuff huh?'
Joey	 This is your place?'
Ross	 Of course it is. Yeah, come on in. Ooh-ooh, go by the window you can\npretend to be surfing. (He pretends he's surfing by the window.)"
Joey	 But I counted, you're not supposed to live here! Oh man! (Runs away.)"
Joey	 Ugh!!'
Monica	 What happened?'
Joey	 I ended up at Ross's place. Oh, I musta missed counted or something.\n(Looks out the window.) Damn! She's not there anymore. Oh, l-l-look, Ross is doing his\n'Watching TV' bit. (We see Ross sitting on the couch and flipping through the channels on\nhis remote.)"
Monica	 No Joey, I think he's just watchin' TV. "
Gary's Radio	 We've lost visual contact with the suspect."
Gary	 Okay, now I've really have to go!"
Phoebe	 But it's just so unfair that our date has to get cut short just 'cause\nsome guy shot at a store clerk."
Gary	 I know, but it's my job, sweethart!"
Phoebe	 Okay, then maybe I can come too!'
